candidate,office,district,party,county,precinct,total votes ,election day,early voting
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 12,1,1,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 12,1,1,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 12,351,233,118
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 12,326,224,102
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 12,12,11,1
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 12,3,3,0
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 12,458,323,135
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 12,214,139,75
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 12,9,6,3
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 12,354,252,102
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 12,319,210,109
John Overington,House of Delegates,55,REP,Berkeley,PRECINCT 12,417,293,124
Donn Marshall ,House of Delegates,55,DEM,Berkeley,PRECINCT 12,258,170,88
,Registered Voters ,,,Berkeley,PRECINCT 13,633,,
,Ballots Cast ,,,Berkeley,PRECINCT 13,255,188,67
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 13,51,35,16
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 13,32,24,8
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 13,0,0,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 13,0,0,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 13,144,101,43
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 13,96,75,21
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 13,7,6,1
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 13,3,3,0
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 13,169,124,45
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 13,77,59,18
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 13,3,2,1
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 13,142,98,44
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 13,11,89,22
Eric L. Householder,House of Delegates,56,REP,Berkeley,PRECINCT 13,154,110,44
Terry L. Walker,House of Delegates,56,DEM,Berkeley,PRECINCT 13,93,72,21
,Registered Voters ,,,Berkeley,PRECINCT 14,587,,
,Ballots Cast ,,,Berkeley,PRECINCT 14,145,98,47
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 14,18,7,11
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 14,42,33,9
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 14,0,0,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 14,0,0,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 14,40,21,19
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 14,95,68,27
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 14,5,4,1
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 14,2,2,0
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 14,64,40,24
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 14,73,53,20
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 14,1,1,0
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 14,47,28,19
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 14,93,67,26
Walter E. Duke,House of Delegates,54,REP,Berkeley,PRECINCT 14,61,32,29
M Jason Barrett,House of Delegates,54,DEM,Berkeley,PRECINCT 14,77,61,16
,Registered Voters ,,,Berkeley,PRECINCT 15,774,,
,Ballots Cast ,,,Berkeley,PRECINCT 15,215,158,57
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 15,43,31,12
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 15,59,41,18
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 15,0,0,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 15,0,0,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 15,89,65,24
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 15,117,85,32
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 15,4,3,1
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 15,1,1,0
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 15,112,85,27
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 15,93,67,26
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 15,4,2,2
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 15,86,60,26
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 15,123,92,31
Walter E. Duke,House of Delegates,54,REP,Berkeley,PRECINCT 15,109,81,28
M Jason Barrett,House of Delegates,54,DEM,Berkeley,PRECINCT 15,92,64,28
,Registered Voters ,,,Berkeley,PRECINCT 16,1446,,
,Ballots Cast ,,,Berkeley,PRECINCT 16,573,399,174
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 16,100,65,35
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 16,104,79,25
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 16,1,1,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 16,1,0,1
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 16,271,187,84
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 16,280,198,82
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 16,13,11,2
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 16,2,0,2
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 16,352,244,108
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 16,194,136,58
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 16,7,5,2
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 16,256,180,76
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 16,295,207,88
John Overington,House of Delegates,55,REP,Berkeley,PRECINCT 16,289,203,86
Donn Marshall ,House of Delegates,55,DEM,Berkeley,PRECINCT 16,260,181,79
,Registered Voters ,,,Berkeley,PRECINCT 17,915,,
,Ballots Cast ,,,Berkeley,PRECINCT 17,309,233,76
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 17,61,37,24
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 17,42,37,5
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 17,0,0,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 17,0,0,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 17,165,115,50
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 17,136,113,23
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 17,3,3,0
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 17,2,1,1
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 17,219,157,62
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 17,74,64,10
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 17,5,5,0
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 17,150,111,39
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 17,152,117,35
Walter E. Duke,House of Delegates,54,REP,Berkeley,PRECINCT 17,196,143,53
M Jason Barrett,House of Delegates,54,DEM,Berkeley,PRECINCT 17,96,79,17
,Registered Voters ,,,Berkeley,PRECINCT 18,1173,,
,Ballots Cast ,,,Berkeley,PRECINCT 18,366,251,115
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 18,82,51,31
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 18,67,46,21
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 18,1,1,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 18,1,1,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 18,183,132,51
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 18,160,106,54
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 18,13,7,6
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 18,2,1,1
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 18,225,161,64
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 18,122,77,45
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 18,6,5,1
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 18,182,124,58
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 18,178,124,54
John Overington,House of Delegates,55,REP,Berkeley,PRECINCT 18,224,161,63
Donn Marshall ,House of Delegates,55,DEM,Berkeley,PRECINCT 18,132,82,50
,Registered Voters ,,,Berkeley,PRECINCT 18A,239,,
,Ballots Cast ,,,Berkeley,PRECINCT 18A,127,89,38
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 18A,28,16,12
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 18A,12,6,6
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 18A,0,0,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 18A,1,1,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 18A,71,49,22
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 18A,51,38,13
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 18A,2,1,1
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 18A,1,1,0
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 18A,97,70,27
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 18A,22,13,9
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 18A,5,4,1
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 18A,80,54,26
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 18A,43,33,10
John Overington,House of Delegates,55,REP,Berkeley,PRECINCT 18A,87,63,24
Donn Marshall ,House of Delegates,55,DEM,Berkeley,PRECINCT 18A,36,24,12
,Registered Voters ,,,Berkeley,PRECINCT 19,908,,
,Ballots Cast ,,,Berkeley,PRECINCT 19,351,289,62
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 19,109,90,19
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 19,41,30,11
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 19,0,0,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 19,0,0,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 19,207,169,38
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 19,124,101,23
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 19,12,12,0
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 19,1,0,1
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 19,242,202,40
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 19,94,75,19
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 19,7,6,1
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 19,226,190,36
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 19,117,91,26
Larry D. Kump,House of Delegates,52,REP,Berkeley,PRECINCT 19,244,203,41
Mike Roberts,House of Delegates,52,DEM,Berkeley,PRECINCT 19,97,77,20
,Registered Voters ,,,Berkeley,PRECINCT 20,1018,,
,Ballots Cast ,,,Berkeley,PRECINCT 20,363,310,53
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 20,124,102,22
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 20,50,42,8
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 20,0,0,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 20,1,1,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 20,204,168,36
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 20,138,122,16
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 20,9,9,0
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 20,6,5,1
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 20,237,198,39
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 20,103,90,13
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 20,6,6,0
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 20,205,173,32
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 20,139,118,21
John Overington,House of Delegates,55,REP,Berkeley,PRECINCT 20,232,195,37
Don Marshall ,House of Delegates,55,DEM,Berkeley,PRECINCT 20,117,101,16
,Registered Voters ,,,Berkeley,PRECINCT 21,1296,,
,Ballots Cast ,,,Berkeley,PRECINCT 21,454,353,101
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 21,111,87,24
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 21,40,37,3
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 21,2,1,1
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 21,0,0,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 21,281,208,73
Joe Manchin III,US Senate,,DEM,Berkeley,PRECINCT 21,148,126,22
Jeff Becker,US Senate,,CON,Berkeley,PRECINCT 21,20,15,5
Jesse Johnson ,US Senate,,MTN,Berkeley,PRECINCT 21,1,1,0
Shelley Moore Capito,US House,2,REP,Berkeley,PRECINCT 21,341,260,81
Virginia Lynch Graf,US House,2,DEM,Berkeley,PRECINCT 21,90,77,13
Phil Hudok,US House,2,CON,Berkeley,PRECINCT 21,10,6,4
Craig Blair,State Senate,16,REP,Berkeley,PRECINCT 21,287,212,75
John Unger,State Senate,16,DEM,Berkeley,PRECINCT 21,155,131,24
Larry D. Kump,House of Delegates,52,REP,Berkeley,PRECINCT 21,299,218,81
Mike Roberts,House of Delegates,52,DEM,Berkeley,PRECINCT 21,133,117,16
,Registered Voters ,,,Berkeley,PRECINCT 22,678,,
,Ballots Cast ,,,Berkeley,PRECINCT 22,295,209,86
,Straight Party Ticket ,,REP,Berkeley,PRECINCT 22,52,35,17
,Straight Party Ticket ,,DEM,Berkeley,PRECINCT 22,25,14,11
,Straight Party Ticket ,,CON,Berkeley,PRECINCT 22,1,1,0
,Straight Party Ticket ,,MTN,Berkeley,PRECINCT 22,0,0,0
John R. Raese,US Senate,,REP,Berkeley,PRECINCT 22,161,108,53
