,office,district,candidate,party
106,HOUSE OF DELEGATES,27.0,WARREN R MCGRAW II,D
107,HOUSE OF DELEGATES,27.0,SALLY SUSMAN,D
108,HOUSE OF DELEGATES,27.0,RON THOMPSON,D
109,HOUSE OF DELEGATES,27.0,CHUCK CARPENTER,R
110,HOUSE OF DELEGATES,27.0,DAVID T GALLAHE,R
111,HOUSE OF DELEGATES,27.0,JEFF ROBINSON,R
112,HOUSE OF DELEGATES,27.0,PHILIP L STEVENS,R
113,HOUSE OF DELEGATES,27.0,LINDA SUMNER,R
114,HOUSE OF DELEGATES,28.0,THOMAS W CAMPBELL,D
115,HOUSE OF DELEGATES,28.0,STEVE HUNTER,D
116,HOUSE OF DELEGATES,28.0,RAY CANTERBURY,R
117,HOUSE OF DELEGATES,29.0,TOM LOUISOS,D
118,HOUSE OF DELEGATES,29.0,DAVID G PERRY,D
119,HOUSE OF DELEGATES,29.0,JOHN PINO,D
120,HOUSE OF DELEGATES,29.0,TOM FAST,R
121,HOUSE OF DELEGATES,29.0,KEITH SPANGLER,R
122,HOUSE OF DELEGATES,30.0,JON AMORES,D
123,HOUSE OF DELEGATES,30.0,BONNIE BROWN,D
124,HOUSE OF DELEGATES,30.0,DAN FOSTER,D
125,HOUSE OF DELEGATES,30.0,BOBBIE HATFIELD,D
126,HOUSE OF DELEGATES,30.0,RAY KEENER,D
127,HOUSE OF DELEGATES,30.0,COREY L PALUMBO,D
128,HOUSE OF DELEGATES,30.0,SHARON SPENCER,D
129,HOUSE OF DELEGATES,30.0,ANN CALVERT,R
130,HOUSE OF DELEGATES,30.0,PRISCILLA M HADEN,R
131,HOUSE OF DELEGATES,30.0,BILL HENRY,R
132,HOUSE OF DELEGATES,30.0,JAMES M NESTER,R
133,HOUSE OF DELEGATES,30.0,DONN E NEURMAN,R
134,HOUSE OF DELEGATES,30.0,JESSE W SAMPLES,R
135,HOUSE OF DELEGATES,30.0,GEORGE B BRUD WARNER,R
136,HOUSE OF DELEGATES,31.0,CARRIE WEBSTER,D
137,HOUSE OF DELEGATES,31.0,MARK A SADD,R
138,HOUSE OF DELEGATES,31.0,JANET JT THOMPSON,Independent
139,HOUSE OF DELEGATES,32.0,JON W CAIN SR,D
140,HOUSE OF DELEGATES,32.0,ERIC B HUDNALL,D
141,HOUSE OF DELEGATES,32.0,R DEREK WALKER,D
142,HOUSE OF DELEGATES,32.0,TIM ARMSTEAD,R
143,HOUSE OF DELEGATES,32.0,RON WALTERS,R
144,HOUSE OF DELEGATES,32.0,RUSTY WEBB,R
145,HOUSE OF DELEGATES,33.0,WILLIAM F BILL STEMPLE,D
146,HOUSE OF DELEGATES,33.0,LYLE KERBY,R
147,HOUSE OF DELEGATES,34.0,BRENT BOGGS,D
148,HOUSE OF DELEGATES,35.0,SAM ARGENTO,D
149,HOUSE OF DELEGATES,35.0,STEVE APPLE FURLOINE,Reform
150,HOUSE OF DELEGATES,36.0,JOE TALBOTT,D
151,HOUSE OF DELEGATES,36.0,JIM THOMPSON,R
152,HOUSE OF DELEGATES,37.0,WILLIAM G HARTMAN,D
153,HOUSE OF DELEGATES,37.0,BILL PROUDFOOT,D
154,HOUSE OF DELEGATES,37.0,BRUCE HADDIX,R
155,HOUSE OF DELEGATES,37.0,ALAN R BALOGH,Reform
156,HOUSE OF DELEGATES,37.0,KIMBERLY S NOTTINGHAM,Reform
157,HOUSE OF DELEGATES,38.0,LOWELL T DAVIS,D
158,HOUSE OF DELEGATES,38.0,DOUG STALNAKER,R
159,HOUSE OF DELEGATES,39.0,BILL HAMILTON,R
160,HOUSE OF DELEGATES,40.0,MARY M POLING,D
161,HOUSE OF DELEGATES,40.0,LONNIE L MOORE SR,R
162,HOUSE OF DELEGATES,41.0,SAM CANN,D
163,HOUSE OF DELEGATES,41.0,RON FRAGALE,D
164,HOUSE OF DELEGATES,41.0,RICHARD J IAQUINTA,D
165,HOUSE OF DELEGATES,41.0,BARBARA BOBBIE WARNER,D
166,HOUSE OF DELEGATES,42.0,TOM COLEMAN,D
167,HOUSE OF DELEGATES,42.0,PAUL ELDER,R
168,HOUSE OF DELEGATES,43.0,MIKE CAPUTO,D
169,HOUSE OF DELEGATES,43.0,JAMES MANCHIN,D
170,HOUSE OF DELEGATES,43.0,DONNA RENNER,D
171,HOUSE OF DELEGATES,43.0,SUSAN MAYERS,R
172,HOUSE OF DELEGATES,43.0,CHARLES S CHUCK MULLETT,R
173,HOUSE OF DELEGATES,43.0,RUSS SNYDER,R
174,HOUSE OF DELEGATES,44.0,BEACH,D
175,HOUSE OF DELEGATES,44.0,CLAYPOLE,D
176,HOUSE OF DELEGATES,44.0,FLEISCHAUER,D
177,HOUSE OF DELEGATES,44.0,HOUSTON,D
178,HOUSE OF DELEGATES,44.0,CONLEY,R
179,HOUSE OF DELEGATES,44.0,FRICH,R
180,HOUSE OF DELEGATES,44.0,O NEILL,R
181,HOUSE OF DELEGATES,45.0,LARRY A WILLIAMS,D
182,HOUSE OF DELEGATES,45.0,WILLIAM C MEANS,R
183,HOUSE OF DELEGATES,46.0,STAN SHAVER,D
184,HOUSE OF DELEGATES,46.0,DEBORAH DEBBIE STEVENS,R
185,HOUSE OF DELEGATES,47.0,HAROLD MICHAEL,D
186,HOUSE OF DELEGATES,48.0,ALLEN V EVANS,R
187,HOUSE OF DELEGATES,49.0,JAMES T NICOL,D
188,HOUSE OF DELEGATES,49.0,ROBERT A SCHADLER,R
189,HOUSE OF DELEGATES,50.0,JERRY L MEZZATESTA,D
190,HOUSE OF DELEGATES,51.0,VICKY LAW,D
191,HOUSE OF DELEGATES,51.0,BARBARA TUTOR,Mountain
192,HOUSE OF DELEGATES,51.0,CHARLES S TRUMP IV,R
193,HOUSE OF DELEGATES,52.0,CRAIG P SHIBLEY,D
194,HOUSE OF DELEGATES,52.0,CRAIG BLAIR,R
195,HOUSE OF DELEGATES,53.0,LARRY V FAIRCLOTH,R
196,HOUSE OF DELEGATES,54.0,DALE BUCK,D
197,HOUSE OF DELEGATES,54.0,WALTER E DUKE,R
198,HOUSE OF DELEGATES,55.0,VINCE GEORGE,Mountain
199,HOUSE OF DELEGATES,55.0,JOHN OVERINGTON,R
200,HOUSE OF DELEGATES,56.0,BOB TABB,D
201,HOUSE OF DELEGATES,56.0,JAMES JIM WHITACRE,R
202,HOUSE OF DELEGATES,57.0,JOHN DOYLE,D
203,HOUSE OF DELEGATES,57.0,DAVE EBBITT,R
204,HOUSE OF DELEGATES,58.0,DALE MANUEL,D
205,HOUSE OF DELEGATES,58.0,FRED BLACKMER,R
206,HOUSE OF DELEGATES,,WRITE INS,
207,HOUSE OF DELEGATES,43.0,CHUCK MULLET,REP
208,US HOUSE,1.0,ALAN MOLLOHAN,D
209,US HOUSE,1.0,LOUIS LOU DAVIS,Write-In
210,US HOUSE,2.0,JIM HUMPHREYS,D
211,US HOUSE,2.0,SHELLEY MOORE CAPITO,R
212,US HOUSE,3.0,NICK JOE RAHALL II,D
213,US HOUSE,3.0,PAUL E CHAPMAN,D
214,US HOUSE,1.0,WRITE INS,
215,REGISTERED VOTERS,,REGISTERED,
216,BALLOTS CAST,,BALLOTS,
217,US SENATE,,JAY WOLFE,REP
218,US SENATE,,JAY ROCKEFELLER,DEM
219,US SENATE,,WRITE INS,
