candidate,office,district,party,county,precinct,votes,winner,
Patrick Morrisey ,U.S. Senate,,REP,Upshur,Precinct 7,47,,
Joseph Manchin III,U.S. Senate,,DEM,Upshur,Precinct 7,20,,
Rusty Hollen ,U.S. Senate,,LIB,Upshur,Precinct 7,7,,
Write-In,U.S. Senate,,,Upshur,Precinct 7,0,,
Alex X. Mooney ,U.S. House,2,REP,Upshur,Precinct 7,51,,
Talley Sergent,U.S. Senate,2,DEM,Upshur,Precinct 7,19,,
"Daniel P. ""Danny"" Lutz Jr. ",U.S. House,2,MTN,Upshur,Precinct 7,4,,
Write-In,U.S. House,2,,Upshur,Precinct 7,0,,
Bill Hamilton,State Senate,11,REP,Upshur,Precinct 7,63,,
Laura M. Finch,State Senate,11,DEM,Upshur,Precinct 7,9,,
Write-In,State Senate,11,,Upshur,Precinct 7,0,,
Caleb Hanna,House of Delegates,44,REP,Upshur,Precinct 7,43,,
Dana L. Lynch,House of Delegates,44,DEM,Upshur,Precinct 7,28,,
Barbara Daniels ,House of Delegates,44,MTN,Upshur,Precinct 7,2,,
Write-In,House of Delegates,44,,Upshur,Precinct 7,0,,
,Registered Voters,,,Upshur,Precinct 8,493,,
,Ballots Cast,,,Upshur,Precinct 8,354,,
Patrick Morrisey ,U.S. Senate,,REP,Upshur,Precinct 8,109,,
Joseph Manchin III,U.S. Senate,,DEM,Upshur,Precinct 8,219,,
Rusty Hollen ,U.S. Senate,,LIB,Upshur,Precinct 8,19,,
Write-In,U.S. Senate,,,Upshur,Precinct 8,1,,
Alex X. Mooney ,U.S. House,2,REP,Upshur,Precinct 8,132,,
Talley Sergent,U.S. Senate,2,DEM,Upshur,Precinct 8,200,,
"Daniel P. ""Danny"" Lutz Jr. ",U.S. House,2,MTN,Upshur,Precinct 8,10,,
Write-In,U.S. House,2,,Upshur,Precinct 8,1,,
Bill Hamilton,State Senate,11,REP,Upshur,Precinct 8,242,,
Laura M. Finch,State Senate,11,DEM,Upshur,Precinct 8,105,,
Write-In,State Senate,11,,Upshur,Precinct 8,0,,
"Carl ""Robbie"" Martin",House of Delegates,45,REP,Upshur,Precinct 8,154,,
Matthew Kerner,House of Delegates,45,DEM,Upshur,Precinct 8,188,,
Write-In,House of Delegates,45,,Upshur,Precinct 8,1,,
,Registered Voters,,,Upshur,Precinct 9,598,,
,Ballots Cast,,,Upshur,Precinct 9,326,,
Patrick Morrisey ,U.S. Senate,,REP,Upshur,Precinct 9,116,,
Joseph Manchin III,U.S. Senate,,DEM,Upshur,Precinct 9,182,,
Rusty Hollen ,U.S. Senate,,LIB,Upshur,Precinct 9,23,,
Write-In,U.S. Senate,,,Upshur,Precinct 9,2,,
Alex X. Mooney ,U.S. House,2,REP,Upshur,Precinct 9,143,,
Talley Sergent,U.S. Senate,2,DEM,Upshur,Precinct 9,168,,
"Daniel P. ""Danny"" Lutz Jr. ",U.S. House,2,MTN,Upshur,Precinct 9,6,,
Write-In,U.S. House,2,,Upshur,Precinct 9,0,,
Bill Hamilton,State Senate,11,REP,Upshur,Precinct 9,219,,
Laura M. Finch,State Senate,11,DEM,Upshur,Precinct 9,94,,
Write-In,State Senate,11,,Upshur,Precinct 9,0,,
"Carl ""Robbie"" Martin",House of Delegates,45,REP,Upshur,Precinct 9,168,,
Matthew Kerner,House of Delegates,45,DEM,Upshur,Precinct 9,155,,
Write-In,House of Delegates,45,,Upshur,Precinct 9,0,,
,Registered Voters,,,Upshur,Precinct 12,425,,
,Ballots Cast,,,Upshur,Precinct 12,197,,
Patrick Morrisey ,U.S. Senate,,REP,Upshur,Precinct 12,101,,
Joseph Manchin III,U.S. Senate,,DEM,Upshur,Precinct 12,80,,
Rusty Hollen ,U.S. Senate,,LIB,Upshur,Precinct 12,11,,
Write-In,U.S. Senate,,,Upshur,Precinct 12,0,,
Alex X. Mooney ,U.S. House,2,REP,Upshur,Precinct 12,110,,
Talley Sergent,U.S. Senate,2,DEM,Upshur,Precinct 12,71,,
"Daniel P. ""Danny"" Lutz Jr. ",U.S. House,2,MTN,Upshur,Precinct 12,4,,
Write-In,U.S. House,2,,Upshur,Precinct 12,0,,
Bill Hamilton,State Senate,11,REP,Upshur,Precinct 12,147,,
Laura M. Finch,State Senate,11,DEM,Upshur,Precinct 12,48,,
Write-In,State Senate,11,,Upshur,Precinct 12,0,,
"Carl ""Robbie"" Martin",House of Delegates,45,REP,Upshur,Precinct 12,123,,
Matthew Kerner,House of Delegates,45,DEM,Upshur,Precinct 12,73,,
Write-In,House of Delegates,45,,Upshur,Precinct 12,0,,
,Registered Voters,,,Upshur,Precinct 14,1281,,
,Ballots Cast,,,Upshur,Precinct 14,641,,
Patrick Morrisey ,U.S. Senate,,REP,Upshur,Precinct 14,247,,
Joseph Manchin III,U.S. Senate,,DEM,Upshur,Precinct 14,344,,
Rusty Hollen ,U.S. Senate,,LIB,Upshur,Precinct 14,39,,
Write-In,U.S. Senate,,,Upshur,Precinct 14,0,,
Alex X. Mooney ,U.S. House,2,REP,Upshur,Precinct 14,301,,
Talley Sergent,U.S. Senate,2,DEM,Upshur,Precinct 14,289,,
"Daniel P. ""Danny"" Lutz Jr. ",U.S. House,2,MTN,Upshur,Precinct 14,24,,
Write-In,U.S. House,2,,Upshur,Precinct 14,0,,
Bill Hamilton,State Senate,11,REP,Upshur,Precinct 14,456,,
Laura M. Finch,State Senate,11,DEM,Upshur,Precinct 14,171,,
Write-In,State Senate,11,,Upshur,Precinct 14,1,,
"Carl ""Robbie"" Martin",House of Delegates,45,REP,Upshur,Precinct 14,366,,
Matthew Kerner,House of Delegates,45,DEM,Upshur,Precinct 14,256,,
Write-In,House of Delegates,45,,Upshur,Precinct 14,1,,
,Registered Voters,,,Upshur,Precinct 16,653,,
,Ballots Cast,,,Upshur,Precinct 16,392,,
Patrick Morrisey ,U.S. Senate,,REP,Upshur,Precinct 16,197,,
Joseph Manchin III,U.S. Senate,,DEM,Upshur,Precinct 16,165,,
Rusty Hollen ,U.S. Senate,,LIB,Upshur,Precinct 16,22,,
Write-In,U.S. Senate,,,Upshur,Precinct 16,0,,
Alex X. Mooney ,U.S. House,2,REP,Upshur,Precinct 16,240,,
Talley Sergent,U.S. Senate,2,DEM,Upshur,Precinct 16,132,,
"Daniel P. ""Danny"" Lutz Jr. ",U.S. House,2,MTN,Upshur,Precinct 16,10,,
Write-In,U.S. House,2,,Upshur,Precinct 16,0,,
Bill Hamilton,State Senate,11,REP,Upshur,Precinct 16,329,,
Laura M. Finch,State Senate,11,DEM,Upshur,Precinct 16,52,,
Write-In,State Senate,11,,Upshur,Precinct 16,0,,
Patrick S Martin,House of Delegates,46,REP,Upshur,Precinct 16,267,,
"Robert L. ""Bob"" Stultz",House of Delegates,46,DEM,Upshur,Precinct 16,117,,
Write-In,House of Delegates,46,,Upshur,Precinct 16,1,,
,Registered Voters,,,Upshur,Precinct 18,683,,
,Ballots Cast,,,Upshur,Precinct 18,403,,
Patrick Morrisey ,U.S. Senate,,REP,Upshur,Precinct 18,251,,
Joseph Manchin III,U.S. Senate,,DEM,Upshur,Precinct 18,134,,
Rusty Hollen ,U.S. Senate,,LIB,Upshur,Precinct 18,16,,
Write-In,U.S. Senate,,,Upshur,Precinct 18,0,,
Alex X. Mooney ,U.S. House,2,REP,Upshur,Precinct 18,277,,
Talley Sergent,U.S. Senate,2,DEM,Upshur,Precinct 18,106,,
"Daniel P. ""Danny"" Lutz Jr. ",U.S. House,2,MTN,Upshur,Precinct 18,7,,
Write-In,U.S. House,2,,Upshur,Precinct 18,0,,
Bill Hamilton,State Senate,11,REP,Upshur,Precinct 18,337,,
Laura M. Finch,State Senate,11,DEM,Upshur,Precinct 18,55,,
Write-In,State Senate,11,,Upshur,Precinct 18,0,,
Patrick S Martin,House of Delegates,46,REP,Upshur,Precinct 18,299,,
"Robert L. ""Bob"" Stultz",House of Delegates,46,DEM,Upshur,Precinct 18,98,,
Write-In,House of Delegates,46,,Upshur,Precinct 18,0,,
,Registered Voters,,,Upshur,Precinct 19,509,,
,Ballots Cast,,,Upshur,Precinct 19,295,,
Patrick Morrisey ,U.S. Senate,,REP,Upshur,Precinct 19,163,,
Joseph Manchin III,U.S. Senate,,DEM,Upshur,Precinct 19,113,,
Rusty Hollen ,U.S. Senate,,LIB,Upshur,Precinct 19,12,,
Write-In,U.S. Senate,,,Upshur,Precinct 19,0,,
Alex X. Mooney ,U.S. House,2,REP,Upshur,Precinct 19,182,,
Talley Sergent,U.S. Senate,2,DEM,Upshur,Precinct 19,94,,
"Daniel P. ""Danny"" Lutz Jr. ",U.S. House,2,MTN,Upshur,Precinct 19,4,,
Write-In,U.S. House,2,,Upshur,Precinct 19,0,,
Bill Hamilton,State Senate,11,REP,Upshur,Precinct 19,249,,
Laura M. Finch,State Senate,11,DEM,Upshur,Precinct 19,36,,
Write-In,State Senate,11,,Upshur,Precinct 19,0,,
"Carl ""Robbie"" Martin",House of Delegates,45,REP,Upshur,Precinct 19,210,,
Matthew Kerner,House of Delegates,45,DEM,Upshur,Precinct 19,74,,
Write-In,House of Delegates,45,,Upshur,Precinct 19,0,,
,Registered Voters,,,Upshur,Precinct 20,886,,
,Ballots Cast,,,Upshur,Precinct 20,546,,
Patrick Morrisey ,U.S. Senate,,REP,Upshur,Precinct 20,287,,
Joseph Manchin III,U.S. Senate,,DEM,Upshur,Precinct 20,226,,
Rusty Hollen ,U.S. Senate,,LIB,Upshur,Precinct 20,22,,
Write-In,U.S. Senate,,,Upshur,Precinct 20,1,,
Alex X. Mooney ,U.S. House,2,REP,Upshur,Precinct 20,343,,
Talley Sergent,U.S. Senate,2,DEM,Upshur,Precinct 20,174,,
"Daniel P. ""Danny"" Lutz Jr. ",U.S. House,2,MTN,Upshur,Precinct 20,13,,
Write-In,U.S. House,2,,Upshur,Precinct 20,1,,
Bill Hamilton,State Senate,11,REP,Upshur,Precinct 20,449,,
Laura M. Finch,State Senate,11,DEM,Upshur,Precinct 20,84,,
Write-In,State Senate,11,,Upshur,Precinct 20,0,,
"Carl ""Robbie"" Martin",House of Delegates,45,REP,Upshur,Precinct 20,360,,
Matthew Kerner,House of Delegates,45,DEM,Upshur,Precinct 20,169,,
Write-In,House of Delegates,45,,Upshur,Precinct 20,0,,
,Registered Voters,,,Upshur,Precinct 25,413,,
,Ballots Cast,,,Upshur,Precinct 25,209,,
Patrick Morrisey ,U.S. Senate,,REP,Upshur,Precinct 25,117,,
Joseph Manchin III,U.S. Senate,,DEM,Upshur,Precinct 25,74,,
Rusty Hollen ,U.S. Senate,,LIB,Upshur,Precinct 25,13,,
Write-In,U.S. Senate,,,Upshur,Precinct 25,0,,
Alex X. Mooney ,U.S. House,2,REP,Upshur,Precinct 25,138,,
Talley Sergent,U.S. Senate,2,DEM,Upshur,Precinct 25,59,,
"Daniel P. ""Danny"" Lutz Jr. ",U.S. House,2,MTN,Upshur,Precinct 25,11,,
Write-In,U.S. House,2,,Upshur,Precinct 25,0,,
Bill Hamilton,State Senate,11,REP,Upshur,Precinct 25,174,,
Laura M. Finch,State Senate,11,DEM,Upshur,Precinct 25,29,,
Write-In,State Senate,11,,Upshur,Precinct 25,0,,
"Carl ""Robbie"" Martin",House of Delegates,45,REP,Upshur,Precinct 25,158,,
Matthew Kerner,House of Delegates,45,DEM,Upshur,Precinct 25,48,,
Write-In,House of Delegates,45,,Upshur,Precinct 25,0,,
,Registered Voters,,,Upshur,Precinct 27,1031,,
,Ballots Cast,,,Upshur,Precinct 27,575,,
Patrick Morrisey ,U.S. Senate,,REP,Upshur,Precinct 27,331,,
Joseph Manchin III,U.S. Senate,,DEM,Upshur,Precinct 27,208,,
Rusty Hollen ,U.S. Senate,,LIB,Upshur,Precinct 27,29,,
Write-In,U.S. Senate,,,Upshur,Precinct 27,0,,
Alex X. Mooney ,U.S. House,2,REP,Upshur,Precinct 27,361,,
Talley Sergent,U.S. Senate,2,DEM,Upshur,Precinct 27,178,,
"Daniel P. ""Danny"" Lutz Jr. ",U.S. House,2,MTN,Upshur,Precinct 27,15,,
Write-In,U.S. House,2,,Upshur,Precinct 27,0,,
Bill Hamilton,State Senate,11,REP,Upshur,Precinct 27,467,,
Laura M. Finch,State Senate,11,DEM,Upshur,Precinct 27,95,,
Write-In,State Senate,11,,Upshur,Precinct 27,1,,
"Carl ""Robbie"" Martin",House of Delegates,45,REP,Upshur,Precinct 27,389,,
Matthew Kerner,House of Delegates,45,DEM,Upshur,Precinct 27,172,,
Write-In,House of Delegates,45,,Upshur,Precinct 27,1,,
,Registered Voters,,,Upshur,Precinct 33,795,,
,Ballots Cast,,,Upshur,Precinct 33,465,,
Patrick Morrisey ,U.S. Senate,,REP,Upshur,Precinct 33,292,,
Joseph Manchin III,U.S. Senate,,DEM,Upshur,Precinct 33,146,,
Rusty Hollen ,U.S. Senate,,LIB,Upshur,Precinct 33,22,,
Write-In,U.S. Senate,,,Upshur,Precinct 33,1,,
Alex X. Mooney ,U.S. House,2,REP,Upshur,Precinct 33,315,,
Talley Sergent,U.S. Senate,2,DEM,Upshur,Precinct 33,119,,
"Daniel P. ""Danny"" Lutz Jr. ",U.S. House,2,MTN,Upshur,Precinct 33,16,,
Write-In,U.S. House,2,,Upshur,Precinct 33,0,,
Bill Hamilton,State Senate,11,REP,Upshur,Precinct 33,392,,
Laura M. Finch,State Senate,11,DEM,Upshur,Precinct 33,69,,
Write-In,State Senate,11,,Upshur,Precinct 33,0,,
"Carl ""Robbie"" Martin",House of Delegates,45,REP,Upshur,Precinct 33,344,,
Matthew Kerner,House of Delegates,45,DEM,Upshur,Precinct 33,111,,
Write-In,House of Delegates,45,,Upshur,Precinct 33,0,,
,Registered Voters,,,Upshur,Precinct 35,378,,
,Ballots Cast,,,Upshur,Precinct 35,253,,
Patrick Morrisey ,U.S. Senate,,REP,Upshur,Precinct 35,148,,
Joseph Manchin III,U.S. Senate,,DEM,Upshur,Precinct 35,88,,
Rusty Hollen ,U.S. Senate,,LIB,Upshur,Precinct 35,11,,
Write-In,U.S. Senate,,,Upshur,Precinct 35,0,,
Alex X. Mooney ,U.S. House,2,REP,Upshur,Precinct 35,166,,
Talley Sergent,U.S. Senate,2,DEM,Upshur,Precinct 35,72,,
"Daniel P. ""Danny"" Lutz Jr. ",U.S. House,2,MTN,Upshur,Precinct 35,8,,
Write-In,U.S. House,2,,Upshur,Precinct 35,0,,
Bill Hamilton,State Senate,11,REP,Upshur,Precinct 35,216,,
Laura M. Finch,State Senate,11,DEM,Upshur,Precinct 35,31,,
Write-In,State Senate,11,,Upshur,Precinct 35,0,,
"Carl ""Robbie"" Martin",House of Delegates,45,REP,Upshur,Precinct 35,187,,
Matthew Kerner,House of Delegates,45,DEM,Upshur,Precinct 35,61,,
Write-In,House of Delegates,45,,Upshur,Precinct 35,0,,
,Registered Voters,,,Upshur,Precinct 37,934,,
,Ballots Cast,,,Upshur,Precinct 37,499,,
Patrick Morrisey ,U.S. Senate,,REP,Upshur,Precinct 37,254,,
Joseph Manchin III,U.S. Senate,,DEM,Upshur,Precinct 37,206,,
Rusty Hollen ,U.S. Senate,,LIB,Upshur,Precinct 37,24,,
Write-In,U.S. Senate,,,Upshur,Precinct 37,1,,
Alex X. Mooney ,U.S. House,2,REP,Upshur,Precinct 37,318,,
Talley Sergent,U.S. Senate,2,DEM,Upshur,Precinct 37,153,,
"Daniel P. ""Danny"" Lutz Jr. ",U.S. House,2,MTN,Upshur,Precinct 37,11,,
Write-In,U.S. House,2,,Upshur,Precinct 37,0,,
Bill Hamilton,State Senate,11,REP,Upshur,Precinct 37,419,,
Laura M. Finch,State Senate,11,DEM,Upshur,Precinct 37,67,,
Write-In,State Senate,11,,Upshur,Precinct 37,0,,
"Carl ""Robbie"" Martin",House of Delegates,45,REP,Upshur,Precinct 37,351,,
Matthew Kerner,House of Delegates,45,DEM,Upshur,Precinct 37,139,,
Write-In,House of Delegates,45,,Upshur,Precinct 37,0,,
,Registered Voters,,,Upshur,Precinct 38,490,,
,Ballots Cast,,,Upshur,Precinct 38,273,,
Patrick Morrisey ,U.S. Senate,,REP,Upshur,Precinct 38,141,,
Joseph Manchin III,U.S. Senate,,DEM,Upshur,Precinct 38,96,,
Rusty Hollen ,U.S. Senate,,LIB,Upshur,Precinct 38,32,,
Write-In,U.S. Senate,,,Upshur,Precinct 38,1,,
Alex X. Mooney ,U.S. House,2,REP,Upshur,Precinct 38,165,,
Talley Sergent,U.S. Senate,2,DEM,Upshur,Precinct 38,95,,
"Daniel P. ""Danny"" Lutz Jr. ",U.S. House,2,MTN,Upshur,Precinct 38,9,,
Write-In,U.S. House,2,,Upshur,Precinct 38,0,,
Bill Hamilton,State Senate,11,REP,Upshur,Precinct 38,224,,
Laura M. Finch,State Senate,11,DEM,Upshur,Precinct 38,43,,
Write-In,State Senate,11,,Upshur,Precinct 38,0,,
"Carl ""Robbie"" Martin",House of Delegates,45,REP,Upshur,Precinct 38,194,,
Matthew Kerner,House of Delegates,45,DEM,Upshur,Precinct 38,71,,
Write-In,House of Delegates,45,,Upshur,Precinct 38,0,,
,Registered Voters,,,Upshur,Precinct 39,727,,
,Ballots Cast,,,Upshur,Precinct 39,430,,
Patrick Morrisey ,U.S. Senate,,REP,Upshur,Precinct 39,244,,
Joseph Manchin III,U.S. Senate,,DEM,Upshur,Precinct 39,146,,
Rusty Hollen ,U.S. Senate,,LIB,Upshur,Precinct 39,25,,
Write-In,U.S. Senate,,,Upshur,Precinct 39,2,,
Alex X. Mooney ,U.S. House,2,REP,Upshur,Precinct 39,272,,
Talley Sergent,U.S. Senate,2,DEM,Upshur,Precinct 39,137,,
"Daniel P. ""Danny"" Lutz Jr. ",U.S. House,2,MTN,Upshur,Precinct 39,8,,
Write-In,U.S. House,2,,Upshur,Precinct 39,1,,
Bill Hamilton,State Senate,11,REP,Upshur,Precinct 39,365,,
Laura M. Finch,State Senate,11,DEM,Upshur,Precinct 39,52,,
Write-In,State Senate,11,,Upshur,Precinct 39,3,,
"Carl ""Robbie"" Martin",House of Delegates,45,REP,Upshur,Precinct 39,311,,
Matthew Kerner,House of Delegates,45,DEM,Upshur,Precinct 39,114,,
Write-In,House of Delegates,45,,Upshur,Precinct 39,0,,
,Registered Voters,,,Upshur,Precinct 40,380,,
,Ballots Cast,,,Upshur,Precinct 40,247,,
Patrick Morrisey ,U.S. Senate,,REP,Upshur,Precinct 40,136,,
Joseph Manchin III,U.S. Senate,,DEM,Upshur,Precinct 40,93,,
Rusty Hollen ,U.S. Senate,,LIB,Upshur,Precinct 40,16,,
Write-In,U.S. Senate,,,Upshur,Precinct 40,0,,
Alex X. Mooney ,U.S. House,2,REP,Upshur,Precinct 40,153,,
Talley Sergent,U.S. Senate,2,DEM,Upshur,Precinct 40,86,,
"Daniel P. ""Danny"" Lutz Jr. ",U.S. House,2,MTN,Upshur,Precinct 40,6,,
Write-In,U.S. House,2,,Upshur,Precinct 40,0,,
Bill Hamilton,State Senate,11,REP,Upshur,Precinct 40,205,,
Laura M. Finch,State Senate,11,DEM,Upshur,Precinct 40,34,,
Write-In,State Senate,11,,Upshur,Precinct 40,2,,
"Carl ""Robbie"" Martin",House of Delegates,45,REP,Upshur,Precinct 40,178,,
Matthew Kerner,House of Delegates,45,DEM,Upshur,Precinct 40,66,,
Write-In,House of Delegates,45,,Upshur,Precinct 40,1,,
,Registered Voters,,,Upshur,Precinct 44,679,,
,Ballots Cast,,,Upshur,Precinct 44,417,,
Patrick Morrisey ,U.S. Senate,,REP,Upshur,Precinct 44,202,,
Joseph Manchin III,U.S. Senate,,DEM,Upshur,Precinct 44,183,,
Rusty Hollen ,U.S. Senate,,LIB,Upshur,Precinct 44,19,,
Write-In,U.S. Senate,,,Upshur,Precinct 44,1,,
Alex X. Mooney ,U.S. House,2,REP,Upshur,Precinct 44,238,,
Talley Sergent,U.S. Senate,2,DEM,Upshur,Precinct 44,157,,
"Daniel P. ""Danny"" Lutz Jr. ",U.S. House,2,MTN,Upshur,Precinct 44,8,,
Write-In,U.S. House,2,,Upshur,Precinct 44,0,,
Bill Hamilton,State Senate,11,REP,Upshur,Precinct 44,344,,
Laura M. Finch,State Senate,11,DEM,Upshur,Precinct 44,58,,
Write-In,State Senate,11,,Upshur,Precinct 44,0,,
"Carl ""Robbie"" Martin",House of Delegates,45,REP,Upshur,Precinct 44,281,,
Matthew Kerner,House of Delegates,45,DEM,Upshur,Precinct 44,125,,
Write-In,House of Delegates,45,,Upshur,Precinct 44,0,,
,Registered Voters,,,Upshur,Precinct 47,919,,
,Ballots Cast,,,Upshur,Precinct 47,513,,
Patrick Morrisey ,U.S. Senate,,REP,Upshur,Precinct 47,303,,
Joseph Manchin III,U.S. Senate,,DEM,Upshur,Precinct 47,172,,
Rusty Hollen ,U.S. Senate,,LIB,Upshur,Precinct 47,28,,
Write-In,U.S. Senate,,,Upshur,Precinct 47,0,,
Alex X. Mooney ,U.S. House,2,REP,Upshur,Precinct 47,340,,
Talley Sergent,U.S. Senate,2,DEM,Upshur,Precinct 47,143,,
"Daniel P. ""Danny"" Lutz Jr. ",U.S. House,2,MTN,Upshur,Precinct 47,17,,
Write-In,U.S. House,2,,Upshur,Precinct 47,0,,
Bill Hamilton,State Senate,11,REP,Upshur,Precinct 47,434,,
Laura M. Finch,State Senate,11,DEM,Upshur,Precinct 47,61,,
Write-In,State Senate,11,,Upshur,Precinct 47,1,,
Caleb Hanna,House of Delegates,44,REP,Upshur,Precinct 47,319,,
Dana L. Lynch,House of Delegates,44,DEM,Upshur,Precinct 47,152,,
Barbara Daniels ,House of Delegates,44,MTN,Upshur,Precinct 47,23,,
Write-In,House of Delegates,44,,Upshur,Precinct 47,1,,
