candidate,office,district,party,county,precinct,total votes,650_ed,650_ev,ivo_ed,ivo_ev
Rick Santorum,President,,REP,Pendleton,Precinct 1,3,0,0,3,0
Mitt Romney,President,,REP,Pendleton,Precinct 1,16,10,0,6,0
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 1,22,11,0,11,0
Michael Davis,U.S. House,2,REP,Pendleton,Precinct 1,2,1,0,1,0
Jonathan Miller,U.S. House,2,REP,Pendleton,Precinct 1,0,0,0,0,0
Shelley Moore Capito,U.S. House,2,REP,Pendleton,Precinct 1,20,10,0,10,0
Bill Maloney,Governor,,REP,Pendleton,Precinct 1,16,9,0,7,0
Ralph William Clark,Governor,,REP,Pendleton,Precinct 1,5,2,0,3,0
Brian Savilla,Secretary of State,,REP,Pendleton,Precinct 1,19,10,0,9,0
Larry V. Faircloth,Auditor,,REP,Pendleton,Precinct 1,19,10,0,9,0
Mike Hall,Treasurer,,REP,Pendleton,Precinct 1,11,7,0,4,0
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Pendleton,Precinct 1,8,2,0,6,0
Patrick Morrisey,Attorney General,,REP,Pendleton,Precinct 1,19,10,0,9,0
Clark Barnes,State Senate,11,REP,Pendleton,Precinct 1,22,11,0,11,0
Stephen G. Smith,House of Delegates,55,REP,Pendleton,Precinct 1,20,11,0,9,0
Keith Judd,President,,DEM,Pendleton,Precinct 2,60,44,4,12,0
Barack Obama,President,,DEM,Pendleton,Precinct 2,61,42,8,8,3
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 2,31,18,4,9,0
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 2,113,79,13,16,5
Dugald Brown,U.S. House,2,DEM,Pendleton,Precinct 2,47,32,2,11,2
Howard Swint,U.S. House,2,DEM,Pendleton,Precinct 2,16,9,5,2,0
William McCann,U.S. House,2,DEM,Pendleton,Precinct 2,37,27,3,7,0
Arne Moltis,Governor,,DEM,Pendleton,Precinct 2,25,15,3,7,0
Earl Ray Tomblin,Governor,,DEM,Pendleton,Precinct 2,123,87,14,18,4
Natalie E. Tennant,Secretary of State,,DEM,Pendleton,Precinct 2,102,69,8,22,3
Glen B. Gainer III,Auditor,,DEM,Pendleton,Precinct 2,107,73,10,21,3
John D. Perdue,Treasurer,,DEM,Pendleton,Precinct 2,114,77,11,23,3
Sally Shepherd,Commissioner of Agriculture,,DEM,Pendleton,Precinct 2,3,3,0,0,0
Bob Tabb,Commissioner of Agriculture,,DEM,Pendleton,Precinct 2,4,2,0,2,0
Steve Miller,Commissioner of Agriculture,,DEM,Pendleton,Precinct 2,25,18,2,5,0
Walt Helmick,Commissioner of Agriculture,,DEM,Pendleton,Precinct 2,110,75,14,17,4
Joe Messineo,Commissioner of Agriculture,,DEM,Pendleton,Precinct 2,1,1,0,0,0
"Darrell V McGraw, Jr.",Attorney General,,DEM,Pendleton,Precinct 2,107,73,10,22,2
"Paul ""P.J."" Louk",State Senate,11,DEM,Pendleton,Precinct 2,37,30,2,5,0
Margaret Kerr Beckwith,State Senate,11,DEM,Pendleton,Precinct 2,63,40,8,14,1
"John Hamilton Treadway, Jr.",House of Delegates,55,DEM,Pendleton,Precinct 2,32,27,5,0,0
Isaac Sponaugle,House of Delegates,55,DEM,Pendleton,Precinct 2,122,80,12,25,5
"Charles ""Buddy"" Roemer",President,,REP,Pendleton,Precinct 2,0,0,0,0,0
Newt Gingrich,President,,REP,Pendleton,Precinct 2,1,1,0,0,0
Ron Paul,President,,REP,Pendleton,Precinct 2,4,2,0,2,0
Rick Santorum,President,,REP,Pendleton,Precinct 2,6,5,0,1,0
Mitt Romney,President,,REP,Pendleton,Precinct 2,22,8,3,10,1
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 2,28,13,2,13,0
Michael Davis,U.S. House,2,REP,Pendleton,Precinct 2,7,3,0,4,0
Jonathan Miller,U.S. House,2,REP,Pendleton,Precinct 2,0,0,0,0,0
Shelley Moore Capito,U.S. House,2,REP,Pendleton,Precinct 2,26,13,3,9,1
Bill Maloney,Governor,,REP,Pendleton,Precinct 2,21,9,3,8,1
Ralph William Clark,Governor,,REP,Pendleton,Precinct 2,11,6,0,5,0
Brian Savilla,Secretary of State,,REP,Pendleton,Precinct 2,29,13,2,13,1
Larry V. Faircloth,Auditor,,REP,Pendleton,Precinct 2,29,13,2,13,1
Mike Hall,Treasurer,,REP,Pendleton,Precinct 2,14,5,2,6,1
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Pendleton,Precinct 2,16,9,0,7,0
Patrick Morrisey,Attorney General,,REP,Pendleton,Precinct 2,29,13,2,13,1
Clark Barnes,State Senate,11,REP,Pendleton,Precinct 2,31,15,2,13,1
Stephen G. Smith,House of Delegates,55,REP,Pendleton,Precinct 2,31,15,2,13,1
Keith Judd,President,,DEM,Pendleton,Precinct 3,59,52,1,6,0
Barack Obama,President,,DEM,Pendleton,Precinct 3,42,38,3,1,0
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 3,28,25,0,3,0
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 3,91,82,3,6,0
Dugald Brown,U.S. House,2,DEM,Pendleton,Precinct 3,33,31,1,1,0
Howard Swint,U.S. House,2,DEM,Pendleton,Precinct 3,12,10,0,2,0
William McCann,U.S. House,2,DEM,Pendleton,Precinct 3,30,26,0,4,0
Arne Moltis,Governor,,DEM,Pendleton,Precinct 3,25,23,0,2,0
Earl Ray Tomblin,Governor,,DEM,Pendleton,Precinct 3,90,79,4,7,0
Natalie E. Tennant,Secretary of State,,DEM,Pendleton,Precinct 3,79,69,2,8,0
Glen B. Gainer III,Auditor,,DEM,Pendleton,Precinct 3,83,74,2,7,0
John D. Perdue,Treasurer,,DEM,Pendleton,Precinct 3,84,75,2,7,0
Sally Shepherd,Commissioner of Agriculture,,DEM,Pendleton,Precinct 3,6,5,0,1,0
Bob Tabb,Commissioner of Agriculture,,DEM,Pendleton,Precinct 3,2,1,0,1,0
Steve Miller,Commissioner of Agriculture,,DEM,Pendleton,Precinct 3,14,13,0,0,1
Walt Helmick,Commissioner of Agriculture,,DEM,Pendleton,Precinct 3,97,84,4,9,0
Joe Messineo,Commissioner of Agriculture,,DEM,Pendleton,Precinct 3,4,4,0,0,0
"Darrell V McGraw, Jr.",Attorney General,,DEM,Pendleton,Precinct 3,84,74,2,8,0
"Paul ""P.J."" Louk",State Senate,11,DEM,Pendleton,Precinct 3,33,29,2,2,0
Margaret Kerr Beckwith,State Senate,11,DEM,Pendleton,Precinct 3,42,36,1,5,0
"Charles ""Buddy"" Roemer",President,,REP,Pendleton,Precinct 3,0,0,0,0,0
Newt Gingrich,President,,REP,Pendleton,Precinct 3,2,2,0,0,0
Ron Paul,President,,REP,Pendleton,Precinct 3,1,1,0,0,0
Rick Santorum,President,,REP,Pendleton,Precinct 3,4,4,0,0,0
Mitt Romney,President,,REP,Pendleton,Precinct 3,32,19,6,6,1
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 3,28,20,3,5,0
Michael Davis,U.S. House,2,REP,Pendleton,Precinct 3,5,3,1,1,0
Jonathan Miller,U.S. House,2,REP,Pendleton,Precinct 3,1,1,0,0,0
Shelley Moore Capito,U.S. House,2,REP,Pendleton,Precinct 3,30,21,4,4,1
Bill Maloney,Governor,,REP,Pendleton,Precinct 3,26,17,4,4,1
Ralph William Clark,Governor,,REP,Pendleton,Precinct 3,7,6,0,1,0
Brian Savilla,Secretary of State,,REP,Pendleton,Precinct 3,22,13,4,5,0
Larry V. Faircloth,Auditor,,REP,Pendleton,Precinct 3,24,15,4,5,0
Mike Hall,Treasurer,,REP,Pendleton,Precinct 3,13,8,3,2,0
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Pendleton,Precinct 3,11,7,1,3,0
Patrick Morrisey,Attorney General,,REP,Pendleton,Precinct 3,22,14,4,4,0
Clark Barnes,State Senate,11,REP,Pendleton,Precinct 3,35,23,5,6,1
Allen V. Evans,House of Delegates,54,REP,Pendleton,Precinct 3,30,19,4,6,1
Keith Judd,President,,DEM,Pendleton,Precinct 5,43,25,8,7,3
Barack Obama,President,,DEM,Pendleton,Precinct 5,85,46,15,18,6
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 5,29,15,5,8,1
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 5,128,72,27,20,9
Dugald Brown,U.S. House,2,DEM,Pendleton,Precinct 5,48,31,6,10,1
Howard Swint,U.S. House,2,DEM,Pendleton,Precinct 5,11,4,2,3,2
William McCann,U.S. House,2,DEM,Pendleton,Precinct 5,40,22,8,7,3
Arne Moltis,Governor,,DEM,Pendleton,Precinct 5,22,11,4,5,2
Earl Ray Tomblin,Governor,,DEM,Pendleton,Precinct 5,123,68,28,19,8
Natalie E. Tennant,Secretary of State,,DEM,Pendleton,Precinct 5,104,58,21,19,6
Glen B. Gainer III,Auditor,,DEM,Pendleton,Precinct 5,111,63,25,18,5
John D. Perdue,Treasurer,,DEM,Pendleton,Precinct 5,111,61,23,21,6
Sally Shepherd,Commissioner of Agriculture,,DEM,Pendleton,Precinct 5,4,2,1,1,0
Bob Tabb,Commissioner of Agriculture,,DEM,Pendleton,Precinct 5,7,4,3,0,0
Steve Miller,Commissioner of Agriculture,,DEM,Pendleton,Precinct 5,37,22,7,7,1
Walt Helmick,Commissioner of Agriculture,,DEM,Pendleton,Precinct 5,109,59,22,19,9
Joe Messineo,Commissioner of Agriculture,,DEM,Pendleton,Precinct 5,3,2,0,1,0
"Darrell V McGraw, Jr.",Attorney General,,DEM,Pendleton,Precinct 5,110,59,27,19,5
"Paul ""P.J."" Louk",State Senate,11,DEM,Pendleton,Precinct 5,32,23,4,3,2
Margaret Kerr Beckwith,State Senate,11,DEM,Pendleton,Precinct 5,75,39,15,17,4
"John Hamilton Treadway, Jr.",House of Delegates,55,DEM,Pendleton,Precinct 5,36,20,7,7,2
Isaac Sponaugle,House of Delegates,55,DEM,Pendleton,Precinct 5,126,68,27,22,9
"Charles ""Buddy"" Roemer",President,,REP,Pendleton,Precinct 5,1,1,0,0,0
Newt Gingrich,President,,REP,Pendleton,Precinct 5,1,0,0,1,0
Ron Paul,President,,REP,Pendleton,Precinct 5,1,1,0,0,0
Rick Santorum,President,,REP,Pendleton,Precinct 5,7,5,1,0,1
Mitt Romney,President,,REP,Pendleton,Precinct 5,19,14,2,3,0
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 5,24,18,3,3,0
Michael Davis,U.S. House,2,REP,Pendleton,Precinct 5,2,1,0,1,0
Jonathan Miller,U.S. House,2,REP,Pendleton,Precinct 5,0,0,0,0,0
Shelley Moore Capito,U.S. House,2,REP,Pendleton,Precinct 5,27,19,4,3,1
Bill Maloney,Governor,,REP,Pendleton,Precinct 5,19,14,2,3,0
Ralph William Clark,Governor,,REP,Pendleton,Precinct 5,5,4,1,0,0
Brian Savilla,Secretary of State,,REP,Pendleton,Precinct 5,20,14,3,3,0
Larry V. Faircloth,Auditor,,REP,Pendleton,Precinct 5,21,14,3,4,0
Mike Hall,Treasurer,,REP,Pendleton,Precinct 5,10,9,1,0,0
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Pendleton,Precinct 5,12,7,2,3,0
Patrick Morrisey,Attorney General,,REP,Pendleton,Precinct 5,21,14,3,4,0
Clark Barnes,State Senate,11,REP,Pendleton,Precinct 5,26,18,4,3,1
Stephen G. Smith,House of Delegates,55,REP,Pendleton,Precinct 5,18,12,3,3,0
Keith Judd,President,,DEM,Pendleton,Precinct 6,88,42,18,23,5
Barack Obama,President,,DEM,Pendleton,Precinct 6,107,52,24,19,12
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 6,52,24,13,13,2
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 6,173,83,36,38,16
Dugald Brown,U.S. House,2,DEM,Pendleton,Precinct 6,69,27,19,19,4
Howard Swint,U.S. House,2,DEM,Pendleton,Precinct 6,21,12,0,7,2
William McCann,U.S. House,2,DEM,Pendleton,Precinct 6,72,35,13,16,8
Arne Moltis,Governor,,DEM,Pendleton,Precinct 6,42,18,10,9,5
Earl Ray Tomblin,Governor,,DEM,Pendleton,Precinct 6,175,81,39,38,17
Natalie E. Tennant,Secretary of State,,DEM,Pendleton,Precinct 6,172,83,31,41,17
Glen B. Gainer III,Auditor,,DEM,Pendleton,Precinct 6,172,85,31,40,16
John D. Perdue,Treasurer,,DEM,Pendleton,Precinct 6,171,86,29,39,17
Sally Shepherd,Commissioner of Agriculture,,DEM,Pendleton,Precinct 6,10,4,2,3,1
Bob Tabb,Commissioner of Agriculture,,DEM,Pendleton,Precinct 6,4,3,1,0,0
Steve Miller,Commissioner of Agriculture,,DEM,Pendleton,Precinct 6,41,24,7,6,4
Walt Helmick,Commissioner of Agriculture,,DEM,Pendleton,Precinct 6,168,73,42,37,16
Joe Messineo,Commissioner of Agriculture,,DEM,Pendleton,Precinct 6,5,1,0,3,1
"Darrell V McGraw, Jr.",Attorney General,,DEM,Pendleton,Precinct 6,174,84,35,40,15
"Paul ""P.J."" Louk",State Senate,11,DEM,Pendleton,Precinct 6,51,21,12,13,5
Margaret Kerr Beckwith,State Senate,11,DEM,Pendleton,Precinct 6,100,48,19,24,9
"John Hamilton Treadway, Jr.",House of Delegates,55,DEM,Pendleton,Precinct 6,43,18,14,9,2
Isaac Sponaugle,House of Delegates,55,DEM,Pendleton,Precinct 6,204,95,44,42,23
"Charles ""Buddy"" Roemer",President,,REP,Pendleton,Precinct 6,0,0,0,0,0
Newt Gingrich,President,,REP,Pendleton,Precinct 6,5,3,0,2,0
Ron Paul,President,,REP,Pendleton,Precinct 6,1,0,0,1,0
Rick Santorum,President,,REP,Pendleton,Precinct 6,7,2,0,4,1
Mitt Romney,President,,REP,Pendleton,Precinct 6,29,16,3,10,0
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 6,35,18,2,14,1
Michael Davis,U.S. House,2,REP,Pendleton,Precinct 6,3,1,0,2,0
Jonathan Miller,U.S. House,2,REP,Pendleton,Precinct 6,0,0,0,0,0
Shelley Moore Capito,U.S. House,2,REP,Pendleton,Precinct 6,39,20,3,15,1
Bill Maloney,Governor,,REP,Pendleton,Precinct 6,26,13,2,11,0
Ralph William Clark,Governor,,REP,Pendleton,Precinct 6,12,5,1,5,1
Brian Savilla,Secretary of State,,REP,Pendleton,Precinct 6,30,13,3,13,1
Larry V. Faircloth,Auditor,,REP,Pendleton,Precinct 6,28,12,3,13,0
Mike Hall,Treasurer,,REP,Pendleton,Precinct 6,16,6,2,7,1
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Pendleton,Precinct 6,16,9,0,7,0
Patrick Morrisey,Attorney General,,REP,Pendleton,Precinct 6,29,13,3,13,0
Clark Barnes,State Senate,11,REP,Pendleton,Precinct 6,39,19,3,16,1
Stephen G. Smith,House of Delegates,55,REP,Pendleton,Precinct 6,28,12,2,14,0
Keith Judd,President,,DEM,Pendleton,Precinct 7A,66,39,9,12,6
Barack Obama,President,,DEM,Pendleton,Precinct 7A,78,39,23,11,5
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 7A,38,14,12,6,6
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 7A,135,80,25,21,9
Dugald Brown,U.S. House,2,DEM,Pendleton,Precinct 7A,49,27,11,5,6
Howard Swint,U.S. House,2,DEM,Pendleton,Precinct 7A,21,11,5,4,1
William McCann,U.S. House,2,DEM,Pendleton,Precinct 7A,47,24,9,11,3
Arne Moltis,Governor,,DEM,Pendleton,Precinct 7A,38,17,10,6,5
Earl Ray Tomblin,Governor,,DEM,Pendleton,Precinct 7A,129,74,29,18,8
Natalie E. Tennant,Secretary of State,,DEM,Pendleton,Precinct 7A,126,66,27,23,10
Glen B. Gainer III,Auditor,,DEM,Pendleton,Precinct 7A,121,63,28,21,9
John D. Perdue,Treasurer,,DEM,Pendleton,Precinct 7A,122,64,26,22,10
Sally Shepherd,Commissioner of Agriculture,,DEM,Pendleton,Precinct 7A,11,8,1,2,0
Bob Tabb,Commissioner of Agriculture,,DEM,Pendleton,Precinct 7A,5,0,1,2,2
Steve Miller,Commissioner of Agriculture,,DEM,Pendleton,Precinct 7A,41,19,8,5,9
Walt Helmick,Commissioner of Agriculture,,DEM,Pendleton,Precinct 7A,115,66,27,17,5
Joe Messineo,Commissioner of Agriculture,,DEM,Pendleton,Precinct 7A,3,1,2,0,0
"Darrell V McGraw, Jr.",Attorney General,,DEM,Pendleton,Precinct 7A,126,65,28,22,11
"Paul ""P.J."" Louk",State Senate,11,DEM,Pendleton,Precinct 7A,34,21,4,8,1
Margaret Kerr Beckwith,State Senate,11,DEM,Pendleton,Precinct 7A,83,38,22,14,9
"John Hamilton Treadway, Jr.",House of Delegates,55,DEM,Pendleton,Precinct 7A,32,16,10,4,2
Isaac Sponaugle,House of Delegates,55,DEM,Pendleton,Precinct 7A,147,79,29,24,15
"Charles ""Buddy"" Roemer",President,,REP,Pendleton,Precinct 7A,0,0,0,0,0
Newt Gingrich,President,,REP,Pendleton,Precinct 7A,3,0,2,0,1
Ron Paul,President,,REP,Pendleton,Precinct 7A,3,2,1,0,0
Rick Santorum,President,,REP,Pendleton,Precinct 7A,2,2,0,0,0
Mitt Romney,President,,REP,Pendleton,Precinct 7A,23,12,1,3,7
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 7A,24,12,2,3,7
Michael Davis,U.S. House,2,REP,Pendleton,Precinct 7A,6,5,0,1,0
Jonathan Miller,U.S. House,2,REP,Pendleton,Precinct 7A,0,0,0,0,0
Shelley Moore Capito,U.S. House,2,REP,Pendleton,Precinct 7A,22,11,2,2,7
Bill Maloney,Governor,,REP,Pendleton,Precinct 7A,21,11,1,1,8
Ralph William Clark,Governor,,REP,Pendleton,Precinct 7A,6,4,0,2,0
Brian Savilla,Secretary of State,,REP,Pendleton,Precinct 7A,24,13,1,3,7
Larry V. Faircloth,Auditor,,REP,Pendleton,Precinct 7A,25,13,1,3,8
Mike Hall,Treasurer,,REP,Pendleton,Precinct 7A,14,6,0,2,6
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Pendleton,Precinct 7A,10,7,1,1,1
Patrick Morrisey,Attorney General,,REP,Pendleton,Precinct 7A,25,13,1,3,8
Clark Barnes,State Senate,11,REP,Pendleton,Precinct 7A,27,14,2,3,8
Stephen G. Smith,House of Delegates,55,REP,Pendleton,Precinct 7A,24,12,1,3,8
Keith Judd,President,,DEM,Pendleton,Precinct 7B,33,21,1,9,2
Barack Obama,President,,DEM,Pendleton,Precinct 7B,69,30,20,17,2
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 7B,21,10,4,7,0
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 7B,106,54,24,22,6
Dugald Brown,U.S. House,2,DEM,Pendleton,Precinct 7B,40,18,11,9,2
Howard Swint,U.S. House,2,DEM,Pendleton,Precinct 7B,12,4,1,6,1
William McCann,U.S. House,2,DEM,Pendleton,Precinct 7B,31,17,5,6,3
Arne Moltis,Governor,,DEM,Pendleton,Precinct 7B,14,7,3,2,2
Earl Ray Tomblin,Governor,,DEM,Pendleton,Precinct 7B,113,56,26,27,4
Natalie E. Tennant,Secretary of State,,DEM,Pendleton,Precinct 7B,83,37,16,24,6
Glen B. Gainer III,Auditor,,DEM,Pendleton,Precinct 7B,81,36,19,20,6
John D. Perdue,Treasurer,,DEM,Pendleton,Precinct 7B,89,39,22,23,5
Sally Shepherd,Commissioner of Agriculture,,DEM,Pendleton,Precinct 7B,3,0,2,1,0
Bob Tabb,Commissioner of Agriculture,,DEM,Pendleton,Precinct 7B,5,3,1,1,0
Steve Miller,Commissioner of Agriculture,,DEM,Pendleton,Precinct 7B,29,12,10,6,1
Walt Helmick,Commissioner of Agriculture,,DEM,Pendleton,Precinct 7B,89,44,18,21,6
Joe Messineo,Commissioner of Agriculture,,DEM,Pendleton,Precinct 7B,7,5,1,1,0
"Darrell V McGraw, Jr.",Attorney General,,DEM,Pendleton,Precinct 7B,86,36,20,24,6
"Paul ""P.J."" Louk",State Senate,11,DEM,Pendleton,Precinct 7B,25,11,6,6,2
Margaret Kerr Beckwith,State Senate,11,DEM,Pendleton,Precinct 7B,54,26,14,11,3
"John Hamilton Treadway, Jr.",House of Delegates,55,DEM,Pendleton,Precinct 7B,31,18,10,1,2
Isaac Sponaugle,House of Delegates,55,DEM,Pendleton,Precinct 7B,107,49,24,29,5
"Charles ""Buddy"" Roemer",President,,REP,Pendleton,Precinct 7B,0,0,0,0,0
Newt Gingrich,President,,REP,Pendleton,Precinct 7B,0,0,0,0,0
Ron Paul,President,,REP,Pendleton,Precinct 7B,0,0,0,0,0
Rick Santorum,President,,REP,Pendleton,Precinct 7B,3,0,2,1,0
Mitt Romney,President,,REP,Pendleton,Precinct 7B,21,10,2,8,1
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 7B,21,9,3,8,1
Michael Davis,U.S. House,2,REP,Pendleton,Precinct 7B,3,0,0,3,0
Jonathan Miller,U.S. House,2,REP,Pendleton,Precinct 7B,0,0,0,0,0
Shelley Moore Capito,U.S. House,2,REP,Pendleton,Precinct 7B,23,17,4,6,1
Bill Maloney,Governor,,REP,Pendleton,Precinct 7B,18,7,3,7,1
Ralph William Clark,Governor,,REP,Pendleton,Precinct 7B,6,3,1,2,0
Brian Savilla,Secretary of State,,REP,Pendleton,Precinct 7B,15,5,2,7,1
Larry V. Faircloth,Auditor,,REP,Pendleton,Precinct 7B,16,5,2,8,1
Mike Hall,Treasurer,,REP,Pendleton,Precinct 7B,7,3,1,3,0
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Pendleton,Precinct 7B,9,3,1,4,1
Patrick Morrisey,Attorney General,,REP,Pendleton,Precinct 7B,15,4,3,7,1
Clark Barnes,State Senate,11,REP,Pendleton,Precinct 7B,24,12,3,8,1
Stephen G. Smith,House of Delegates,55,REP,Pendleton,Precinct 7B,17,6,3,7,1
Keith Judd,President,,DEM,Pendleton,Precinct 8,22,13,1,8,0
Barack Obama,President,,DEM,Pendleton,Precinct 8,28,13,5,8,2
Sheirl Fletcher,U.S. Senate,,DEM,Pendleton,Precinct 8,18,12,1,5,0
Joe Manchin III,U.S. Senate,,DEM,Pendleton,Precinct 8,41,20,6,13,2
Dugald Brown,U.S. House,2,DEM,Pendleton,Precinct 8,21,13,2,5,1
Howard Swint,U.S. House,2,DEM,Pendleton,Precinct 8,5,3,1,1,0
William McCann,U.S. House,2,DEM,Pendleton,Precinct 8,17,8,2,6,1
Arne Moltis,Governor,,DEM,Pendleton,Precinct 8,9,7,0,2,0
Earl Ray Tomblin,Governor,,DEM,Pendleton,Precinct 8,44,22,6,14,2
Natalie E. Tennant,Secretary of State,,DEM,Pendleton,Precinct 8,45,24,4,15,2
Glen B. Gainer III,Auditor,,DEM,Pendleton,Precinct 8,43,24,4,13,2
John D. Perdue,Treasurer,,DEM,Pendleton,Precinct 8,45,26,4,13,2
Sally Shepherd,Commissioner of Agriculture,,DEM,Pendleton,Precinct 8,1,1,0,0,0
Bob Tabb,Commissioner of Agriculture,,DEM,Pendleton,Precinct 8,2,1,0,0,1
Steve Miller,Commissioner of Agriculture,,DEM,Pendleton,Precinct 8,13,6,4,2,1
Walt Helmick,Commissioner of Agriculture,,DEM,Pendleton,Precinct 8,41,23,4,14,0
Joe Messineo,Commissioner of Agriculture,,DEM,Pendleton,Precinct 8,1,0,0,1,0
"Darrell V McGraw, Jr.",Attorney General,,DEM,Pendleton,Precinct 8,48,26,5,15,2
"Paul ""P.J."" Louk",State Senate,11,DEM,Pendleton,Precinct 8,22,14,1,6,1
Margaret Kerr Beckwith,State Senate,11,DEM,Pendleton,Precinct 8,19,10,2,6,1
"Charles ""Buddy"" Roemer",President,,REP,Pendleton,Precinct 8,0,0,0,0,0
Newt Gingrich,President,,REP,Pendleton,Precinct 8,3,2,0,1,0
Ron Paul,President,,REP,Pendleton,Precinct 8,2,2,0,0,0
Rick Santorum,President,,REP,Pendleton,Precinct 8,5,5,0,0,0
Mitt Romney,President,,REP,Pendleton,Precinct 8,41,28,4,8,1
John R. Raese,U.S. Senate,,REP,Pendleton,Precinct 8,40,31,4,4,1
Michael Davis,U.S. House,2,REP,Pendleton,Precinct 8,4,2,0,2,0
Jonathan Miller,U.S. House,2,REP,Pendleton,Precinct 8,0,0,0,0,0
Shelley Moore Capito,U.S. House,2,REP,Pendleton,Precinct 8,47,36,4,7,0
Bill Maloney,Governor,,REP,Pendleton,Precinct 8,40,31,2,7,0
Ralph William Clark,Governor,,REP,Pendleton,Precinct 8,8,5,1,1,1
Brian Savilla,Secretary of State,,REP,Pendleton,Precinct 8,39,27,4,7,1
Larry V. Faircloth,Auditor,,REP,Pendleton,Precinct 8,39,26,4,8,1
Mike Hall,Treasurer,,REP,Pendleton,Precinct 8,24,15,4,4,1
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Pendleton,Precinct 8,17,14,0,3,0
Patrick Morrisey,Attorney General,,REP,Pendleton,Precinct 8,36,25,4,6,1
Clark Barnes,State Senate,11,REP,Pendleton,Precinct 8,42,30,4,7,1
Allen V. Evans,House of Delegates,54,REP,Pendleton,Precinct 8,39,26,4,8,1
Keith Judd,President,,DEM,Pendleton,Precinct 9,67,45,8,12,2
Barack Obama,President,,DEM,Pendleton,Precinct 9,51,21,8,17,5
