candidate,office,district,party,county,precinct,votes
Raymond V. Davis III,House of Delegates,5,,Monongalia,Precinct 4,
Denzil W. Sloan ,House of Delegates,5,,Monongalia,Precinct 4,
Jeff Tansill,House of Delegates,49,,Monongalia,Precinct 4,
Mike Manypenny,House of Delegates,49,,Monongalia,Precinct 4,
Amanda Pasdon,House of Delegates,51,,Monongalia,Precinct 4,291
Jay Redmond,House of Delegates,51,,Monongalia,Precinct 4,230
Cindy Frich ,House of Delegates,51,,Monongalia,Precinct 4,280
John P. Woods,House of Delegates,51,,Monongalia,Precinct 4,181
Kevin Scott Poe,House of Delegates,51,,Monongalia,Precinct 4,217
Billy Smerka Jr. ,House of Delegates,51,,Monongalia,Precinct 4,403
Nancy Jamison,House of Delegates,51,,Monongalia,Precinct 4,429
Charlene Marshall ,House of Delegates,51,,Monongalia,Precinct 4,547
Barbara Evans Fleischauer,House of Delegates,51,,Monongalia,Precinct 4,547
"Anthony P. ""Tony"" Barill ",House of Delegates,51,,Monongalia,Precinct 4,450
Harry V. Bertram,House of Delegates,51,,Monongalia,Precinct 4,35
,Registered Voters,,,Monongalia,Precinct 6,817
,Ballots Cast,,,Monongalia,Precinct 6,338
,Straight Party,,REP,Monongalia,Precinct 6,11
,Straight Party,,DEM,Monongalia,Precinct 6,69
,Straight Party,,MTN,Monongalia,Precinct 6,1
,Straight Party,,LIBER,Monongalia,Precinct 6,5
Mitt Romney ,President ,,,Monongalia,Precinct 6,57
Barack Obama,President ,,,Monongalia,Precinct 6,253
Jill Stein,President ,,,Monongalia,Precinct 6,9
Gary Johnson,President ,,,Monongalia,Precinct 6,16
Randall Terry,President ,,,Monongalia,Precinct 6,2
John R. Raese,U.S. Senate,,,Monongalia,Precinct 6,54
Joe Manchin III,U.S. Senate,,,Monongalia,Precinct 6,227
Bob Henry Baber,U.S. Senate,,,Monongalia,Precinct 6,44
David B McKinley ,U.S. House,1,,Monongalia,Precinct 6,62
Sue Thorn,U.S. House,1,,Monongalia,Precinct 6,244
Bill Maloney,Governor,,,Monongalia,Precinct 6,64
Earl Ray Tomblin,Governor,,,Monongalia,Precinct 6,206
Jesse Johnson,Governor,,,Monongalia,Precinct 6,44
David Moran ,Governor,,,Monongalia,Precinct 6,14
Brian Savilla,Secretary of State,,,Monongalia,Precinct 6,43
Natalie E. Tennant,Secretary of State,,,Monongalia,Precinct 6,275
Larry V. Faircloth,Auditor,,,Monongalia,Precinct 6,56
Glen B. Gainer III,Auditor,,,Monongalia,Precinct 6,241
Mike Hall,Treasurer,,,Monongalia,Precinct 6,53
John D. Perdue,Treasurer,,,Monongalia,Precinct 6,250
Kent Leonhardt ,Commissioner of Agriculture,,,Monongalia,Precinct 6,69
Walt Helmick,Commissioner of Agriculture,,,Monongalia,Precinct 6,232
Patrick Morrisey,Attorney General,,,Monongalia,Precinct 6,58
"Darrell V. McGraw, Jr. ",Attorney General,,,Monongalia,Precinct 6,251
Jeffrey V. Kessler,State Senate,2,,Monongalia,Precinct 6,
Casey Mayer,State Senate,13,,Monongalia,Precinct 6,52
"Roman W. Prezioso, Jr. ",State Senate,13,,Monongalia,Precinct 6,244
Bob Williams,State Senate,14,,Monongalia,Precinct 6,
Dave Pethtel,House of Delegates,5,,Monongalia,Precinct 6,
Raymond V. Davis III,House of Delegates,5,,Monongalia,Precinct 6,
Denzil W. Sloan ,House of Delegates,5,,Monongalia,Precinct 6,
Jeff Tansill,House of Delegates,49,,Monongalia,Precinct 6,
Mike Manypenny,House of Delegates,49,,Monongalia,Precinct 6,
Amanda Pasdon,House of Delegates,51,,Monongalia,Precinct 6,63
Jay Redmond,House of Delegates,51,,Monongalia,Precinct 6,63
Cindy Frich ,House of Delegates,51,,Monongalia,Precinct 6,69
John P. Woods,House of Delegates,51,,Monongalia,Precinct 6,44
Kevin Scott Poe,House of Delegates,51,,Monongalia,Precinct 6,54
Billy Smerka Jr. ,House of Delegates,51,,Monongalia,Precinct 6,194
Nancy Jamison,House of Delegates,51,,Monongalia,Precinct 6,191
Charlene Marshall ,House of Delegates,51,,Monongalia,Precinct 6,232
Barbara Evans Fleischauer,House of Delegates,51,,Monongalia,Precinct 6,244
"Anthony P. ""Tony"" Barill ",House of Delegates,51,,Monongalia,Precinct 6,195
Harry V. Bertram,House of Delegates,51,,Monongalia,Precinct 6,19
,Registered Voters,,,Monongalia,Precinct 8,1124
,Ballots Cast,,,Monongalia,Precinct 8,632
,Straight Party,,REP,Monongalia,Precinct 8,44
,Straight Party,,DEM,Monongalia,Precinct 8,95
,Straight Party,,MTN,Monongalia,Precinct 8,0
,Straight Party,,LIBER,Monongalia,Precinct 8,2
Mitt Romney ,President ,,,Monongalia,Precinct 8,239
Barack Obama,President ,,,Monongalia,Precinct 8,365
Jill Stein,President ,,,Monongalia,Precinct 8,8
Gary Johnson,President ,,,Monongalia,Precinct 8,13
Randall Terry,President ,,,Monongalia,Precinct 8,0
John R. Raese,U.S. Senate,,,Monongalia,Precinct 8,202
Joe Manchin III,U.S. Senate,,,Monongalia,Precinct 8,347
Bob Henry Baber,U.S. Senate,,,Monongalia,Precinct 8,52
David B McKinley ,U.S. House,1,,Monongalia,Precinct 8,234
Sue Thorn,U.S. House,1,,Monongalia,Precinct 8,348
Bill Maloney,Governor,,,Monongalia,Precinct 8,219
Earl Ray Tomblin,Governor,,,Monongalia,Precinct 8,324
Jesse Johnson,Governor,,,Monongalia,Precinct 8,50
David Moran ,Governor,,,Monongalia,Precinct 8,13
Brian Savilla,Secretary of State,,,Monongalia,Precinct 8,148
Natalie E. Tennant,Secretary of State,,,Monongalia,Precinct 8,439
Larry V. Faircloth,Auditor,,,Monongalia,Precinct 8,162
Glen B. Gainer III,Auditor,,,Monongalia,Precinct 8,395
Mike Hall,Treasurer,,,Monongalia,Precinct 8,165
John D. Perdue,Treasurer,,,Monongalia,Precinct 8,404
Kent Leonhardt ,Commissioner of Agriculture,,,Monongalia,Precinct 8,225
Walt Helmick,Commissioner of Agriculture,,,Monongalia,Precinct 8,329
Patrick Morrisey,Attorney General,,,Monongalia,Precinct 8,228
"Darrell V. McGraw, Jr. ",Attorney General,,,Monongalia,Precinct 8,355
