candidate,office,district,party,county,precinct,total votes,early voting,election day
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 2,17,4,13
Ralph William Clark,Governor,,REP,Jefferson,Precinct 2,5,1,4
Bill Maloney,Governor,,REP,Jefferson,Precinct 2,37,7,30
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 2,33,6,27
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 2,35,8,27
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 2,26,4,22
Mike Hall,Treasurer,,REP,Jefferson,Precinct 2,8,2,6
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 2,41,9,32
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 2,37,6,31
Jill Upson,House of Delegates,65,REP,Jefferson,Precinct 2,36,5,31
Keith Judd,President,,DEM,Jefferson,Precinct 3,44,7,37
Barack Obama,President,,DEM,Jefferson,Precinct 3,149,47,102
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 3,48,11,37
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 3,162,46,116
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 3,17,3,14
William McCann,U.S. House,2,DEM,Jefferson,Precinct 3,149,43,106
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 3,12,4,8
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 3,181,53,128
Arne Moltis,Governor,,DEM,Jefferson,Precinct 3,27,6,21
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 3,160,46,114
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 3,153,45,108
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 3,153,44,109
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 3,7,1,6
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 3,191,58,133
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 3,1,0,1
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 3,5,1,4
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 3,8,2,6
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 3,154,46,108
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 3,177,51,126
"Richard ""Rick"" Shuman II",House of Delegates,65,DEM,Jefferson,Precinct 3,48,14,34
Tiffany Lawrence,House of Delegates,65,DEM,Jefferson,Precinct 3,166,48,118
Ron Paul,President,,REP,Jefferson,Precinct 3,18,2,16
Newt Gingrich,President,,REP,Jefferson,Precinct 3,6,0,6
Mitt Romney,President,,REP,Jefferson,Precinct 3,52,19,33
Rick Santorum,President,,REP,Jefferson,Precinct 3,8,2,6
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 3,1,0,1
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 3,69,18,51
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 3,5,0,5
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 3,56,18,38
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 3,23,6,17
Ralph William Clark,Governor,,REP,Jefferson,Precinct 3,15,4,11
Bill Maloney,Governor,,REP,Jefferson,Precinct 3,57,16,41
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 3,61,17,44
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 3,62,19,43
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 3,38,11,27
Mike Hall,Treasurer,,REP,Jefferson,Precinct 3,24,7,17
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 3,67,18,49
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 3,67,19,48
Jill Upson,House of Delegates,65,REP,Jefferson,Precinct 3,63,17,46
Keith Judd,President,,DEM,Jefferson,Precinct 4A,7,4,3
Barack Obama,President,,DEM,Jefferson,Precinct 4A,42,7,35
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 4A,9,4,5
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 4A,48,9,39
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 4A,3,2,1
William McCann,U.S. House,2,DEM,Jefferson,Precinct 4A,51,9,42
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 4A,2,2,0
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 4A,47,9,38
Arne Moltis,Governor,,DEM,Jefferson,Precinct 4A,8,4,4
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 4A,47,10,37
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 4A,43,9,34
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 4A,45,8,37
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 4A,1,0,1
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 4A,52,11,41
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 4A,0,0,0
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 4A,3,1,2
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 4A,0,0,0
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 4A,46,8,38
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 4A,44,6,38
"Richard ""Rick"" Shuman II",House of Delegates,65,DEM,Jefferson,Precinct 4A,9,2,7
Tiffany Lawrence,House of Delegates,65,DEM,Jefferson,Precinct 4A,48,11,37
Ron Paul,President,,REP,Jefferson,Precinct 4A,16,1,15
Newt Gingrich,President,,REP,Jefferson,Precinct 4A,7,1,6
Mitt Romney,President,,REP,Jefferson,Precinct 4A,59,13,46
Rick Santorum,President,,REP,Jefferson,Precinct 4A,13,0,13
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 4A,0,0,0
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 4A,81,14,67
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 4A,1,1,0
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 4A,52,8,44
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 4A,38,5,33
Ralph William Clark,Governor,,REP,Jefferson,Precinct 4A,18,1,17
Bill Maloney,Governor,,REP,Jefferson,Precinct 4A,65,11,54
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 4A,69,11,58
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 4A,73,11,62
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 4A,41,5,36
Mike Hall,Treasurer,,REP,Jefferson,Precinct 4A,27,5,22
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 4A,77,12,65
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 4A,74,14,60
Jill Upson,House of Delegates,65,REP,Jefferson,Precinct 4A,72,12,60
Keith Judd,President,,DEM,Jefferson,Precinct 4B,20,6,14
Barack Obama,President,,DEM,Jefferson,Precinct 4B,61,21,40
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 4B,22,10,12
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 4B,65,16,49
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 4B,5,1,4
William McCann,U.S. House,2,DEM,Jefferson,Precinct 4B,71,21,50
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 4B,3,2,1
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 4B,73,20,53
Arne Moltis,Governor,,DEM,Jefferson,Precinct 4B,9,6,3
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 4B,71,24,47
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 4B,68,22,46
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 4B,67,22,45
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 4B,4,0,4
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 4B,77,26,51
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 4B,0,0,0
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 4B,1,0,1
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 4B,1,0,1
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 4B,67,22,45
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 4B,68,24,44
"Richard ""Rick"" Shuman II",House of Delegates,65,DEM,Jefferson,Precinct 4B,14,2,12
Tiffany Lawrence,House of Delegates,65,DEM,Jefferson,Precinct 4B,66,22,44
Ron Paul,President,,REP,Jefferson,Precinct 4B,14,2,12
Newt Gingrich,President,,REP,Jefferson,Precinct 4B,6,1,5
Mitt Romney,President,,REP,Jefferson,Precinct 4B,45,11,34
Rick Santorum,President,,REP,Jefferson,Precinct 4B,8,3,5
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 4B,0,0,0
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 4B,64,16,48
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 4B,3,0,3
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 4B,47,14,33
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 4B,24,4,20
Ralph William Clark,Governor,,REP,Jefferson,Precinct 4B,15,5,10
Bill Maloney,Governor,,REP,Jefferson,Precinct 4B,53,12,41
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 4B,54,12,42
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 4B,60,17,43
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 4B,31,8,23
Mike Hall,Treasurer,,REP,Jefferson,Precinct 4B,25,7,18
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 4B,59,16,43
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 4B,62,17,45
Jill Upson,House of Delegates,65,REP,Jefferson,Precinct 4B,64,17,47
Keith Judd,President,,DEM,Jefferson,Precinct 6,7,3,4
Barack Obama,President,,DEM,Jefferson,Precinct 6,35,5,30
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 6,4,0,4
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 6,43,8,35
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 6,1,0,1
William McCann,U.S. House,2,DEM,Jefferson,Precinct 6,41,5,36
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 6,0,0,0
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 6,46,7,39
Arne Moltis,Governor,,DEM,Jefferson,Precinct 6,3,1,2
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 6,35,5,30
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 6,32,5,27
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 6,32,5,27
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 6,1,0,1
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 6,41,6,35
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 6,0,0,0
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 6,1,0,1
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 6,2,0,2
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 6,33,5,28
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 6,39,6,33
"Richard ""Rick"" Shuman II",House of Delegates,65,DEM,Jefferson,Precinct 6,6,1,5
Tiffany Lawrence,House of Delegates,65,DEM,Jefferson,Precinct 6,40,5,35
Ron Paul,President,,REP,Jefferson,Precinct 6,3,0,3
Newt Gingrich,President,,REP,Jefferson,Precinct 6,0,0,0
Mitt Romney,President,,REP,Jefferson,Precinct 6,9,4,5
Rick Santorum,President,,REP,Jefferson,Precinct 6,1,0,1
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 6,0,0,0
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 6,8,2,6
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 6,3,0,3
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 6,7,4,3
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 6,3,0,3
Ralph William Clark,Governor,,REP,Jefferson,Precinct 6,3,0,3
Bill Maloney,Governor,,REP,Jefferson,Precinct 6,9,3,6
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 6,9,2,7
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 6,10,2,8
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 6,5,2,3
Mike Hall,Treasurer,,REP,Jefferson,Precinct 6,4,0,4
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 6,11,3,8
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 6,10,2,8
Jill Upson,House of Delegates,65,REP,Jefferson,Precinct 6,9,2,7
Keith Judd,President,,DEM,Jefferson,Precinct 7,29,6,23
Barack Obama,President,,DEM,Jefferson,Precinct 7,71,14,57
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 7,16,4,12
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 7,98,18,80
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 7,11,2,9
William McCann,U.S. House,2,DEM,Jefferson,Precinct 7,89,19,70
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 7,1,0,1
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 7,92,15,77
Arne Moltis,Governor,,DEM,Jefferson,Precinct 7,18,6,12
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 7,96,17,79
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 7,87,15,72
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 7,91,17,74
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 7,4,0,4
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 7,103,21,82
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 7,0,0,0
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 7,3,0,3
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 7,1,0,1
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 7,97,17,80
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 7,96,16,80
"Richard ""Rick"" Shuman II",House of Delegates,65,DEM,Jefferson,Precinct 7,23,4,19
Tiffany Lawrence,House of Delegates,65,DEM,Jefferson,Precinct 7,86,18,68
Ron Paul,President,,REP,Jefferson,Precinct 7,10,0,10
Newt Gingrich,President,,REP,Jefferson,Precinct 7,3,0,3
Mitt Romney,President,,REP,Jefferson,Precinct 7,27,5,22
Rick Santorum,President,,REP,Jefferson,Precinct 7,4,0,4
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 7,0,0,0
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 7,40,6,34
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 7,3,0,3
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 7,29,4,25
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 7,13,2,11
Ralph William Clark,Governor,,REP,Jefferson,Precinct 7,15,2,13
Bill Maloney,Governor,,REP,Jefferson,Precinct 7,26,3,23
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 7,37,5,32
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 7,40,6,34
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 7,19,3,16
Mike Hall,Treasurer,,REP,Jefferson,Precinct 7,15,2,13
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 7,40,6,34
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 7,39,6,33
Jill Upson,House of Delegates,65,REP,Jefferson,Precinct 7,37,6,31
Keith Judd,President,,DEM,Jefferson,Precinct 12,11,3,8
Barack Obama,President,,DEM,Jefferson,Precinct 12,36,6,30
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 12,12,3,9
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 12,36,7,29
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 12,2,0,2
William McCann,U.S. House,2,DEM,Jefferson,Precinct 12,34,5,29
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 12,3,0,3
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 12,41,8,33
Arne Moltis,Governor,,DEM,Jefferson,Precinct 12,7,2,5
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 12,35,7,28
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 12,34,7,27
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 12,35,7,28
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 12,7,1,6
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 12,39,7,32
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 12,1,0,1
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 12,1,1,0
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 12,0,0,0
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 12,34,7,27
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 12,41,8,33
Stephen Skinner,House of Delegates,67,DEM,Jefferson,Precinct 12,39,7,32
Ron Paul,President,,REP,Jefferson,Precinct 12,16,4,12
Newt Gingrich,President,,REP,Jefferson,Precinct 12,6,1,5
Mitt Romney,President,,REP,Jefferson,Precinct 12,61,12,49
Rick Santorum,President,,REP,Jefferson,Precinct 12,9,1,8
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 12,0,0,0
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 12,76,15,61
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 12,1,0,1
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 12,65,10,55
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 12,26,8,18
Ralph William Clark,Governor,,REP,Jefferson,Precinct 12,16,2,14
Bill Maloney,Governor,,REP,Jefferson,Precinct 12,69,13,56
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 12,69,9,60
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 12,72,11,61
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 12,51,5,46
Mike Hall,Treasurer,,REP,Jefferson,Precinct 12,22,6,16
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 12,79,15,64
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 12,80,14,66
Elliot Simon,House of Delegates,67,REP,Jefferson,Precinct 12,49,7,42
W Matthew Harris,House of Delegates,67,REP,Jefferson,Precinct 12,26,6,20
Keith Judd,President,,DEM,Jefferson,Precinct 13,35,7,28
Barack Obama,President,,DEM,Jefferson,Precinct 13,84,14,70
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 13,35,7,28
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 13,95,14,81
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 13,14,4,10
William McCann,U.S. House,2,DEM,Jefferson,Precinct 13,83,13,70
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 13,6,1,5
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 13,95,15,80
Arne Moltis,Governor,,DEM,Jefferson,Precinct 13,25,6,19
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 13,100,18,82
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 13,92,17,75
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 13,95,17,78
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 13,3,1,2
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 13,109,16,93
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 13,1,0,1
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 13,9,2,7
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 13,2,1,1
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 13,90,17,73
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 13,97,17,80
Stephen Skinner,House of Delegates,67,DEM,Jefferson,Precinct 13,95,18,77
Ron Paul,President,,REP,Jefferson,Precinct 13,17,4,13
Newt Gingrich,President,,REP,Jefferson,Precinct 13,7,2,5
Mitt Romney,President,,REP,Jefferson,Precinct 13,90,13,77
Rick Santorum,President,,REP,Jefferson,Precinct 13,15,0,15
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 13,3,1,2
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 13,116,19,97
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 13,5,1,4
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 13,87,18,69
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 13,39,2,37
Ralph William Clark,Governor,,REP,Jefferson,Precinct 13,26,3,23
Bill Maloney,Governor,,REP,Jefferson,Precinct 13,95,17,78
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 13,106,16,90
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 13,105,15,90
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 13,66,12,54
Mike Hall,Treasurer,,REP,Jefferson,Precinct 13,39,7,32
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 13,119,19,100
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 13,113,16,97
Elliot Simon,House of Delegates,67,REP,Jefferson,Precinct 13,70,10,60
W. Matthew Harris,House of Delegates,67,REP,Jefferson,Precinct 13,42,7,35
Keith Judd,President,,DEM,Jefferson,Precinct 14,5,1,4
Barack Obama,President,,DEM,Jefferson,Precinct 14,55,3,52
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 14,26,2,24
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 14,38,2,36
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 14,12,1,11
William McCann,U.S. House,2,DEM,Jefferson,Precinct 14,33,2,31
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 14,7,0,7
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 14,49,4,45
Arne Moltis,Governor,,DEM,Jefferson,Precinct 14,9,0,9
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 14,50,4,46
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 14,49,4,45
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 14,49,4,45
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 14,0,0,0
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 14,51,3,48
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 14,0,0,0
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 14,3,1,2
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 14,2,0,2
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 14,45,3,42
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 14,51,4,47
Stephen Skinner,House of Delegates,67,DEM,Jefferson,Precinct 14,48,3,45
Ron Paul,President,,REP,Jefferson,Precinct 14,1,0,1
Newt Gingrich,President,,REP,Jefferson,Precinct 14,1,0,1
Mitt Romney,President,,REP,Jefferson,Precinct 14,8,0,8
Rick Santorum,President,,REP,Jefferson,Precinct 14,1,1,0
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 14,1,0,1
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 14,8,1,7
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 14,0,0,0
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 14,8,0,8
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 14,2,1,1
Ralph William Clark,Governor,,REP,Jefferson,Precinct 14,2,0,2
Bill Maloney,Governor,,REP,Jefferson,Precinct 14,7,1,6
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 14,8,1,7
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 14,7,1,6
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 14,5,1,4
Mike Hall,Treasurer,,REP,Jefferson,Precinct 14,2,0,2
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 14,11,1,10
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 14,8,1,7
Elliot Simon,House of Delegates,67,REP,Jefferson,Precinct 14,6,1,5
W. Matthew Harris,House of Delegates,67,REP,Jefferson,Precinct 14,2,0,2
Keith Judd,President,,DEM,Jefferson,Precinct 15,21,1,20
Barack Obama,President,,DEM,Jefferson,Precinct 15,44,3,41
