candidate,office,district,party,county,precinct,total votes
Bill Lester,U.S. House,3,REP,Mercer,Precinct 27,9
Lee A. Bias,U.S. House,3,REP,Mercer,Precinct 27,7
Rick Snuffer,U.S. House,3,REP,Mercer,Precinct 27,31
Ralph William Clark,Governor,,REP,Mercer,Precinct 27,4
Bill Maloney,Governor,,REP,Mercer,Precinct 27,40
Brian Savilla,Secretary of State ,,REP,Mercer,Precinct 27,37
Larry V. Faircloth,Auditor,,REP,Mercer,Precinct 27,36
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Mercer,Precinct 27,16
Mike Hall,Treasurer,,REP,Mercer,Precinct 27,21
Patrick Morrisey,Attorney General,,REP,Mercer,Precinct 27,33
Bill Cole,State Senate,6,REP,Mercer,Precinct 27,43
Joe Ellington,House of Delegates,27,REP,Mercer,Precinct 27,28
