year,election,party,office,district,candidate,county,votes,winner
2006,general,D,House of Delegates,10,J. D. Beane,Wood,8450,
2006,general,D,House of Delegates,10,David A. Daniels,Totals,4353,
2006,general,D,House of Delegates,10,David A. Daniels,Wood,4353,
2006,general,D,House of Delegates,10,"Steven D. Whitehair, Sr.",Totals,4414,
2006,general,D,House of Delegates,10,"Steven D. Whitehair, Sr.",Wood,4414,
2006,general,R,House of Delegates,10,Tom Azinger,Totals,7723,1
2006,general,R,House of Delegates,10,Tom Azinger,Wood,7723,
2006,general,R,House of Delegates,10,John N. Ellem,Totals,7821,1
2006,general,R,House of Delegates,10,John N. Ellem,Wood,7831,
2006,general,R,House of Delegates,10,Fred Gillespie,Totals,6045,
2006,general,R,House of Delegates,10,Fred Gillespie,Wood,6045,
2006,general,R,House of Delegates,11,Bob Ashley,Totals,3051,1
2006,general,R,House of Delegates,11,Bob Ashley,Jackson,494,
2006,general,R,House of Delegates,11,Bob Ashley,Roane,2557,
2006,general,D,House of Delegates,12,Steve Nicholas,Totals,2432,
2006,general,D,House of Delegates,12,Steve Nicholas,Jackson,2432,
2006,general,R,House of Delegates,12,Mitch B. Carmichael,Totals,4063,1
2006,general,R,House of Delegates,12,Mitch B. Carmichael,Jackson,4063,
2006,general,D,House of Delegates,13,Dale Martin,Totals,6006,1
2006,general,D,House of Delegates,13,Dale Martin,Jackson,1149,
2006,general,D,House of Delegates,13,Dale Martin,Mason,1874,
2006,general,D,House of Delegates,13,Dale Martin,Putnam,2983,
2006,general,D,House of Delegates,13,Brady R. Paxton,Totals,6640,1
2006,general,D,House of Delegates,13,Brady R. Paxton,Jackson,1314,
2006,general,D,House of Delegates,13,Brady R. Paxton,Mason,2197,
2006,general,D,House of Delegates,13,Brady R. Paxton,Putnam,3129,
2006,general,R,House of Delegates,13,Penny Renee Dick,Totals,4615,
2006,general,R,House of Delegates,13,Penny Renee Dick,Jackson,934,
2006,general,R,House of Delegates,13,Penny Renee Dick,Mason,1408,
2006,general,R,House of Delegates,13,Penny Renee Dick,Putnam,2273,
2006,general,D,House of Delegates,14,Gene Estel,Totals,5401,
2006,general,D,House of Delegates,14,Gene Estel,Mason,1952,
2006,general,D,House of Delegates,14,Gene Estel,Putnam,3449,
2006,general,R,House of Delegates,14,Troy Andes,Totals,5910,1
2006,general,R,House of Delegates,14,Troy Andes,Mason,1602,
2006,general,R,House of Delegates,14,Troy Andes,Putnam,4308,
2006,general,R,House of Delegates,14,Patti Eagloski Schoen,Totals,5857,1
2006,general,R,House of Delegates,14,Patti Eagloski Schoen,Mason,1698,
2006,general,R,House of Delegates,14,Patti Eagloski Schoen,Putnam,4159,
2006,general,D,House of Delegates,15,Kevin J. Craig,Totals,7077,1
2006,general,D,House of Delegates,15,Kevin J. Craig,Cabell,6517,
2006,general,D,House of Delegates,15,Kevin J. Craig,Lincoln,560,
2006,general,D,House of Delegates,15,Margarette R Leach,Totals,5214,
2006,general,D,House of Delegates,15,Margarette R Leach,Cabell,4706,
2006,general,D,House of Delegates,15,Margarette R Leach,Lincoln,508,
2006,general,D,House of Delegates,15,Jim Morgan,Totals,6030,1
2006,general,D,House of Delegates,15,Jim Morgan,Cabell,5542,
2006,general,D,House of Delegates,15,Jim Morgan,Lincoln,488,
2006,general,R,House of Delegates,15,Pam Carden,Totals,4508,
2006,general,R,House of Delegates,15,Pam Carden,Cabell,4191,
2006,general,R,House of Delegates,15,Pam Carden,Lincoln,317,
2006,general,R,House of Delegates,15,Carol D. Miller,Totals,5463,1
2006,general,R,House of Delegates,15,Carol D. Miller,Cabell,5098,
2006,general,R,House of Delegates,15,Carol D. Miller,Lincoln,365,
2006,general,R,House of Delegates,15,Lisa Thornburg,Totals,3804,
2006,general,R,House of Delegates,15,Lisa Thornburg,Cabell,3574,
2006,general,R,House of Delegates,15,Lisa Thornburg,Lincoln,230,
2006,general,D,House of Delegates,16,Eric Anderson,Totals,5318,
2006,general,D,House of Delegates,16,Eric Anderson,Cabell,4702,
2006,general,D,House of Delegates,16,Eric Anderson,Lincoln,616,
2006,general,D,House of Delegates,16,Doug Reynolds,Totals,8334,1
2006,general,D,House of Delegates,16,Doug Reynolds,Cabell,7230,
2006,general,D,House of Delegates,16,Doug Reynolds,Lincoln,1104,
2006,general,D,House of Delegates,16,Dale Stephens,Totals,7403,1
2006,general,D,House of Delegates,16,Dale Stephens,Cabell,6407,
2006,general,D,House of Delegates,16,Dale Stephens,Lincoln,996,
2006,general,R,House of Delegates,16,Greg Howard,Totals,6970,
2006,general,R,House of Delegates,16,Greg Howard,Cabell,6352,
2006,general,R,House of Delegates,16,Greg Howard,Lincoln,618,
2006,general,R,House of Delegates,16,Tommy Smirl,Totals,4567,
2006,general,R,House of Delegates,16,Tommy Smirl,Cabell,4173,
2006,general,R,House of Delegates,16,Tommy Smirl,Lincoln,394,
2006,general,R,House of Delegates,16,Kelli Sobonya,Totals,7204,1
2006,general,R,House of Delegates,16,Kelli Sobonya,Cabell,6533,
2006,general,R,House of Delegates,16,Kelli Sobonya,Lincoln,671,
2006,general,D,House of Delegates,17,Don C. Perdue,Totals,5164,1
2006,general,D,House of Delegates,17,Don C. Perdue,Wayne,5164,
2006,general,D,House of Delegates,17,Richard Thompson,Totals,5538,1
2006,general,D,House of Delegates,17,Richard Thompson,Wayne,5538,
2006,general,R,House of Delegates,17,Lisa Peana,Totals,3499,
2006,general,R,House of Delegates,17,Lisa Peana,Wayne,3499,
2006,general,D,House of Delegates,18,Larry W. Barker,Totals,3687,1
2006,general,D,House of Delegates,18,Larry W. Barker,Boone,3687,
2006,general,R,House of Delegates,18,Gary A. Dolin,Totals,708,
2006,general,R,House of Delegates,18,Gary A. Dolin,Boone,708,
2006,general,D,House of Delegates,19,Jeff Eldridge,Totals,9613,1
2006,general,D,House of Delegates,19,Jeff Eldridge,Boone,1136,
2006,general,D,House of Delegates,19,Jeff Eldridge,Lincoln,3123,
2006,general,D,House of Delegates,19,Jeff Eldridge,Logan,4245,
2006,general,D,House of Delegates,19,Jeff Eldridge,Putnam,1109,
2006,general,D,House of Delegates,19,Ted Ellis,Totals,10121,1
2006,general,D,House of Delegates,19,Ted Ellis,Boone,1069,
2006,general,D,House of Delegates,19,Ted Ellis,Lincoln,2640,
2006,general,D,House of Delegates,19,Ted Ellis,Logan,5055,
2006,general,D,House of Delegates,19,Ted Ellis,Putnam,1157,
2006,general,D,House of Delegates,19,Lidella W. Hrutkay,Totals,8536,1
2006,general,D,House of Delegates,19,Lidella W. Hrutkay,Boone,1082,
2006,general,D,House of Delegates,19,Lidella W. Hrutkay,Lincoln,2495,
2006,general,D,House of Delegates,19,Lidella W. Hrutkay,Logan,4072,
2006,general,D,House of Delegates,19,Lidella W. Hrutkay,Putnam,887,
2006,general,D,House of Delegates,19,Ralph Rodighiero,Totals,10173,1
2006,general,D,House of Delegates,19,Ralph Rodighiero,Boone,996,
2006,general,D,House of Delegates,19,Ralph Rodighiero,Lincoln,2515,
2006,general,D,House of Delegates,19,Ralph Rodighiero,Logan,5769,
2006,general,D,House of Delegates,19,Ralph Rodighiero,Putnam,893,
2006,general,R,House of Delegates,19,Jeff Cook,Totals,4668,
2006,general,R,House of Delegates,19,Jeff Cook,Boone,290,
2006,general,R,House of Delegates,19,Jeff Cook,Lincoln,1184,
2006,general,R,House of Delegates,19,Jeff Cook,Logan,1999,
2006,general,R,House of Delegates,19,Jeff Cook,Putnam,1195,
2006,general,R,House of Delegates,19,Elias C. Gregory,Totals,4497,
2006,general,R,House of Delegates,19,Elias C. Gregory,Boone,306,
2006,general,R,House of Delegates,19,Elias C. Gregory,Lincoln,1637,
2006,general,R,House of Delegates,19,Elias C. Gregory,Logan,1289,
2006,general,R,House of Delegates,19,Elias C. Gregory,Putnam,1265,
2006,general,R,House of Delegates,19,Billy Marcum,Totals,3690,
2006,general,R,House of Delegates,19,Billy Marcum,Boone,331,
2006,general,R,House of Delegates,19,Billy Marcum,Lincoln,1095,
2006,general,R,House of Delegates,19,Billy Marcum,Logan,1231,
2006,general,R,House of Delegates,19,Billy Marcum,Putnam,1033,
2006,general,D,House of Delegates,20,K. Steven Kominar,Totals,3122,1
2006,general,D,House of Delegates,20,K. Steven Kominar,Mingo,2742,
2006,general,D,House of Delegates,20,K. Steven Kominar,Wayne,380,
2006,general,D,House of Delegates,21,Harry Keith White,Totals,2356,1
2006,general,D,House of Delegates,21,Harry Keith White,McDowell,428,
2006,general,D,House of Delegates,21,Harry Keith White,Mingo,1928,
2006,general,R,House of Delegates,21,James Saunders,Totals,471,
2006,general,R,House of Delegates,21,James Saunders,McDowell,115,
2006,general,R,House of Delegates,21,James Saunders,Mingo,356,
2006,general,D,House of Delegates,22,Richard Browning,Totals,4377,1
2006,general,D,House of Delegates,22,Richard Browning,McDowell,350,
2006,general,D,House of Delegates,22,Richard Browning,Mercer,674,
2006,general,D,House of Delegates,22,Richard Browning,Wyoming,3353,
2006,general,D,House of Delegates,22,Mike Burdiss,Totals,4133,1
2006,general,D,House of Delegates,22,Mike Burdiss,McDowell,341,
2006,general,D,House of Delegates,22,Mike Burdiss,Mercer,723,
2006,general,D,House of Delegates,22,Mike Burdiss,Wyoming,3069,
2006,general,R,House of Delegates,22,Jack E. Fincham,Totals,2290,
2006,general,R,House of Delegates,22,Jack E. Fincham,McDowell,83,
2006,general,R,House of Delegates,22,Jack E. Fincham,Mercer,404,
2006,general,R,House of Delegates,22,Jack E. Fincham,Wyoming,1803,
2006,general,D,House of Delegates,23,Clif Moore,Totals,2428,1
2006,general,D,House of Delegates,23,Clif Moore,McDowell,2428,
2006,general,D,House of Delegates,24,Eustace Frederick,Totals,2373,1
2006,general,D,House of Delegates,24,Eustace Frederick,Mercer,2373,
2006,general,R,House of Delegates,24,Douglas C. Quesinberry,Totals,958,
2006,general,R,House of Delegates,24,Douglas C. Quesinberry,Mercer,958,
2006,general,D,House of Delegates,25,Paige Flanigan,Totals,4007,
2006,general,D,House of Delegates,25,Paige Flanigan,Mercer,4007,
2006,general,D,House of Delegates,25,Marshall C. Long,Totals,4977,1
2006,general,D,House of Delegates,25,Marshall C. Long,Mercer,4977,
2006,general,R,House of Delegates,25,Jonathan Hall,Totals,1871,
2006,general,R,House of Delegates,25,Jonathan Hall,Mercer,1871,
2006,general,R,House of Delegates,25,"Thomas ""Mike"" Porter",Totals,4412,1
2006,general,R,House of Delegates,25,"Thomas ""Mike"" Porter",Mercer,4412,
2006,general,D,House of Delegates,26,Gerald L. Crosier,Totals,2570,1
2006,general,D,House of Delegates,26,Gerald L. Crosier,Monroe,2148,
2006,general,D,House of Delegates,26,Gerald L. Crosier,Summers,422,
2006,general,R,House of Delegates,26,Duane Miller,Totals,2106,
2006,general,R,House of Delegates,26,Duane Miller,Monroe,1757,
2006,general,R,House of Delegates,26,Duane Miller,Summers,349,
2006,general,D,House of Delegates,27,"Melvin ""Mel"" Kessler",Totals,8785,1
2006,general,D,House of Delegates,27,"Melvin ""Mel"" Kessler",Raleigh,7654,
2006,general,D,House of Delegates,27,"Melvin ""Mel"" Kessler",Summers,1131,
2006,general,D,House of Delegates,27,Virginia Mahan,Totals,8603,1
2006,general,D,House of Delegates,27,Virginia Mahan,Raleigh,7311,
2006,general,D,House of Delegates,27,Virginia Mahan,Summers,1292,
2006,general,D,House of Delegates,27,Kevin l. Maynus,Totals,8598,
2006,general,D,House of Delegates,27,Kevin l. Maynus,Raleigh,7476,
2006,general,D,House of Delegates,27,Kevin l. Maynus,Summers,1122,
2006,general,D,House of Delegates,27,Ricky Moye,Totals,9281,1
2006,general,D,House of Delegates,27,Ricky Moye,Raleigh,8144,
2006,general,D,House of Delegates,27,Ricky Moye,Summers,1137,
2006,general,D,House of Delegates,27,Ron Thompson,Totals,9108,1
2006,general,D,House of Delegates,27,Ron Thompson,Raleigh,7754,
2006,general,D,House of Delegates,27,Ron Thompson,Summers,1354,
2006,general,R,House of Delegates,27,Chuck Carpenter,Totals,8214,
2006,general,R,House of Delegates,27,Chuck Carpenter,Raleigh,7477,
2006,general,R,House of Delegates,27,Chuck Carpenter,Summers,737,
2006,general,R,House of Delegates,27,Ron Hedrick,Totals,7520,
2006,general,R,House of Delegates,27,Ron Hedrick,Raleigh,6806,
2006,general,R,House of Delegates,27,Ron Hedrick,Summers,714,
2006,general,R,House of Delegates,27,Dereck Severt,Totals,7799,
2006,general,R,House of Delegates,27,Dereck Severt,Raleigh,7155,
2006,general,R,House of Delegates,27,Dereck Severt,Summers,644,
2006,general,R,House of Delegates,27,Philip l. Stevens,Totals,7629,
2006,general,R,House of Delegates,27,Philip l. Stevens,Raleigh,8584,
2006,general,R,House of Delegates,27,Philip l. Stevens,Summers,1045,
2006,general,R,House of Delegates,27,Linda Sumner,Totals,10256,1
2006,general,R,House of Delegates,27,Linda Sumner,Raleigh,9232,
2006,general,R,House of Delegates,27,Linda Sumner,Summers,1024,
2006,general,D,House of Delegates,28,Thomas W. Campbell,Totals,5400,1
2006,general,D,House of Delegates,28,Thomas W. Campbell,Greenbrier,5400,
2006,general,D,House of Delegates,28,Steve Malcomb,Totals,3459,
2006,general,D,House of Delegates,28,Steve Malcomb,Greenbrier,3459,
2006,general,R,House of Delegates,28,Ray Canterbury,Totals,4437,1
2006,general,R,House of Delegates,28,Ray Canterbury,Greenbrier,4437,
2006,general,R,House of Delegates,28,Frank Tuckwiller,Totals,2432,
2006,general,R,House of Delegates,28,Frank Tuckwiller,Greenbrier,2432,
2006,general,D,House of Delegates,29,David G. Perry,Totals,7242,1
2006,general,D,House of Delegates,29,David G. Perry,Clay,581,
2006,general,D,House of Delegates,29,David G. Perry,Fayette,6548,
2006,general,D,House of Delegates,29,David G. Perry,Nicholas,113,
2006,general,D,House of Delegates,29,John Pino,Totals,7148,1
2006,general,D,House of Delegates,29,John Pino,Clay,572,
2006,general,D,House of Delegates,29,John Pino,Fayette,6458,
2006,general,D,House of Delegates,29,John Pino,Nicholas,118,
2006,general,D,House of Delegates,29,Margaret Anne Staggers,Totals,7449,1
2006,general,D,House of Delegates,29,Margaret Anne Staggers,Clay,525,
2006,general,D,House of Delegates,29,Margaret Anne Staggers,Fayette,6813,
2006,general,D,House of Delegates,29,Margaret Anne Staggers,Nicholas,111,
2006,general,R,House of Delegates,29,Betty Lilly,Totals,3058,
2006,general,R,House of Delegates,29,Betty Lilly,Clay,306,
2006,general,R,House of Delegates,29,Betty Lilly,Fayette,2715,
2006,general,R,House of Delegates,29,Betty Lilly,Nicholas,37,
2006,general,D,House of Delegates,30,Jon Amores,Totals,18695,1
2006,general,D,House of Delegates,30,Jon Amores,Kanawha,18695,
2006,general,D,House of Delegates,30,Bonnie Brown,Totals,18456,1
2006,general,D,House of Delegates,30,Bonnie Brown,Kanawha,18456,
2006,general,D,House of Delegates,30,Louis P. Cervon,Totals,3,
2006,general,D,House of Delegates,30,Louis P. Cervon,Kanawha,3,
2006,general,D,House of Delegates,30,Nancy Guthrie,Totals,17196,1
2006,general,D,House of Delegates,30,Nancy Guthrie,Kanawha,17196,
2006,general,D,House of Delegates,30,Bobbie Hatfield,Totals,18140,1
2006,general,D,House of Delegates,30,Bobbie Hatfield,Kanawha,18140,
2006,general,D,House of Delegates,30,Corey Palumbo,Totals,21232,1
2006,general,D,House of Delegates,30,Corey Palumbo,Kanawha,21232,
2006,general,D,House of Delegates,30,Sharon Spencer,Totals,17584,1
2006,general,D,House of Delegates,30,Sharon Spencer,Kanawha,17584,
2006,general,D,House of Delegates,30,Danny Wells,Totals,18764,1
2006,general,D,House of Delegates,30,Danny Wells,Kanawha,18764,
2006,general,R,House of Delegates,30,"Ira Bostic, Jr.",Totals,10698,
2006,general,R,House of Delegates,30,"Ira Bostic, Jr.",Kanawha,10698,
2006,general,R,House of Delegates,30,Todd Carden,Totals,11539,
2006,general,R,House of Delegates,30,Todd Carden,Kanawha,11539,
2006,general,R,House of Delegates,30,Kim Holmes,Totals,13636,
2006,general,R,House of Delegates,30,Kim Holmes,Kanawha,13636,
2006,general,R,House of Delegates,30,Fred Joseph,Totals,13509,
2006,general,R,House of Delegates,30,Fred Joseph,Kanawha,13509,
2006,general,R,House of Delegates,30,Phil Raines,Totals,14544,
2006,general,R,House of Delegates,30,Phil Raines,Kanawha,14544,
2006,general,R,House of Delegates,30,Judy Bowen,Totals,13793,
2006,general,R,House of Delegates,30,Judy Bowen,Kanawha,13793,
2006,general,R,House of Delegates,30,Mike Stuart,Totals,14693,
2006,general,R,House of Delegates,30,Mike Stuart,Kanawha,14693,
2006,general,D,House of Delegates,31,Carrie Webster,Totals,2419,1
2006,general,D,House of Delegates,31,Carrie Webster,Kanawha,2419,
2006,general,R,House of Delegates,31,Charles Minimah,Totals,1227,
2006,general,R,House of Delegates,31,Charles Minimah,Kanawha,1227,
2006,general,D,House of Delegates,32,Jon W. Cain Sr.,Totals,5802,
2006,general,D,House of Delegates,32,Jon W. Cain Sr.,Kanawha,5802,
2006,general,D,House of Delegates,32,Lue Chandler,Totals,5009,
2006,general,D,House of Delegates,32,Lue Chandler,Kanawha,5009,
2006,general,D,House of Delegates,32,Jim Francis,Totals,4884,
2006,general,D,House of Delegates,32,Jim Francis,Kanawha,4884,
2006,general,R,House of Delegates,32,Tim Armstead,Totals,7126,1
2006,general,R,House of Delegates,32,Tim Armstead,Kanawha,7126,
2006,general,R,House of Delegates,32,Patrick Lane,Totals,6447,1
2006,general,R,House of Delegates,32,Patrick Lane,Kanawha,6447,
2006,general,R,House of Delegates,32,Ron Walters,Totals,6792,1
2006,general,R,House of Delegates,32,Ron Walters,Kanawha,6792,
2006,general,D,House of Delegates,33,"William F. ""Bill"" Stemple",Totals,3146,1
2006,general,D,House of Delegates,33,"William F. ""Bill"" Stemple",Calhoun,1331,
2006,general,D,House of Delegates,33,"William F. ""Bill"" Stemple",Clay,1046,
2006,general,D,House of Delegates,33,"William F. ""Bill"" Stemple",Gilmer,769,
2006,general,D,House of Delegates,34,Brent Boggs,Totals,3970,1
2006,general,D,House of Delegates,34,Brent Boggs,Braxton,3281,
2006,general,D,House of Delegates,34,Brent Boggs,Gilmer,689,
2006,general,D,House of Delegates,35,Sam Argento,Totals,2785,1
2006,general,D,House of Delegates,35,Sam Argento,Nicholas,2785,
2006,general,R,House of Delegates,35,Paul Hess,Totals,2024,
2006,general,R,House of Delegates,35,Paul Hess,Nicholas,2024,
2006,general,D,House of Delegates,36,Joe Talbott,Totals,2484,1
2006,general,D,House of Delegates,36,Joe Talbott,Nicholas,989,
2006,general,D,House of Delegates,36,Joe Talbott,Webster,1495,
2006,general,R,House of Delegates,36,Tom Malcomb,Totals,1607,
2006,general,R,House of Delegates,36,Tom Malcomb,Nicholas,672,
2006,general,R,House of Delegates,36,Tom Malcomb,Webster,935,
2006,general,D,House of Delegates,37,Bill Hartman,Totals,5049,1
2006,general,D,House of Delegates,37,Bill Hartman,Pocahontas,1193,
2006,general,D,House of Delegates,37,Bill Hartman,Randolph,3856,
2006,general,D,House of Delegates,37,Bill Proudfoot,Totals,5080,1
2006,general,D,House of Delegates,37,Bill Proudfoot,Pocahontas,1384,
2006,general,D,House of Delegates,37,Bill Proudfoot,Randolph,3696,
2006,general,R,House of Delegates,37,Bruce Haddix,Totals,3733,
2006,general,R,House of Delegates,37,Bruce Haddix,Pocahontas,807,
2006,general,R,House of Delegates,37,Bruce Haddix,Randolph,2926,
2006,general,R,House of Delegates,37,Joan Hinzman Sharp,Totals,4592,
2006,general,R,House of Delegates,37,Joan Hinzman Sharp,Pocahontas,1047,
2006,general,R,House of Delegates,37,Joan Hinzman Sharp,Randolph,3545,
2006,general,D,House of Delegates,38,Doug Stalnaker,Totals,3003,1
2006,general,D,House of Delegates,38,Doug Stalnaker,Lewis,2893,
2006,general,D,House of Delegates,38,Doug Stalnaker,Upshur,110,
2006,general,R,House of Delegates,38,Derrick W. Love,Totals,1827,
2006,general,R,House of Delegates,38,Derrick W. Love,Lewis,1727,
2006,general,R,House of Delegates,38,Derrick W. Love,Upshur,100,
2006,general,D,House of Delegates,39,Ryan Thorn,Totals,1230,
2006,general,D,House of Delegates,39,Ryan Thorn,Upshur,1230,
2006,general,R,House of Delegates,39,Bill Hamilton,Totals,3586,1
2006,general,R,House of Delegates,39,Bill Hamilton,Upshur,3586,
2006,general,D,House of Delegates,40,Mary M. Poling,Totals,3612,1
2006,general,D,House of Delegates,40,Mary M. Poling,Barbour,3169,
2006,general,D,House of Delegates,40,Mary M. Poling,Upshur,443,
2006,general,R,House of Delegates,40,Garry R. Tenney,Totals,1418,
2006,general,R,House of Delegates,40,Garry R. Tenney,Barbour,1070,
2006,general,R,House of Delegates,40,Garry R. Tenney,Upshur,348,
2006,general,D,House of Delegates,41,Sam Cann,Totals,11313,1
2006,general,D,House of Delegates,41,Sam Cann,Harrison,10981,
2006,general,D,House of Delegates,41,Sam Cann,Marion,332,
2006,general,D,House of Delegates,41,Ron Fragale,Totals,10370,1
2006,general,D,House of Delegates,41,Ron Fragale,Harrison,10060,
2006,general,D,House of Delegates,41,Ron Fragale,Marion,310,
2006,general,D,House of Delegates,41,Richard J. Iaquinta,Totals,10485,1
2006,general,D,House of Delegates,41,Richard J. Iaquinta,Harrison,10224,
2006,general,D,House of Delegates,41,Richard J. Iaquinta,Marion,261,
2006,general,D,House of Delegates,41,Tim Miley,Totals,12521,1
2006,general,D,House of Delegates,41,Tim Miley,Harrison,12190,
2006,general,D,House of Delegates,41,Tim Miley,Marion,331,
2006,general,R,House of Delegates,41,Danny Hamrick,Totals,7843,
2006,general,R,House of Delegates,41,Danny Hamrick,Harrison,7595,
2006,general,R,House of Delegates,41,Danny Hamrick,Marion,248,
2006,general,R,House of Delegates,41,Jay Wolfe,Totals,8302,
2006,general,R,House of Delegates,41,Jay Wolfe,Harrison,831,
2006,general,R,House of Delegates,41,Jay Wolfe,Marion,271,
2006,general,Write-In,House of Delegates,41,Garth W. Beck,Totals,1059,
2006,general,Write-In,House of Delegates,41,Garth W. Beck,Harrison,1055,
2006,general,Write-In,House of Delegates,41,Garth W. Beck,Marion,4,
2006,general,Write-In,House of Delegates,41,Elaine Daugherty,Totals,773,
2006,general,Write-In,House of Delegates,41,Elaine Daugherty,Harrison,771,
2006,general,Write-In,House of Delegates,41,Elaine Daugherty,Marion,2,
2006,general,D,House of Delegates,42,Mike Manypenny,Totals,2302,
2006,general,D,House of Delegates,42,Mike Manypenny,Marion,154,
2006,general,D,House of Delegates,42,Mike Manypenny,Monongalia,274,
2006,general,D,House of Delegates,42,Mike Manypenny,Taylor,1874,
2006,general,R,House of Delegates,42,Jeffery L. Tansill,Totals,2742,1
2006,general,R,House of Delegates,42,Jeffery L. Tansill,Marion,143,
2006,general,R,House of Delegates,42,Jeffery L. Tansill,Monongalia,205,
2006,general,R,House of Delegates,42,Jeffery L. Tansill,Taylor,2394,
2006,general,D,House of Delegates,43,Mike Caputo,Totals,10432,1
2006,general,D,House of Delegates,43,Mike Caputo,Marion,9905,
2006,general,D,House of Delegates,43,Mike Caputo,Monongalia,527,
2006,general,D,House of Delegates,43,Linda Longstreth,Totals,9902,1
2006,general,D,House of Delegates,43,Linda Longstreth,Marion,9453,
2006,general,D,House of Delegates,43,Linda Longstreth,Monongalia,449,
2006,general,D,House of Delegates,43,Tim J. Manchin,Totals,10176,1
2006,general,D,House of Delegates,43,Tim J. Manchin,Marion,9701,
2006,general,D,House of Delegates,43,Tim J. Manchin,Monongalia,475,
2006,general,R,House of Delegates,43,Chuck Mullett,Totals,4813,
2006,general,R,House of Delegates,43,Chuck Mullett,Marion,4487,
2006,general,R,House of Delegates,43,Chuck Mullett,Monongalia,326,
2006,general,R,House of Delegates,43,Thomas F. Smith,Totals,3447,
2006,general,R,House of Delegates,43,Thomas F. Smith,Marion,3200,
2006,general,R,House of Delegates,43,Thomas F. Smith,Monongalia,247,
2006,general,R,House of Delegates,43,Rick Starn,Totals,5889,
2006,general,R,House of Delegates,43,Rick Starn,Marion,5529,
