year,election,office,party,district,county,candidate,votes,winner
2006,primary,U.S. House of Representatives,D,2,Randolph,Mike Callaghan,1312,
2006,primary,U.S. House of Representatives,D,2,Roane,Mike Callaghan,331,
2006,primary,U.S. House of Representatives,D,2,Upshur,Mike Callaghan,362,
2006,primary,U.S. House of Representatives,D,2,Wirt,Mike Callaghan,125,
2006,primary,U.S. House of Representatives,D,2,Totals,Mark Hunt,16906,
2006,primary,U.S. House of Representatives,D,2,Berkeley,Mark Hunt,987,
2006,primary,U.S. House of Representatives,D,2,Braxton,Mark Hunt,921,
2006,primary,U.S. House of Representatives,D,2,Calhoun,Mark Hunt,442,
2006,primary,U.S. House of Representatives,D,2,Clay,Mark Hunt,771,
2006,primary,U.S. House of Representatives,D,2,Hampshire,Mark Hunt,528,
2006,primary,U.S. House of Representatives,D,2,Hardy,Mark Hunt,372,
2006,primary,U.S. House of Representatives,D,2,Jackson,Mark Hunt,925,
2006,primary,U.S. House of Representatives,D,2,Jefferson,Mark Hunt,793,
2006,primary,U.S. House of Representatives,D,2,Kanawha,Mark Hunt,4602,
2006,primary,U.S. House of Representatives,D,2,Lewis,Mark Hunt,715,
2006,primary,U.S. House of Representatives,D,2,Mason,Mark Hunt,1495,
2006,primary,U.S. House of Representatives,D,2,Morgan,Mark Hunt,288,
2006,primary,U.S. House of Representatives,D,2,Pendleton,Mark Hunt,214,
2006,primary,U.S. House of Representatives,D,2,Putnam,Mark Hunt,1115,
2006,primary,U.S. House of Representatives,D,2,Randolph,Mark Hunt,1476,
2006,primary,U.S. House of Representatives,D,2,Roane,Mark Hunt,551,
2006,primary,U.S. House of Representatives,D,2,Upshur,Mark Hunt,508,
2006,primary,U.S. House of Representatives,D,2,Wirt,Mark Hunt,203,
2006,primary,U.S. House of Representatives,D,2,Totals,Richie Robb,15543,
2006,primary,U.S. House of Representatives,D,2,Berkeley,Richie Robb,681,
2006,primary,U.S. House of Representatives,D,2,Braxton,Richie Robb,435,
2006,primary,U.S. House of Representatives,D,2,Calhoun,Richie Robb,17,
2006,primary,U.S. House of Representatives,D,2,Clay,Richie Robb,220,
2006,primary,U.S. House of Representatives,D,2,Hampshire,Richie Robb,469,
2006,primary,U.S. House of Representatives,D,2,Hardy,Richie Robb,453,
2006,primary,U.S. House of Representatives,D,2,Jackson,Richie Robb,544,
2006,primary,U.S. House of Representatives,D,2,Jefferson,Richie Robb,910,
2006,primary,U.S. House of Representatives,D,2,Kanawha,Richie Robb,7433,
2006,primary,U.S. House of Representatives,D,2,Lewis,Richie Robb,393,
2006,primary,U.S. House of Representatives,D,2,Mason,Richie Robb,543,
2006,primary,U.S. House of Representatives,D,2,Morgan,Richie Robb,210,
2006,primary,U.S. House of Representatives,D,2,Pendleton,Richie Robb,213,
2006,primary,U.S. House of Representatives,D,2,Putnam,Richie Robb,1274,
2006,primary,U.S. House of Representatives,D,2,Randolph,Richie Robb,862,
2006,primary,U.S. House of Representatives,D,2,Roane,Richie Robb,339,
2006,primary,U.S. House of Representatives,D,2,Upshur,Richie Robb,281,
2006,primary,U.S. House of Representatives,D,2,Wirt,Richie Robb,116,
2006,primary,U.S. House of Representatives,R,2,Totals,Shelley Moore Capito,29031,1
2006,primary,U.S. House of Representatives,R,2,Berkeley,Shelley Moore Capito,3725,
2006,primary,U.S. House of Representatives,R,2,Braxton,Shelley Moore Capito,390,
2006,primary,U.S. House of Representatives,R,2,Calhoun,Shelley Moore Capito,245,
2006,primary,U.S. House of Representatives,R,2,Clay,Shelley Moore Capito,343,
2006,primary,U.S. House of Representatives,R,2,Hampshire,Shelley Moore Capito,923,
2006,primary,U.S. House of Representatives,R,2,Hardy,Shelley Moore Capito,402,
2006,primary,U.S. House of Representatives,R,2,Jackson,Shelley Moore Capito,1743,
2006,primary,U.S. House of Representatives,R,2,Jefferson,Shelley Moore Capito,1704,
2006,primary,U.S. House of Representatives,R,2,Kanawha,Shelley Moore Capito,8319,
2006,primary,U.S. House of Representatives,R,2,Lewis,Shelley Moore Capito,1115,
2006,primary,U.S. House of Representatives,R,2,Mason,Shelley Moore Capito,1601,
2006,primary,U.S. House of Representatives,R,2,Morgan,Shelley Moore Capito,1037,
2006,primary,U.S. House of Representatives,R,2,Pendleton,Shelley Moore Capito,288,
2006,primary,U.S. House of Representatives,R,2,Putnam,Shelley Moore Capito,3248,
2006,primary,U.S. House of Representatives,R,2,Randolph,Shelley Moore Capito,888,
2006,primary,U.S. House of Representatives,R,2,Roane,Shelley Moore Capito,932,
2006,primary,U.S. House of Representatives,R,2,Upshur,Shelley Moore Capito,1823,
2006,primary,U.S. House of Representatives,R,2,Wirt,Shelley Moore Capito,305,
2006,primary,U.S. House of Representatives,D,3,Totals,"Nick Joe Rahall, II",4736,
2006,primary,U.S. House of Representatives,D,3,Boone,"Nick Joe Rahall, II",3178,
2006,primary,U.S. House of Representatives,D,3,Cabell,"Nick Joe Rahall, II",6244,
2006,primary,U.S. House of Representatives,D,3,Fayette,"Nick Joe Rahall, II",5335,
2006,primary,U.S. House of Representatives,D,3,Greenbrier,"Nick Joe Rahall, II",3621,
2006,primary,U.S. House of Representatives,D,3,Lincoln,"Nick Joe Rahall, II",2065,
2006,primary,U.S. House of Representatives,D,3,Logan,"Nick Joe Rahall, II",5144,
2006,primary,U.S. House of Representatives,D,3,McDowell,"Nick Joe Rahall, II",3921,
2006,primary,U.S. House of Representatives,D,3,Mercer,"Nick Joe Rahall, II",4736,
2006,primary,U.S. House of Representatives,D,3,Mingo,"Nick Joe Rahall, II",5127,
2006,primary,U.S. House of Representatives,D,3,Monroe,"Nick Joe Rahall, II",1524,
2006,primary,U.S. House of Representatives,D,3,Nicholas,"Nick Joe Rahall, II",3178,
2006,primary,U.S. House of Representatives,D,3,Pocahontas,"Nick Joe Rahall, II",6244,
2006,primary,U.S. House of Representatives,D,3,Raleigh,"Nick Joe Rahall, II",5335,
2006,primary,U.S. House of Representatives,D,3,Summers,"Nick Joe Rahall, II",3621,
2006,primary,U.S. House of Representatives,D,3,Wayne,"Nick Joe Rahall, II",2065,
2006,primary,U.S. House of Representatives,D,3,Webster,"Nick Joe Rahall, II",5144,
2006,primary,U.S. House of Representatives,D,3,Wyoming,"Nick Joe Rahall, II",3921,
2006,primary,U.S. House of Representatives,R,3,Totals,Gary M. (Marty) Gearheart,6529,
2006,primary,U.S. House of Representatives,R,3,Boone,Gary M. (Marty) Gearheart,97,
2006,primary,U.S. House of Representatives,R,3,Cabell,Gary M. (Marty) Gearheart,213,
2006,primary,U.S. House of Representatives,R,3,Fayette,Gary M. (Marty) Gearheart,491,
2006,primary,U.S. House of Representatives,R,3,Greenbrier,Gary M. (Marty) Gearheart,652,
2006,primary,U.S. House of Representatives,R,3,Lincoln,Gary M. (Marty) Gearheart,59,
2006,primary,U.S. House of Representatives,R,3,Logan,Gary M. (Marty) Gearheart,93,
2006,primary,U.S. House of Representatives,R,3,McDowell,Gary M. (Marty) Gearheart,131,
2006,primary,U.S. House of Representatives,R,3,Mercer,Gary M. (Marty) Gearheart,1456,
2006,primary,U.S. House of Representatives,R,3,Mingo,Gary M. (Marty) Gearheart,80,
2006,primary,U.S. House of Representatives,R,3,Monroe,Gary M. (Marty) Gearheart,565,
2006,primary,U.S. House of Representatives,R,3,Nicholas,Gary M. (Marty) Gearheart,379,
2006,primary,U.S. House of Representatives,R,3,Pocahontas,Gary M. (Marty) Gearheart,216,
2006,primary,U.S. House of Representatives,R,3,Raleigh,Gary M. (Marty) Gearheart,1362,
2006,primary,U.S. House of Representatives,R,3,Summers,Gary M. (Marty) Gearheart,182,
2006,primary,U.S. House of Representatives,R,3,Wayne,Gary M. (Marty) Gearheart,122,
2006,primary,U.S. House of Representatives,R,3,Webster,Gary M. (Marty) Gearheart,46,
2006,primary,U.S. House of Representatives,R,3,Wyoming,Gary M. (Marty) Gearheart,385,
2006,primary,U.S. House of Representatives,R,3,Totals,Kim Wolfe,8975,1
2006,primary,U.S. House of Representatives,R,3,Boone,Kim Wolfe,269,
2006,primary,U.S. House of Representatives,R,3,Cabell,Kim Wolfe,3689,
2006,primary,U.S. House of Representatives,R,3,Fayette,Kim Wolfe,424,
2006,primary,U.S. House of Representatives,R,3,Greenbrier,Kim Wolfe,455,
2006,primary,U.S. House of Representatives,R,3,Lincoln,Kim Wolfe,438,
2006,primary,U.S. House of Representatives,R,3,Logan,Kim Wolfe,279,
2006,primary,U.S. House of Representatives,R,3,McDowell,Kim Wolfe,21,
2006,primary,U.S. House of Representatives,R,3,Mercer,Kim Wolfe,165,
2006,primary,U.S. House of Representatives,R,3,Mingo,Kim Wolfe,186,
2006,primary,U.S. House of Representatives,R,3,Monroe,Kim Wolfe,125,
2006,primary,U.S. House of Representatives,R,3,Nicholas,Kim Wolfe,462,
2006,primary,U.S. House of Representatives,R,3,Pocahontas,Kim Wolfe,207,
2006,primary,U.S. House of Representatives,R,3,Raleigh,Kim Wolfe,792,
2006,primary,U.S. House of Representatives,R,3,Summers,Kim Wolfe,79,
2006,primary,U.S. House of Representatives,R,3,Wayne,Kim Wolfe,1102,
2006,primary,U.S. House of Representatives,R,3,Webster,Kim Wolfe,91,
2006,primary,U.S. House of Representatives,R,3,Wyoming,Kim Wolfe,191,
