year,election,office,district,party,candidate,county,votes,winner
2000,general,House of Delegates,10,R,Tom Azinger,Totals,9937,1
2000,general,House of Delegates,10,R,Tom Azinger,Wood,9937,
2000,general,House of Delegates,10,R,Fred Gillespie,Totals,9697,
2000,general,House of Delegates,10,R,Fred Gillespie,Wood,9697,
2000,general,House of Delegates,10,R,Rick Modesitt,Totals,11594,1
2000,general,House of Delegates,10,R,Rick Modesitt,Wood,11594,
2000,general,House of Delegates,11,D,Oscar Hines,Totals,2924,
2000,general,House of Delegates,11,D,Oscar Hines,Jackson,480,
2000,general,House of Delegates,11,D,Oscar Hines,Roane,2444,
2000,general,House of Delegates,11,R,Bob Ashley,Totals,3876,1
2000,general,House of Delegates,11,R,Bob Ashley,Jackson,748,
2000,general,House of Delegates,11,R,Bob Ashley,Roane,3128,
2000,general,House of Delegates,12,D,Mike Dunlap,Totals,3136,
2000,general,House of Delegates,12,D,Mike Dunlap,Jackson,3136,
2000,general,House of Delegates,12,R,Mitch B. Carmichael,Totals,4584,1
2000,general,House of Delegates,12,R,Mitch B. Carmichael,Jackson,4584,
2000,general,House of Delegates,13,D,Dale Martin,Totals,6421,1
2000,general,House of Delegates,13,D,Dale Martin,Jackson,872,
2000,general,House of Delegates,13,D,Dale Martin,Mason,2229,
2000,general,House of Delegates,13,D,Dale Martin,Putnam,3320,
2000,general,House of Delegates,13,D,Brady R. Paxton,Totals,7903,1
2000,general,House of Delegates,13,D,Brady R. Paxton,Jackson,1096,
2000,general,House of Delegates,13,D,Brady R. Paxton,Mason,2881,
2000,general,House of Delegates,13,D,Brady R. Paxton,Putnam,3926,
2000,general,House of Delegates,13,R,Charlie Bonnett,Totals,4363,
2000,general,House of Delegates,13,R,Charlie Bonnett,Jackson,611,
2000,general,House of Delegates,13,R,Charlie Bonnett,Mason,1198,
2000,general,House of Delegates,13,R,Charlie Bonnett,Putnam,2554,
2000,general,House of Delegates,13,R,Jack R. McLane,Totals,6128,
2000,general,House of Delegates,13,R,Jack R. McLane,Jackson,756,
2000,general,House of Delegates,13,R,Jack R. McLane,Mason,1816,
2000,general,House of Delegates,13,R,Jack R. McLane,Putnam,3556,
2000,general,House of Delegates,14,D,Ted Boggess,Totals,4716,
2000,general,House of Delegates,14,D,Ted Boggess,Mason,1776,
2000,general,House of Delegates,14,D,Ted Boggess,Putnam,2940,
2000,general,House of Delegates,14,D,Jeanie Parenti,Totals,6013,
2000,general,House of Delegates,14,D,Jeanie Parenti,Mason,2206,
2000,general,House of Delegates,14,D,Jeanie Parenti,Putnam,3807,
2000,general,House of Delegates,14,R,Mike Hall,Totals,8881,1
2000,general,House of Delegates,14,R,Mike Hall,Mason,2930,
2000,general,House of Delegates,14,R,Mike Hall,Putnam,5951,
2000,general,House of Delegates,14,R,Lisa D. Smith,Totals,10113,1
2000,general,House of Delegates,14,R,Lisa D. Smith,Mason,3426,
2000,general,House of Delegates,14,R,Lisa D. Smith,Putnam,6687,
2000,general,House of Delegates,15,D,Kevin J. Craig,Totals,8546,1
2000,general,House of Delegates,15,D,Kevin J. Craig,Cabell,7870,
2000,general,House of Delegates,15,D,Kevin J. Craig,Lincoln,676,
2000,general,House of Delegates,15,D,Arley R. Johnson,Totals,7643,1
2000,general,House of Delegates,15,D,Arley R. Johnson,Cabell,7045,
2000,general,House of Delegates,15,D,Arley R. Johnson,Lincoln,598,
2000,general,House of Delegates,15,D,Margarette R Leach,Totals,8027,1
2000,general,House of Delegates,15,D,Margarette R Leach,Cabell,7332,
2000,general,House of Delegates,15,D,Margarette R Leach,Lincoln,695,
2000,general,House of Delegates,15,R,"C. E. ""Chuck"" Romine",Totals,7450,
2000,general,House of Delegates,15,R,"C. E. ""Chuck"" Romine",Cabell,6973,
2000,general,House of Delegates,15,R,"C. E. ""Chuck"" Romine",Lincoln,477,
2000,general,House of Delegates,15,R,Kelli Sobonya,Totals,5890,
2000,general,House of Delegates,15,R,Kelli Sobonya,Cabell,5509,
2000,general,House of Delegates,15,R,Kelli Sobonya,Lincoln,381,
2000,general,House of Delegates,15,Libertarian,Adam Barraclough,Totals,971,
2000,general,House of Delegates,15,Libertarian,Adam Barraclough,Cabell,899,
2000,general,House of Delegates,15,Libertarian,Adam Barraclough,Lincoln,72,
2000,general,House of Delegates,15,Write-In,Terry Rowsey,Totals,6,
2000,general,House of Delegates,15,Write-In,Terry Rowsey,Cabell,6,
2000,general,House of Delegates,15,Write-In,Terry Rowsey,Lincoln,0,
2000,general,House of Delegates,16,D,Susan Hubbard,Totals,9161,1
2000,general,House of Delegates,16,D,Susan Hubbard,Cabell,8581,
2000,general,House of Delegates,16,D,Susan Hubbard,Wayne,580,
2000,general,House of Delegates,16,D,Joe Hutchinson,Totals,8026,
2000,general,House of Delegates,16,D,Joe Hutchinson,Cabell,7281,
2000,general,House of Delegates,16,D,Joe Hutchinson,Wayne,745,
2000,general,House of Delegates,16,D,Dale Stephens,Totals,8488,1
2000,general,House of Delegates,16,D,Dale Stephens,Cabell,7555,
2000,general,House of Delegates,16,D,Dale Stephens,Wayne,933,
2000,general,House of Delegates,16,R,Jody G. Smirl,Totals,9368,1
2000,general,House of Delegates,16,R,Jody G. Smirl,Cabell,8734,
2000,general,House of Delegates,16,R,Jody G. Smirl,Wayne,634,
2000,general,House of Delegates,16,R,Bill Winters,Totals,7537,
2000,general,House of Delegates,16,R,Bill Winters,Cabell,7034,
2000,general,House of Delegates,16,R,Bill Winters,Wayne,503,
2000,general,House of Delegates,17,D,Richard Thompson,Totals,4578,1
2000,general,House of Delegates,17,D,Richard Thompson,Wayne,4578,
2000,general,House of Delegates,18,D,Don C. Perdue,Totals,4482,1
2000,general,House of Delegates,18,D,Don C. Perdue,Wayne,4482,
2000,general,House of Delegates,19,D,K. Steven Kominar,Totals,7938,1
2000,general,House of Delegates,19,D,K. Steven Kominar,Logan,255,
2000,general,House of Delegates,19,D,K. Steven Kominar,Mingo,7683,
2000,general,House of Delegates,19,D,Harry Keith White,Totals,7669,1
2000,general,House of Delegates,19,D,Harry Keith White,Logan,244,
2000,general,House of Delegates,19,D,Harry Keith White,Mingo,7425,
2000,general,House of Delegates,20,D,Greg Butcher,Totals,14788,1
2000,general,House of Delegates,20,D,Greg Butcher,Boone,1866,
2000,general,House of Delegates,20,D,Greg Butcher,Lincoln,3709,
2000,general,House of Delegates,20,D,Greg Butcher,Logan,9213,
2000,general,House of Delegates,20,D,Tracy Dempsey,Totals,15249,1
2000,general,House of Delegates,20,D,Tracy Dempsey,Boone,1683,
2000,general,House of Delegates,20,D,Tracy Dempsey,Lincoln,4396,
2000,general,House of Delegates,20,D,Tracy Dempsey,Logan,9170,
2000,general,House of Delegates,20,D,Joe C. Ferrell,Totals,13753,1
2000,general,House of Delegates,20,D,Joe C. Ferrell,Boone,1710,
2000,general,House of Delegates,20,D,Joe C. Ferrell,Lincoln,3659,
2000,general,House of Delegates,20,D,Joe C. Ferrell,Logan,8384,
2000,general,House of Delegates,20,D,Lidella W. Hrutkay,Totals,13793,1
2000,general,House of Delegates,20,D,Lidella W. Hrutkay,Boone,1578,
2000,general,House of Delegates,20,D,Lidella W. Hrutkay,Lincoln,3271,
2000,general,House of Delegates,20,D,Lidella W. Hrutkay,Logan,8944,
2000,general,House of Delegates,20,R,"Russell Hoover, Jr.",Totals,5027,
2000,general,House of Delegates,20,R,"Russell Hoover, Jr.",Boone,690,
2000,general,House of Delegates,20,R,"Russell Hoover, Jr.",Lincoln,2245,
2000,general,House of Delegates,20,R,"Russell Hoover, Jr.",Logan,2092,
2000,general,House of Delegates,21,D,Earnie Kuhn,Totals,5156,1
2000,general,House of Delegates,21,D,Earnie Kuhn,Boone,5156,
2000,general,House of Delegates,22,D,"Lacy Wright, Jr.",Totals,5723,1
2000,general,House of Delegates,22,D,"Lacy Wright, Jr.",McDowell,5723,
2000,general,House of Delegates,22,D,Emily W. Yeager,Totals,5432,1
2000,general,House of Delegates,22,D,Emily W. Yeager,McDowell,5432,
2000,general,House of Delegates,23,D,Richard Browning,Totals,6992,1
2000,general,House of Delegates,23,D,Richard Browning,Mercer,1291,
2000,general,House of Delegates,23,D,Richard Browning,Wyoming,5701,
2000,general,House of Delegates,23,D,W. Richard Staton,Totals,3379,1
2000,general,House of Delegates,23,D,W. Richard Staton,Mercer,1243,
2000,general,House of Delegates,23,D,W. Richard Staton,Wyoming,5136,
2000,general,House of Delegates,24,D,Eustace Frederick,Totals,3600,1
2000,general,House of Delegates,24,D,Eustace Frederick,Mercer,3600,
2000,general,House of Delegates,24,R,Dick Mitchem,Totals,1585,
2000,general,House of Delegates,24,R,Dick Mitchem,Mercer,1585,
2000,general,House of Delegates,25,D,Richard D. Flanigan,Totals,6550,1
2000,general,House of Delegates,25,D,Richard D. Flanigan,Mercer,6550,
2000,general,House of Delegates,25,D,Mark Wills,Totals,7315,1
2000,general,House of Delegates,25,D,Mark Wills,Mercer,7315,
2000,general,House of Delegates,25,R,Paul M. Canterbury,Totals,4788,
2000,general,House of Delegates,25,R,Paul M. Canterbury,Mercer,4788,
2000,general,House of Delegates,26,D,Mary Pearl Compton,Totals,4244,1
2000,general,House of Delegates,26,D,Mary Pearl Compton,Monroe,3245,
2000,general,House of Delegates,26,D,Mary Pearl Compton,Summers,999,
2000,general,House of Delegates,26,Libertarian,Richard W. Dulee,Totals,1301,
2000,general,House of Delegates,26,Libertarian,Richard W. Dulee,Monroe,1090,
2000,general,House of Delegates,26,Libertarian,Richard W. Dulee,Summers,211,
2000,general,House of Delegates,27,D,Robert S. Kiss,Totals,16928,1
2000,general,House of Delegates,27,D,Robert S. Kiss,Raleigh,15024,
2000,general,House of Delegates,27,D,Robert S. Kiss,Summers,1904,
2000,general,House of Delegates,27,D,Virginia Mahan,Totals,14439,1
2000,general,House of Delegates,27,D,Virginia Mahan,Raleigh,12424,
2000,general,House of Delegates,27,D,Virginia Mahan,Summers,2015,
2000,general,House of Delegates,27,D,"Warren R McGraw, II",Totals,16063,1
2000,general,House of Delegates,27,D,"Warren R McGraw, II",Raleigh,14198,
2000,general,House of Delegates,27,D,"Warren R McGraw, II",Summers,1865,
2000,general,House of Delegates,27,D,Sally Susman,Totals,17203,1
2000,general,House of Delegates,27,D,Sally Susman,Raleigh,15171,
2000,general,House of Delegates,27,D,Sally Susman,Summers,2032,
2000,general,House of Delegates,27,D,Ron Thompson,Totals,17025,1
2000,general,House of Delegates,27,D,Ron Thompson,Raleigh,15025,
2000,general,House of Delegates,27,D,Ron Thompson,Summers,2000,
2000,general,House of Delegates,27,R,Philip L. Stevens,Totals,8521,
2000,general,House of Delegates,27,R,Philip L. Stevens,Raleigh,7433,
2000,general,House of Delegates,27,R,Philip L. Stevens,Summers,1088,
2000,general,House of Delegates,27,Libertarian,Joy Johnson,Totals,3829,
2000,general,House of Delegates,27,Libertarian,Joy Johnson,Raleigh,3535,
2000,general,House of Delegates,27,Libertarian,Joy Johnson,Summers,294,
2000,general,House of Delegates,28,D,Thomas W. Campbell,Totals,7454,1
2000,general,House of Delegates,28,D,Thomas W. Campbell,Greenbrier,7454,
2000,general,House of Delegates,28,D,Steve Hunter,Totals,5861,
2000,general,House of Delegates,28,D,Steve Hunter,Greenbrier,5861,
2000,general,House of Delegates,28,R,Ray Canterbury,Totals,6098,1
2000,general,House of Delegates,28,R,Ray Canterbury,Greenbrier,6098,
2000,general,House of Delegates,29,D,Tom Louisos,Totals,10936,1
2000,general,House of Delegates,29,D,Tom Louisos,Fayette,10480,
2000,general,House of Delegates,29,D,Tom Louisos,Greenbrier,47,
2000,general,House of Delegates,29,D,Tom Louisos,Kanawha,206,
2000,general,House of Delegates,29,D,Tom Louisos,Nicholas,120,
2000,general,House of Delegates,29,D,Tom Louisos,Raleigh,83,
2000,general,House of Delegates,29,D,David G. Perry,Totals,9312,1
2000,general,House of Delegates,29,D,David G. Perry,Fayette,8864,
2000,general,House of Delegates,29,D,David G. Perry,Greenbrier,37,
2000,general,House of Delegates,29,D,David G. Perry,Kanawha,204,
2000,general,House of Delegates,29,D,David G. Perry,Nicholas,118,
2000,general,House of Delegates,29,D,David G. Perry,Raleigh,89,
2000,general,House of Delegates,29,D,John Pino,Totals,10359,1
2000,general,House of Delegates,29,D,John Pino,Fayette,9884,
2000,general,House of Delegates,29,D,John Pino,Greenbrier,37,
2000,general,House of Delegates,29,D,John Pino,Kanawha,207,
2000,general,House of Delegates,29,D,John Pino,Nicholas,135,
2000,general,House of Delegates,29,D,John Pino,Raleigh,96,
2000,general,House of Delegates,29,R,Tom Fast,Totals,5149,
2000,general,House of Delegates,29,R,Tom Fast,Fayette,5020,
2000,general,House of Delegates,29,R,Tom Fast,Greenbrier,11,
2000,general,House of Delegates,29,R,Tom Fast,Kanawha,35,
2000,general,House of Delegates,29,R,Tom Fast,Nicholas,47,
2000,general,House of Delegates,29,R,Tom Fast,Raleigh,36,
2000,general,House of Delegates,30,D,Jon Amores,Totals,25732,1
2000,general,House of Delegates,30,D,Jon Amores,Kanawha,25732,
2000,general,House of Delegates,30,D,Bonnie Brown,Totals,20243,1
2000,general,House of Delegates,30,D,Bonnie Brown,Kanawha,20243,
2000,general,House of Delegates,30,D,Bobbie Hatfield,Totals,22553,1
2000,general,House of Delegates,30,D,Bobbie Hatfield,Kanawha,22553,
2000,general,House of Delegates,30,D,Ray Keener,Totals,19701,1
2000,general,House of Delegates,30,D,Ray Keener,Kanawha,19701,
2000,general,House of Delegates,30,D,Rebecca A. Mathews,Totals,23278,1
2000,general,House of Delegates,30,D,Rebecca A. Mathews,Kanawha,23278,
2000,general,House of Delegates,30,D,Joe F. Smith,Totals,19282,1
2000,general,House of Delegates,30,D,Joe F. Smith,Kanawha,19282,
2000,general,House of Delegates,30,D,Sharon Spencer,Totals,21194,1
2000,general,House of Delegates,30,D,Sharon Spencer,Kanawha,21194,
2000,general,House of Delegates,30,R,Ann Calvert,Totals,15665,
2000,general,House of Delegates,30,R,Ann Calvert,Kanawha,15665,
2000,general,House of Delegates,30,R,Keith A. Carte,Totals,9928,
2000,general,House of Delegates,30,R,Keith A. Carte,Kanawha,9928,
2000,general,House of Delegates,30,R,Robert J. Gould,Totals,14264,
2000,general,House of Delegates,30,R,Robert J. Gould,Kanawha,14264,
2000,general,House of Delegates,30,R,Priscilla M. Haden,Totals,14640,
2000,general,House of Delegates,30,R,Priscilla M. Haden,Kanawha,14640,
2000,general,House of Delegates,30,R,Fred L. Monk,Totals,10919,
2000,general,House of Delegates,30,R,Fred L. Monk,Kanawha,10919,
2000,general,House of Delegates,30,R,Bill Nelson,Totals,14049,
2000,general,House of Delegates,30,R,Bill Nelson,Kanawha,14049,
2000,general,House of Delegates,30,R,Jason Webb,Totals,10040,
2000,general,House of Delegates,30,R,Jason Webb,Kanawha,10040,
2000,general,House of Delegates,31,D,Carrie Webster,Totals,2810,1
2000,general,House of Delegates,31,D,Carrie Webster,Kanawha,2810,
2000,general,House of Delegates,31,R,Wanda Hightower,Totals,1227,
2000,general,House of Delegates,31,R,Wanda Hightower,Kanawha,1227,
2000,general,House of Delegates,31,Libertarian,John A. Sturgeon,Totals,135,
2000,general,House of Delegates,31,Libertarian,John A. Sturgeon,Kanawha,135,
2000,general,House of Delegates,31,Independent,"Janet ""JT"" Thompson",Totals,324,
2000,general,House of Delegates,31,Independent,"Janet ""JT"" Thompson",Kanawha,324,
2000,general,House of Delegates,32,D,Jon W. Cain Sr.,Totals,8082,
2000,general,House of Delegates,32,D,Jon W. Cain Sr.,Kanawha,8082,
2000,general,House of Delegates,32,D,Roger L. Hughes,Totals,8215,
2000,general,House of Delegates,32,D,Roger L. Hughes,Kanawha,8215,
2000,general,House of Delegates,32,D,Bob Morrison,Totals,7216,
2000,general,House of Delegates,32,D,Bob Morrison,Kanawha,7216,
2000,general,House of Delegates,32,D,Paul Niedbalski,Totals,7663,
2000,general,House of Delegates,32,D,Paul Niedbalski,Kanawha,7663,
2000,general,House of Delegates,32,R,Tim Armstead,Totals,11828,1
2000,general,House of Delegates,32,R,Tim Armstead,Kanawha,11828,
2000,general,House of Delegates,32,R,Steve Harrison,Totals,13579,1
2000,general,House of Delegates,32,R,Steve Harrison,Kanawha,13579,
2000,general,House of Delegates,32,R,Ron Walters,Totals,12000,1
2000,general,House of Delegates,32,R,Ron Walters,Kanawha,12000,
2000,general,House of Delegates,32,R,Rusty Webb,Totals,12648,1
2000,general,House of Delegates,32,R,Rusty Webb,Kanawha,12648,
2000,general,House of Delegates,32,Libertarian,Greg Henshall,Totals,1600,
2000,general,House of Delegates,32,Libertarian,Greg Henshall,Kanawha,1600,
2000,general,House of Delegates,33,D,"William F. ""Bill"" Stemple",Totals,4234,1
2000,general,House of Delegates,33,D,"William F. ""Bill"" Stemple",Calhoun,2064,
2000,general,House of Delegates,33,D,"William F. ""Bill"" Stemple",Clay,1893,
2000,general,House of Delegates,33,D,"William F. ""Bill"" Stemple",Gilmer,277,
2000,general,House of Delegates,33,R,"Ben ""B.G."" Murphy",Totals,2084,
2000,general,House of Delegates,33,R,"Ben ""B.G."" Murphy",Calhoun,450,
2000,general,House of Delegates,33,R,"Ben ""B.G."" Murphy",Clay,1550,
2000,general,House of Delegates,33,R,"Ben ""B.G."" Murphy",Gilmer,84,
2000,general,House of Delegates,34,D,Brent Boggs,Totals,5650,1
2000,general,House of Delegates,34,D,Brent Boggs,Braxton,4298,
2000,general,House of Delegates,34,D,Brent Boggs,Gilmer,1352,
2000,general,House of Delegates,34,R,Joseph P. Brannon,Totals,1256,
2000,general,House of Delegates,34,R,Joseph P. Brannon,Braxton,685,
2000,general,House of Delegates,34,R,Joseph P. Brannon,Gilmer,571,
2000,general,House of Delegates,35,D,John W. Shelton,Totals,3503,1
2000,general,House of Delegates,35,D,John W. Shelton,Nicholas,3503,
2000,general,House of Delegates,35,R,Bill Salomon,Totals,2253,
2000,general,House of Delegates,35,R,Bill Salomon,Nicholas,2253,
2000,general,House of Delegates,36,D,C. Randy White,Totals,4775,1
2000,general,House of Delegates,36,D,C. Randy White,Nicholas,1937,
2000,general,House of Delegates,36,D,C. Randy White,Webster,2838,
2000,general,House of Delegates,37,D,J. E. Joe Martin,Totals,9463,1
2000,general,House of Delegates,37,D,J. E. Joe Martin,Pocahontas,2377,
2000,general,House of Delegates,37,D,J. E. Joe Martin,Randolph,7086,
2000,general,House of Delegates,37,D,Bill Proudfoot,Totals,9008,1
2000,general,House of Delegates,37,D,Bill Proudfoot,Pocahontas,2525,
2000,general,House of Delegates,37,D,Bill Proudfoot,Randolph,6483,
2000,general,House of Delegates,38,R,Doug Stalnaker,Totals,5286,1
2000,general,House of Delegates,38,R,Doug Stalnaker,Lewis,5028,
2000,general,House of Delegates,38,R,Doug Stalnaker,Upshur,258,
2000,general,House of Delegates,39,D,"William ""Bill"" Wilson",Totals,2210,
2000,general,House of Delegates,39,D,"William ""Bill"" Wilson",Upshur,2210,
2000,general,House of Delegates,39,R,Dale F. Riggs,Totals,4341,1
2000,general,House of Delegates,39,R,Dale F. Riggs,Upshur,4341,
2000,general,House of Delegates,40,D,Mary M. Poling,Totals,3455,1
2000,general,House of Delegates,40,D,Mary M. Poling,Barbour,2926,
2000,general,House of Delegates,40,D,Mary M. Poling,Upshur,529,
2000,general,House of Delegates,40,R,"Lonnie L. Moore, Sr.",Totals,3417,
2000,general,House of Delegates,40,R,"Lonnie L. Moore, Sr.",Barbour,2909,
2000,general,House of Delegates,40,R,"Lonnie L. Moore, Sr.",Upshur,508,
2000,general,House of Delegates,41,D,"Frank ""Chunki"" Angotti",Totals,18363,1
2000,general,House of Delegates,41,D,"Frank ""Chunki"" Angotti",Harrison,18363,
2000,general,House of Delegates,41,D,Samuel J. Cann,Totals,18634,1
2000,general,House of Delegates,41,D,Samuel J. Cann,Harrison,18634,
2000,general,House of Delegates,41,D,Ron Fragale,Totals,18569,1
2000,general,House of Delegates,41,D,Ron Fragale,Harrison,18569,
2000,general,House of Delegates,41,D,"Barbara ""Bobbie"" Warner",Totals,16942,1
2000,general,House of Delegates,41,D,"Barbara ""Bobbie"" Warner",Harrison,16942,
2000,general,House of Delegates,42,D,Tom Coleman,Totals,4000,1
2000,general,House of Delegates,42,D,Tom Coleman,Marion,186,
2000,general,House of Delegates,42,D,Tom Coleman,Monongalia,271,
2000,general,House of Delegates,42,D,Tom Coleman,Taylor,3543,
2000,general,House of Delegates,42,R,"James L. ""Jim"" Morgan",Totals,2324,
2000,general,House of Delegates,42,R,"James L. ""Jim"" Morgan",Marion,212,
2000,general,House of Delegates,42,R,"James L. ""Jim"" Morgan",Monongalia,260,
2000,general,House of Delegates,42,R,"James L. ""Jim"" Morgan",Taylor,1852,
2000,general,House of Delegates,43,D,Mike Caputo,Totals,14071,1
2000,general,House of Delegates,43,D,Mike Caputo,Marion,14071,
2000,general,House of Delegates,43,D,A. James Mancin,Totals,12570,1
2000,general,House of Delegates,43,D,A. James Mancin,Marion,12570,
2000,general,House of Delegates,43,D,Paul E. Prunty,Totals,15007,1
2000,general,House of Delegates,43,D,Paul E. Prunty,Marion,15007,
2000,general,House of Delegates,43,D,Charles S. Mullett,Totals,7585,
2000,general,House of Delegates,43,D,Charles S. Mullett,Marion,7585,
2000,general,House of Delegates,43,R,Russell Snyder,Totals,4494,
2000,general,House of Delegates,43,R,Russell Snyder,Marion,4494,
2000,general,House of Delegates,44,D,"Robert ""Bob"" Beach",Totals,13886,1
2000,general,House of Delegates,44,D,"Robert ""Bob"" Beach",Monongalia,13886,
2000,general,House of Delegates,44,D,Barbara Evans Fleischauer,Totals,13220,1
2000,general,House of Delegates,44,D,Barbara Evans Fleischauer,Monongalia,13220,
2000,general,House of Delegates,44,D,Nancy J. Houston,Totals,12187,
2000,general,House of Delegates,44,D,Nancy J. Houston,Monongalia,12187,
2000,general,House of Delegates,44,D,Charlene Marshall,Totals,14814,1
2000,general,House of Delegates,44,D,Charlene Marshall,Monongalia,14814,
2000,general,House of Delegates,44,R,Sheirl Fletcher,Totals,13979,1
2000,general,House of Delegates,44,R,Sheirl Fletcher,Monongalia,13979,
2000,general,House of Delegates,44,R,Cindy Frich,Totals,11615,
2000,general,House of Delegates,44,R,Cindy Frich,Monongalia,11615,
2000,general,House of Delegates,44,Libertarian,Bob Jones,Totals,3329,
2000,general,House of Delegates,44,Libertarian,Bob Jones,Monongalia,3329,
2000,general,House of Delegates,45,D,Larry A. Williams,Totals,5894,1
2000,general,House of Delegates,45,D,Larry A. Williams,Preston,5894,
2000,general,House of Delegates,46,D,Stan Shaver,Totals,3496,1
2000,general,House of Delegates,46,D,Stan Shaver,Preston,2132,
2000,general,House of Delegates,46,D,Stan Shaver,Tucker,1364,
2000,general,House of Delegates,46,R,Doris T. Bonner,Totals,3046,
2000,general,House of Delegates,46,R,Doris T. Bonner,Preston,1169,
2000,general,House of Delegates,46,R,Doris T. Bonner,Tucker,1877,
2000,general,House of Delegates,47,D,Harold Michael,Totals,5434,1
2000,general,House of Delegates,47,D,Harold Michael,Hardy,3403,
2000,general,House of Delegates,47,D,Harold Michael,Pendleton,2031,
2000,general,House of Delegates,48,D,"Henry ""Hank"" Kopple",Totals,1488,
2000,general,House of Delegates,48,D,"Henry ""Hank"" Kopple",Grant,712,
2000,general,House of Delegates,48,D,"Henry ""Hank"" Kopple",Mineral,755,
