year,election,party,office,district,candidate,county,votes,winner
2006,general,Write-In,State Senate,14,"John R. ""Rick"" Bartlett",Mineral,0,
2006,general,Write-In,State Senate,14,"John R. ""Rick"" Bartlett",Monongalia,0,
2006,general,Write-In,State Senate,14,"John R. ""Rick"" Bartlett",Preston,9,
2006,general,Write-In,State Senate,14,"John R. ""Rick"" Bartlett",Taylor,1,
2006,general,Write-In,State Senate,14,"John R. ""Rick"" Bartlett",Tucker,0,
2006,general,Write-In,State Senate,14,"John R. ""Rick"" Bartlett",Totals,10,
2006,general,D,State Senate,15,Walt Helmick,Berkeley,1062,
2006,general,D,State Senate,15,Walt Helmick,Grant,1596,
2006,general,D,State Senate,15,Walt Helmick,Hampshire,3646,
2006,general,D,State Senate,15,Walt Helmick,Hardy,2560,
2006,general,D,State Senate,15,Walt Helmick,Morgan,2741,
2006,general,D,State Senate,15,Walt Helmick,Pendleton,1757,
2006,general,D,State Senate,15,Walt Helmick,Pocahontas,1905,
2006,general,D,State Senate,15,Walt Helmick,Randolph,5834,
2006,general,D,State Senate,15,Walt Helmick,Upshur,408,
2006,general,D,State Senate,15,Walt Helmick,Totals,21509,1
2006,general,Write-In,State Senate,15,Jeremy Donald Bauserman,Berkeley,2,
2006,general,Write-In,State Senate,15,Jeremy Donald Bauserman,Grant,0,
2006,general,Write-In,State Senate,15,Jeremy Donald Bauserman,Hampshire,12,
2006,general,Write-In,State Senate,15,Jeremy Donald Bauserman,Hardy,2,
2006,general,Write-In,State Senate,15,Jeremy Donald Bauserman,Morgan,32,
2006,general,Write-In,State Senate,15,Jeremy Donald Bauserman,Pendleton,2,
2006,general,Write-In,State Senate,15,Jeremy Donald Bauserman,Pocahontas,35,
2006,general,Write-In,State Senate,15,Jeremy Donald Bauserman,Randolph,7,
2006,general,Write-In,State Senate,15,Jeremy Donald Bauserman,Upshur,0,
2006,general,Write-In,State Senate,15,Jeremy Donald Bauserman,Totals,92,
2006,general,D,State Senate,16,John Unger,Berkeley,11288,
2006,general,D,State Senate,16,John Unger,Jefferson,8352,
2006,general,D,State Senate,16,John Unger,Totals,19640,1
2006,general,R,State Senate,16,Jerry Mays,Berkeley,6604,
2006,general,R,State Senate,16,Jerry Mays,Jefferson,4125,
2006,general,R,State Senate,16,Jerry Mays,Totals,10729,
2006,general,D,State Senate,17,"Brooks McCabe, Jr.",Kanawha,31746,
2006,general,D,State Senate,17,"Brooks McCabe, Jr.",Totals,31746,1
2006,general,R,State Senate,17,Ann Calvert,Kanawha,20552,
2006,general,R,State Senate,17,Ann Calvert,Totals,20552,
