year,election,office,party,county,candidate,votes,winner
2004,primary,Attorney General,D,Randolph,Darrell McGraw,4240,
2004,primary,Attorney General,D,Ritchie,Darrell McGraw,605,
2004,primary,Attorney General,D,Roane,Darrell McGraw,1642,
2004,primary,Attorney General,D,Summers,Darrell McGraw,2075,
2004,primary,Attorney General,D,Taylor,Darrell McGraw,2173,
2004,primary,Attorney General,D,Tucker,Darrell McGraw,1241,
2004,primary,Attorney General,D,Tyler,Darrell McGraw,822,
2004,primary,Attorney General,D,Upshur,Darrell McGraw,1851,
2004,primary,Attorney General,D,Wayne,Darrell McGraw,5852,
2004,primary,Attorney General,D,Webster,Darrell McGraw,2249,
2004,primary,Attorney General,D,Wetzel,Darrell McGraw,3130,
2004,primary,Attorney General,D,Wirt,Darrell McGraw,838,
2004,primary,Attorney General,D,Wood,Darrell McGraw,6524,
2004,primary,Attorney General,D,Wyoming,Darrell McGraw,3705,
2004,primary,Attorney General,D,Totals,Darrell McGraw,213389,1
2004,primary,Attorney General,R,Barbour,"Hiram Lewis, IV",1045,
2004,primary,Attorney General,R,Berkeley,"Hiram Lewis, IV",3726,
2004,primary,Attorney General,R,Boone,"Hiram Lewis, IV",417,
2004,primary,Attorney General,R,Braxton,"Hiram Lewis, IV",395,
2004,primary,Attorney General,R,Brooke,"Hiram Lewis, IV",915,
2004,primary,Attorney General,R,Cabell,"Hiram Lewis, IV",5179,
2004,primary,Attorney General,R,Calhoun,"Hiram Lewis, IV",283,
2004,primary,Attorney General,R,Clay,"Hiram Lewis, IV",378,
2004,primary,Attorney General,R,Doddridge,"Hiram Lewis, IV",1124,
2004,primary,Attorney General,R,Fayette,"Hiram Lewis, IV",1110,
2004,primary,Attorney General,R,Gilmer,"Hiram Lewis, IV",256,
2004,primary,Attorney General,R,Grant,"Hiram Lewis, IV",1465,
2004,primary,Attorney General,R,Greenbrier,"Hiram Lewis, IV",1494,
2004,primary,Attorney General,R,Hampshire,"Hiram Lewis, IV",1034,
2004,primary,Attorney General,R,Hancock,"Hiram Lewis, IV",1294,
2004,primary,Attorney General,R,Hardy,"Hiram Lewis, IV",414,
2004,primary,Attorney General,R,Harrison,"Hiram Lewis, IV",3549,
2004,primary,Attorney General,R,Jackson,"Hiram Lewis, IV",2604,
2004,primary,Attorney General,R,Jefferson,"Hiram Lewis, IV",2137,
2004,primary,Attorney General,R,Kanawha,"Hiram Lewis, IV",9783,
2004,primary,Attorney General,R,Lewis,"Hiram Lewis, IV",1241,
2004,primary,Attorney General,R,Lincoln,"Hiram Lewis, IV",622,
2004,primary,Attorney General,R,Logan,"Hiram Lewis, IV",322,
2004,primary,Attorney General,R,Marion,"Hiram Lewis, IV",2268,
2004,primary,Attorney General,R,Marshall,"Hiram Lewis, IV",2095,
2004,primary,Attorney General,R,Mason,"Hiram Lewis, IV",1868,
2004,primary,Attorney General,R,McDowell,"Hiram Lewis, IV",193,
2004,primary,Attorney General,R,Mercer,"Hiram Lewis, IV",2012,
2004,primary,Attorney General,R,Mineral,"Hiram Lewis, IV",2272,
2004,primary,Attorney General,R,Mingo,"Hiram Lewis, IV",364,
2004,primary,Attorney General,R,Monongalia,"Hiram Lewis, IV",3536,
2004,primary,Attorney General,R,Monroe,"Hiram Lewis, IV",832,
2004,primary,Attorney General,R,Morgan,"Hiram Lewis, IV",973,
2004,primary,Attorney General,R,Nicholas,"Hiram Lewis, IV",896,
2004,primary,Attorney General,R,Ohio,"Hiram Lewis, IV",3038,
2004,primary,Attorney General,R,Pendleton,"Hiram Lewis, IV",330,
2004,primary,Attorney General,R,Pleasants,"Hiram Lewis, IV",484,
2004,primary,Attorney General,R,Pocahontas,"Hiram Lewis, IV",572,
2004,primary,Attorney General,R,Preston,"Hiram Lewis, IV",2289,
2004,primary,Attorney General,R,Putnam,"Hiram Lewis, IV",3997,
2004,primary,Attorney General,R,Raleigh,"Hiram Lewis, IV",2810,
2004,primary,Attorney General,R,Randolph,"Hiram Lewis, IV",1071,
2004,primary,Attorney General,R,Ritchie,"Hiram Lewis, IV",930,
2004,primary,Attorney General,R,Roane,"Hiram Lewis, IV",1087,
2004,primary,Attorney General,R,Summers,"Hiram Lewis, IV",382,
2004,primary,Attorney General,R,Taylor,"Hiram Lewis, IV",1063,
2004,primary,Attorney General,R,Tucker,"Hiram Lewis, IV",507,
2004,primary,Attorney General,R,Tyler,"Hiram Lewis, IV",1135,
2004,primary,Attorney General,R,Upshur,"Hiram Lewis, IV",2507,
2004,primary,Attorney General,R,Wayne,"Hiram Lewis, IV",1284,
2004,primary,Attorney General,R,Webster,"Hiram Lewis, IV",161,
2004,primary,Attorney General,R,Wetzel,"Hiram Lewis, IV",672,
2004,primary,Attorney General,R,Wirt,"Hiram Lewis, IV",375,
2004,primary,Attorney General,R,Wood,"Hiram Lewis, IV",5878,
2004,primary,Attorney General,R,Wyoming,"Hiram Lewis, IV",605,
2004,primary,Attorney General,R,Totals,"Hiram Lewis, IV",89273,1
