candidate,office,district,party,county,precinct,total votes,election day,early voting
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 6,50,35,15
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 6,2,2,0
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 6,3,3,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 6,2,2,0
,Registered Voters,,,Berkeley,PRECINCT 7,992,,
,Ballots Cast,,,Berkeley,PRECINCT 7,130,91,39
,Straight Party,,Republican,Berkeley,PRECINCT 7,13,10,3
,Straight Party,,Democratic,Berkeley,PRECINCT 7,20,13,7
,Straight Party,,Mountain,Berkeley,PRECINCT 7,0,0,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 7,37,32,5
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 7,84,53,31
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 7,4,3,1
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 7,4,3,1
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 7,1,0,1
,Registered Voters,,,Berkeley,PRECINCT 8,568,,
,Ballots Cast,,,Berkeley,PRECINCT 8,68,44,24
,Straight Party,,Republican,Berkeley,PRECINCT 8,7,2,5
,Straight Party,,Democratic,Berkeley,PRECINCT 8,13,11,2
,Straight Party,,Mountain,Berkeley,PRECINCT 8,0,0,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 8,18,10,8
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 8,49,34,15
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 8,0,0,0
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 8,0,0,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 8,0,0,0
,Registered Voters,,,Berkeley,PRECINCT 9,1058,,
,Ballots Cast,,,Berkeley,PRECINCT 9,304,195,109
,Straight Party,,Republican,Berkeley,PRECINCT 9,38,25,13
,Straight Party,,Democratic,Berkeley,PRECINCT 9,40,24,16
,Straight Party,,Mountain,Berkeley,PRECINCT 9,0,0,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 9,147,108,39
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 9,151,85,66
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 9,2,1,1
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 9,1,1,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 9,0,0,0
,Registered Voters,,,Berkeley,PRECINCT 9-22A,766,,
,Ballots Cast,,,Berkeley,PRECINCT 9-22A,99,70,29
,Straight Party,,Republican,Berkeley,PRECINCT 9-22A,13,9,4
,Straight Party,,Democratic,Berkeley,PRECINCT 9-22A,12,8,4
,Straight Party,,Mountain,Berkeley,PRECINCT 9-22A,0,0,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 9-22A,56,38,18
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 9-22A,39,30,9
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 9-22A,0,0,0
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 9-22A,2,1,1
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 9-22A,0,0,0
,Registered Voters,,,Berkeley,PRECINCT 10,1101,,
,Ballots Cast,,,Berkeley,PRECINCT 10,252,169,83
,Straight Party,,Republican,Berkeley,PRECINCT 10,25,23,2
,Straight Party,,Democratic,Berkeley,PRECINCT 10,32,21,11
,Straight Party,,Mountain,Berkeley,PRECINCT 10,0,0,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 10,119,82,37
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 10,117,72,45
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 10,1,1,0
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 10,3,3,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 10,2,2,0
,Registered Voters,,,Berkeley,PRECINCT 11,439,,
,Ballots Cast,,,Berkeley,PRECINCT 11,125,90,35
,Straight Party,,Republican,Berkeley,PRECINCT 11,16,12,4
,Straight Party,,Democratic,Berkeley,PRECINCT 11,15,13,2
,Straight Party,,Mountain,Berkeley,PRECINCT 11,0,0,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 11,64,44,20
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 11,56,43,13
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 11,3,3,0
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 11,1,0,1
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 11,0,0,0
,Registered Voters,,,Berkeley,PRECINCT 12,1517,,
,Ballots Cast,,,Berkeley,PRECINCT 12,309,230,79
,Straight Party,,Republican,Berkeley,PRECINCT 12,50,44,6
,Straight Party,,Democratic,Berkeley,PRECINCT 12,42,34,8
,Straight Party,,Mountain,Berkeley,PRECINCT 12,1,1,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 12,165,128,37
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 12,135,95,40
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 12,2,1,1
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 12,0,0,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 12,0,0,0
,Registered Voters,,,Berkeley,PRECINCT 13,642,,
,Ballots Cast,,,Berkeley,PRECINCT 13,144,118,26
,Straight Party,,Republican,Berkeley,PRECINCT 13,28,22,6
,Straight Party,,Democratic,Berkeley,PRECINCT 13,14,13,1
,Straight Party,,Mountain,Berkeley,PRECINCT 13,0,0,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 13,81,66,15
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 13,56,46,10
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 13,4,3,1
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 13,1,1,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 13,0,0,0
,Registered Voters,,,Berkeley,PRECINCT 14,591,,
,Ballots Cast,,,Berkeley,PRECINCT 14,58,40,18
,Straight Party,,Republican,Berkeley,PRECINCT 14,6,5,1
,Straight Party,,Democratic,Berkeley,PRECINCT 14,12,7,5
,Straight Party,,Mountain,Berkeley,PRECINCT 14,0,0,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 14,21,17,4
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 14,29,18,11
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 14,1,1,0
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 14,2,0,2
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 14,0,0,0
,Registered Voters,,,Berkeley,PRECINCT 15,780,,
,Ballots Cast,,,Berkeley,PRECINCT 15,82,63,19
,Straight Party,,Republican,Berkeley,PRECINCT 15,11,10,1
,Straight Party,,Democratic,Berkeley,PRECINCT 15,20,13,7
,Straight Party,,Mountain,Berkeley,PRECINCT 15,0,0,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 15,33,28,5
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 15,48,35,13
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 15,0,0,0
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 15,0,0,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 15,0,0,0
,Registered Voters,,,Berkeley,PRECINCT 16,1481,,
,Ballots Cast,,,Berkeley,PRECINCT 16,301,225,76
,Straight Party,,Republican,Berkeley,PRECINCT 16,42,36,6
,Straight Party,,Democratic,Berkeley,PRECINCT 16,42,37,5
,Straight Party,,Mountain,Berkeley,PRECINCT 16,0,0,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 16,159,122,37
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 16,138,101,37
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 16,0,0,0
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 16,0,0,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 16,0,0,0
,Registered Voters,,,Berkeley,PRECINCT 17,932,,
,Ballots Cast,,,Berkeley,PRECINCT 17,153,118,35
,Straight Party,,Republican,Berkeley,PRECINCT 17,23,19,4
,Straight Party,,Democratic,Berkeley,PRECINCT 17,9,6,3
,Straight Party,,Mountain,Berkeley,PRECINCT 17,0,0,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 17,95,75,20
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 17,49,38,11
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 17,4,2,2
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 17,1,1,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 17,1,0,1
,Registered Voters,,,Berkeley,PRECINCT 18,1225,,
,Ballots Cast,,,Berkeley,PRECINCT 18,151,121,30
,Straight Party,,Republican,Berkeley,PRECINCT 18,31,25,6
,Straight Party,,Democratic,Berkeley,PRECINCT 18,24,21,3
,Straight Party,,Mountain,Berkeley,PRECINCT 18,0,0,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 18,91,76,15
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 18,51,38,13
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 18,6,5,1
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 18,2,2,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 18,0,0,0
,Registered Voters,,,Berkeley,PRECINCT 18A,238,,
,Ballots Cast,,,Berkeley,PRECINCT 18A,52,42,10
,Straight Party,,Republican,Berkeley,PRECINCT 18A,5,4,1
,Straight Party,,Democratic,Berkeley,PRECINCT 18A,1,1,0
,Straight Party,,Mountain,Berkeley,PRECINCT 18A,0,0,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 18A,34,29,5
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 18A,15,10,5
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 18A,0,0,0
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 18A,1,1,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 18A,0,0,0
,Registered Voters,,,Berkeley,PRECINCT 19,916,,
,Ballots Cast,,,Berkeley,PRECINCT 19,148,129,19
,Straight Party,,Republican,Berkeley,PRECINCT 19,26,22,4
,Straight Party,,Democratic,Berkeley,PRECINCT 19,20,19,1
,Straight Party,,Mountain,Berkeley,PRECINCT 19,0,0,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 19,85,76,9
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 19,60,50,10
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 19,2,2,0
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 19,0,0,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 19,0,0,0
,Registered Voters,,,Berkeley,PRECINCT 20,1042,,
,Ballots Cast,,,Berkeley,PRECINCT 20,147,125,22
,Straight Party,,Republican,Berkeley,PRECINCT 20,37,34,3
,Straight Party,,Democratic,Berkeley,PRECINCT 20,20,19,1
,Straight Party,,Mountain,Berkeley,PRECINCT 20,0,0,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 20,91,80,11
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 20,51,41,10
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 20,1,1,0
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 20,2,2,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 20,0,0,0
,Registered Voters,,,Berkeley,PRECINCT 21,1307,,
,Ballots Cast,,,Berkeley,PRECINCT 21,187,163,24
,Straight Party,,Republican,Berkeley,PRECINCT 21,39,35,4
,Straight Party,,Democratic,Berkeley,PRECINCT 21,25,24,1
,Straight Party,,Mountain,Berkeley,PRECINCT 21,0,0,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 21,110,95,15
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 21,63,55,8
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 21,3,3,0
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 21,1,1,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 21,2,2,0
,Registered Voters,,,Berkeley,PRECINCT 22,673,,
,Ballots Cast,,,Berkeley,PRECINCT 22,148,103,45
,Straight Party,,Republican,Berkeley,PRECINCT 22,25,19,6
,Straight Party,,Democratic,Berkeley,PRECINCT 22,6,5,1
,Straight Party,,Mountain,Berkeley,PRECINCT 22,0,0,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 22,93,66,27
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 22,48,32,16
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 22,3,1,2
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 22,0,0,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 22,1,1,0
,Registered Voters,,,Berkeley,PRECINCT 22A,554,,
,Ballots Cast,,,Berkeley,PRECINCT 22A,175,137,38
,Straight Party,,Republican,Berkeley,PRECINCT 22A,23,20,3
,Straight Party,,Democratic,Berkeley,PRECINCT 22A,12,10,2
,Straight Party,,Mountain,Berkeley,PRECINCT 22A,1,0,1
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 22A,115,92,23
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 22A,57,43,14
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 22A,1,0,1
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 22A,0,0,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 22A,0,0,0
,Registered Voters,,,Berkeley,PRECINCT 23,2080,,
,Ballots Cast,,,Berkeley,PRECINCT 23,321,233,88
,Straight Party,,Republican,Berkeley,PRECINCT 23,60,50,10
,Straight Party,,Democratic,Berkeley,PRECINCT 23,22,16,6
,Straight Party,,Mountain,Berkeley,PRECINCT 23,3,2,1
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 23,199,144,55
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 23,108,79,29
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 23,5,4,1
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 23,6,5,1
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 23,0,0,0
,Registered Voters,,,Berkeley,PRECINCT 24,1284,,
,Ballots Cast,,,Berkeley,PRECINCT 24,150,115,35
,Straight Party,,Republican,Berkeley,PRECINCT 24,19,15,4
,Straight Party,,Democratic,Berkeley,PRECINCT 24,26,21,5
,Straight Party,,Mountain,Berkeley,PRECINCT 24,2,2,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 24,59,46,13
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 24,81,59,22
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 24,4,4,0
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 24,1,1,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 24,0,0,0
,Registered Voters,,,Berkeley,PRECINCT 25,1260,,
,Ballots Cast,,,Berkeley,PRECINCT 25,125,101,24
,Straight Party,,Republican,Berkeley,PRECINCT 25,20,17,3
,Straight Party,,Democratic,Berkeley,PRECINCT 25,16,13,3
,Straight Party,,Mountain,Berkeley,PRECINCT 25,0,0,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 25,72,59,13
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 25,47,37,10
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 25,0,0,0
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 25,2,2,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 25,1,0,1
,Registered Voters,,,Berkeley,PRECINCT 26,1110,,
,Ballots Cast,,,Berkeley,PRECINCT 26,160,130,30
,Straight Party,,Republican,Berkeley,PRECINCT 26,30,28,2
,Straight Party,,Democratic,Berkeley,PRECINCT 26,16,14,2
,Straight Party,,Mountain,Berkeley,PRECINCT 26,1,1,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 26,89,71,18
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 26,63,52,11
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 26,3,2,1
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 26,3,3,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 26,2,2,0
,Registered Voters,,,Berkeley,PRECINCT 27,1318,,
,Ballots Cast,,,Berkeley,PRECINCT 27,333,253,80
,Straight Party,,Republican,Berkeley,PRECINCT 27,60,52,8
,Straight Party,,Democratic,Berkeley,PRECINCT 27,31,22,9
,Straight Party,,Mountain,Berkeley,PRECINCT 27,0,0,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 27,177,138,39
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 27,144,105,39
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 27,2,1,1
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 27,4,4,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 27,1,1,0
,Registered Voters,,,Berkeley,PRECINCT 28,1061,,
,Ballots Cast,,,Berkeley,PRECINCT 28,226,165,61
,Straight Party,,Republican,Berkeley,PRECINCT 28,46,38,8
,Straight Party,,Democratic,Berkeley,PRECINCT 28,20,18,2
,Straight Party,,Mountain,Berkeley,PRECINCT 28,1,1,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 28,133,96,37
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 28,88,65,23
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 28,2,2,0
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 28,1,1,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 28,0,0,0
,Registered Voters,,,Berkeley,PRECINCT 29,1012,,
,Ballots Cast,,,Berkeley,PRECINCT 29,253,177,76
,Straight Party,,Republican,Berkeley,PRECINCT 29,35,27,8
,Straight Party,,Democratic,Berkeley,PRECINCT 29,21,15,6
,Straight Party,,Mountain,Berkeley,PRECINCT 29,0,0,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 29,136,97,39
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 29,106,73,33
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 29,1,1,0
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 29,4,3,1
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 29,2,2,0
,Registered Voters,,,Berkeley,PRECINCT 30,938,,
,Ballots Cast,,,Berkeley,PRECINCT 30,169,136,33
,Straight Party,,Republican,Berkeley,PRECINCT 30,40,34,6
,Straight Party,,Democratic,Berkeley,PRECINCT 30,17,13,4
,Straight Party,,Mountain,Berkeley,PRECINCT 30,2,2,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 30,112,94,18
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 30,49,35,14
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 30,3,3,0
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 30,1,1,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 30,0,0,0
,Registered Voters,,,Berkeley,PRECINCT 32,1182,,
,Ballots Cast,,,Berkeley,PRECINCT 32,178,160,18
,Straight Party,,Republican,Berkeley,PRECINCT 32,22,21,1
,Straight Party,,Democratic,Berkeley,PRECINCT 32,10,9,1
,Straight Party,,Mountain,Berkeley,PRECINCT 32,0,0,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 32,112,102,10
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 32,59,52,7
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 32,0,0,0
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 32,3,3,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 32,1,1,0
,Registered Voters,,,Berkeley,PRECINCT 34,1154,,
,Ballots Cast,,,Berkeley,PRECINCT 34,217,173,44
,Straight Party,,Republican,Berkeley,PRECINCT 34,28,19,9
,Straight Party,,Democratic,Berkeley,PRECINCT 34,11,10,1
,Straight Party,,Mountain,Berkeley,PRECINCT 34,0,0,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 34,143,117,26
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 34,67,51,16
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 34,2,2,0
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 34,4,3,1
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 34,0,0,0
,Registered Voters,,,Berkeley,PRECINCT 35,1324,,
,Ballots Cast,,,Berkeley,PRECINCT 35,253,199,54
,Straight Party,,Republican,Berkeley,PRECINCT 35,30,29,1
,Straight Party,,Democratic,Berkeley,PRECINCT 35,32,26,6
,Straight Party,,Mountain,Berkeley,PRECINCT 35,2,1,1
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 35,144,120,24
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 35,99,72,27
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 35,2,0,2
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 35,4,4,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 35,1,1,0
,Registered Voters,,,Berkeley,PRECINCT 36,1813,,
,Ballots Cast,,,Berkeley,PRECINCT 36,278,231,47
,Straight Party,,Republican,Berkeley,PRECINCT 36,62,50,12
,Straight Party,,Democratic,Berkeley,PRECINCT 36,28,25,3
,Straight Party,,Mountain,Berkeley,PRECINCT 36,0,0,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 36,185,156,29
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 36,88,71,17
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 36,1,1,0
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 36,0,0,0
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 36,1,0,1
,Registered Voters,,,Berkeley,PRECINCT 38,1058,,
,Ballots Cast,,,Berkeley,PRECINCT 38,323,203,120
,Straight Party,,Republican,Berkeley,PRECINCT 38,48,40,8
,Straight Party,,Democratic,Berkeley,PRECINCT 38,30,21,9
,Straight Party,,Mountain,Berkeley,PRECINCT 38,1,1,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 38,175,123,52
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 38,139,79,60
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 38,3,1,2
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 38,1,0,1
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 38,1,0,1
,Registered Voters,,,Berkeley,PRECINCT 39,2326,,
,Ballots Cast,,,Berkeley,PRECINCT 39,526,366,160
,Straight Party,,Republican,Berkeley,PRECINCT 39,84,63,21
,Straight Party,,Democratic,Berkeley,PRECINCT 39,34,23,11
,Straight Party,,Mountain,Berkeley,PRECINCT 39,1,1,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 39,327,230,97
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 39,190,130,60
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 39,3,3,0
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 39,2,1,1
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 39,0,0,0
,Registered Voters,,,Berkeley,PRECINCT 40,1818,,
,Ballots Cast,,,Berkeley,PRECINCT 40,273,203,70
,Straight Party,,Republican,Berkeley,PRECINCT 40,42,33,9
,Straight Party,,Democratic,Berkeley,PRECINCT 40,26,18,8
,Straight Party,,Mountain,Berkeley,PRECINCT 40,0,0,0
Bill Maloney,Governor,,REP,Berkeley,PRECINCT 40,152,119,33
Earl Ray Tomblin,Governor,,DEM,Berkeley,PRECINCT 40,110,75,35
Bob Henry Baber,Governor,,MTN,Berkeley,PRECINCT 40,4,3,1
Marla Dee Ingels,Governor,,IND,Berkeley,PRECINCT 40,5,4,1
Harry V. Bertram,Governor,,ATP,Berkeley,PRECINCT 40,1,1,0
,Registered Voters,,,Berkeley,PRECINCT 41,1572,,
,Ballots Cast,,,Berkeley,PRECINCT 41,328,274,54
,Straight Party,,Republican,Berkeley,PRECINCT 41,66,61,5
,Straight Party,,Democratic,Berkeley,PRECINCT 41,18,14,4
