candidate,office,district,party,county,precinct,votes
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 26-2,117
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 26-2,7
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 26-2,3
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 26-2,1
,Write-in,,,Putnam,Precinct 26-2,1
,Registered Voters,,,Putnam,Precinct 27-1,1027
,Ballots Cast,,,Putnam,Precinct 27-1,324
,Straight Party,,Republican,Putnam,Precinct 27-1,37
,Straight Party,,Democratic,Putnam,Precinct 27-1,24
,Straight Party,,Mountain,Putnam,Precinct 27-1,0
Bill Maloney,Governor,,REP,Putnam,Precinct 27-1,193
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 27-1,127
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 27-1,1
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 27-1,0
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 27-1,0
,Write-in,,,Putnam,Precinct 27-1,1
,Registered Voters,,,Putnam,Precinct 27-2,1002
,Ballots Cast,,,Putnam,Precinct 27-2,315
,Straight Party,,Republican,Putnam,Precinct 27-2,22
,Straight Party,,Democratic,Putnam,Precinct 27-2,15
,Straight Party,,Mountain,Putnam,Precinct 27-2,0
Bill Maloney,Governor,,REP,Putnam,Precinct 27-2,200
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 27-2,98
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 27-2,4
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 27-2,4
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 27-2,0
,Write-in,,,Putnam,Precinct 27-2,5
,Registered Voters,,,Putnam,Precinct 28-1,811
,Ballots Cast,,,Putnam,Precinct 28-1,237
,Straight Party,,Republican,Putnam,Precinct 28-1,12
,Straight Party,,Democratic,Putnam,Precinct 28-1,8
,Straight Party,,Mountain,Putnam,Precinct 28-1,0
Bill Maloney,Governor,,REP,Putnam,Precinct 28-1,162
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 28-1,70
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 28-1,4
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 28-1,1
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 28-1,0
,Write-in,,,Putnam,Precinct 28-1,0
,Registered Voters,,,Putnam,Precinct 28-2,641
,Ballots Cast,,,Putnam,Precinct 28-2,224
,Straight Party,,Republican,Putnam,Precinct 28-2,17
,Straight Party,,Democratic,Putnam,Precinct 28-2,12
,Straight Party,,Mountain,Putnam,Precinct 28-2,1
Bill Maloney,Governor,,REP,Putnam,Precinct 28-2,143
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 28-2,78
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 28-2,2
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 28-2,0
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 28-2,0
,Write-in,,,Putnam,Precinct 28-2,0
,Registered Voters,,,Putnam,Precinct 29-1,990
,Ballots Cast,,,Putnam,Precinct 29-1,293
,Straight Party,,Republican,Putnam,Precinct 29-1,18
,Straight Party,,Democratic,Putnam,Precinct 29-1,16
,Straight Party,,Mountain,Putnam,Precinct 29-1,0
Bill Maloney,Governor,,REP,Putnam,Precinct 29-1,181
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 29-1,104
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 29-1,3
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 29-1,1
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 29-1,1
,Write-in,,,Putnam,Precinct 29-1,1
,Registered Voters,,,Putnam,Precinct 29-2,1049
,Ballots Cast,,,Putnam,Precinct 29-2,296
,Straight Party,,Republican,Putnam,Precinct 29-2,29
,Straight Party,,Democratic,Putnam,Precinct 29-2,21
,Straight Party,,Mountain,Putnam,Precinct 29-2,1
Bill Maloney,Governor,,REP,Putnam,Precinct 29-2,185
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 29-2,102
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 29-2,4
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 29-2,1
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 29-2,0
,Write-in,,,Putnam,Precinct 29-2,1
,Registered Voters,,,Putnam,Precinct 30,956
,Ballots Cast,,,Putnam,Precinct 30,308
,Straight Party,,Republican,Putnam,Precinct 30,40
,Straight Party,,Democratic,Putnam,Precinct 30,31
,Straight Party,,Mountain,Putnam,Precinct 30,1
Bill Maloney,Governor,,REP,Putnam,Precinct 30,186
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 30,112
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 30,8
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 30,2
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 30,0
,Write-in,,,Putnam,Precinct 30,0
,Registered Voters,,,Putnam,Precinct 31,534
,Ballots Cast,,,Putnam,Precinct 31,212
,Straight Party,,Republican,Putnam,Precinct 31,16
,Straight Party,,Democratic,Putnam,Precinct 31,22
,Straight Party,,Mountain,Putnam,Precinct 31,6
Bill Maloney,Governor,,REP,Putnam,Precinct 31,114
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 31,88
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 31,10
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 31,0
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 31,0
,Write-in,,,Putnam,Precinct 31,0
,Registered Voters,,,Putnam,Precinct 32,588
,Ballots Cast,,,Putnam,Precinct 32,178
,Straight Party,,Republican,Putnam,Precinct 32,29
,Straight Party,,Democratic,Putnam,Precinct 32,9
,Straight Party,,Mountain,Putnam,Precinct 32,0
Bill Maloney,Governor,,REP,Putnam,Precinct 32,124
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 32,52
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 32,0
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 32,0
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 32,1
,Write-in,,,Putnam,Precinct 32,1
,Registered Voters,,,Putnam,Precinct 33-1,613
,Ballots Cast,,,Putnam,Precinct 33-1,210
,Straight Party,,Republican,Putnam,Precinct 33-1,26
,Straight Party,,Democratic,Putnam,Precinct 33-1,11
,Straight Party,,Mountain,Putnam,Precinct 33-1,1
Bill Maloney,Governor,,REP,Putnam,Precinct 33-1,142
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 33-1,63
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 33-1,2
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 33-1,0
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 33-1,0
,Write-in,,,Putnam,Precinct 33-1,0
,Registered Voters,,,Putnam,Precinct 33-2,695
,Ballots Cast,,,Putnam,Precinct 33-2,265
,Straight Party,,Republican,Putnam,Precinct 33-2,16
,Straight Party,,Democratic,Putnam,Precinct 33-2,14
,Straight Party,,Mountain,Putnam,Precinct 33-2,1
Bill Maloney,Governor,,REP,Putnam,Precinct 33-2,181
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 33-2,76
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 33-2,3
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 33-2,2
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 33-2,0
,Write-in,,,Putnam,Precinct 33-2,1
,Registered Voters,,,Putnam,Precinct 34,544
,Ballots Cast,,,Putnam,Precinct 34,174
,Straight Party,,Republican,Putnam,Precinct 34,17
,Straight Party,,Democratic,Putnam,Precinct 34,24
,Straight Party,,Mountain,Putnam,Precinct 34,2
Bill Maloney,Governor,,REP,Putnam,Precinct 34,86
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 34,77
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 34,4
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 34,4
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 34,0
,Write-in,,,Putnam,Precinct 34,0
,Registered Voters,,,Putnam,Precinct 35,265
,Ballots Cast,,,Putnam,Precinct 35,80
,Straight Party,,Republican,Putnam,Precinct 35,11
,Straight Party,,Democratic,Putnam,Precinct 35,13
,Straight Party,,Mountain,Putnam,Precinct 35,0
Bill Maloney,Governor,,REP,Putnam,Precinct 35,45
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 35,31
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 35,2
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 35,0
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 35,0
,Write-in,,,Putnam,Precinct 35,2
,Registered Voters,,,Putnam,Precinct 36,360
,Ballots Cast,,,Putnam,Precinct 36,119
,Straight Party,,Republican,Putnam,Precinct 36,19
,Straight Party,,Democratic,Putnam,Precinct 36,12
,Straight Party,,Mountain,Putnam,Precinct 36,0
Bill Maloney,Governor,,REP,Putnam,Precinct 36,78
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 36,41
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 36,0
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 36,0
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 36,0
,Write-in,,,Putnam,Precinct 36,0
,Registered Voters,,,Putnam,Precinct 37,399
,Ballots Cast,,,Putnam,Precinct 37,107
,Straight Party,,Republican,Putnam,Precinct 37,9
,Straight Party,,Democratic,Putnam,Precinct 37,17
,Straight Party,,Mountain,Putnam,Precinct 37,0
Bill Maloney,Governor,,REP,Putnam,Precinct 37,49
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 37,57
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 37,1
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 37,0
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 37,0
,Write-in,,,Putnam,Precinct 37,0
,Registered Voters,,,Putnam,Precinct 38,597
,Ballots Cast,,,Putnam,Precinct 38,203
,Straight Party,,Republican,Putnam,Precinct 38,16
,Straight Party,,Democratic,Putnam,Precinct 38,19
,Straight Party,,Mountain,Putnam,Precinct 38,1
Bill Maloney,Governor,,REP,Putnam,Precinct 38,109
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 38,87
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 38,4
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 38,1
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 38,0
,Write-in,,,Putnam,Precinct 38,1
,Registered Voters,,,Putnam,Precinct 40,1093
,Ballots Cast,,,Putnam,Precinct 40,339
,Straight Party,,Republican,Putnam,Precinct 40,18
,Straight Party,,Democratic,Putnam,Precinct 40,29
,Straight Party,,Mountain,Putnam,Precinct 40,1
Bill Maloney,Governor,,REP,Putnam,Precinct 40,157
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 40,172
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 40,2
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 40,3
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 40,1
,Write-in,,,Putnam,Precinct 40,3
,Registered Voters,,,Putnam,Precinct 41,859
,Ballots Cast,,,Putnam,Precinct 41,299
,Straight Party,,Republican,Putnam,Precinct 41,22
,Straight Party,,Democratic,Putnam,Precinct 41,14
,Straight Party,,Mountain,Putnam,Precinct 41,0
Bill Maloney,Governor,,REP,Putnam,Precinct 41,187
Earl Ray Tomblin,Governor,,DEM,Putnam,Precinct 41,104
Bob Henry Baber,Governor,,MTN,Putnam,Precinct 41,5
Marla Dee Ingels,Governor,,IND,Putnam,Precinct 41,1
Harry V. Bertram,Governor,,ATP,Putnam,Precinct 41,0
