county,precinct,office,district,candidate,party,votes,,,,,,,,,,,,,
Wayne,Wayne18,Attorney General,,Darrell McGraw,DEM,207,,,,,,,,,,,,,
Wayne,Wayne19,Attorney General,,Darrell McGraw,DEM,270,,,,,,,,,,,,,
Wayne,Wayne20,Attorney General,,Darrell McGraw,DEM,233,,,,,,,,,,,,,
Wayne,Wayne21,Attorney General,,Darrell McGraw,DEM,152,,,,,,,,,,,,,
Wayne,Wayne22,Attorney General,,Darrell McGraw,DEM,166,,,,,,,,,,,,,
Wayne,Wayne30,Attorney General,,Darrell McGraw,DEM,167,,,,,,,,,,,,,
Wayne,Wayne31,Attorney General,,Darrell McGraw,DEM,170,,,,,,,,,,,,,
Wayne,Wayne34,Attorney General,,Darrell McGraw,DEM,224,,,,,,,,,,,,,
Wayne,Wayne36,Attorney General,,Darrell McGraw,DEM,213,,,,,,,,,,,,,
Wayne,Wayne37,Attorney General,,Darrell McGraw,DEM,208,,,,,,,,,,,,,
Wayne,Wayne41,Attorney General,,Darrell McGraw,DEM,184,,,,,,,,,,,,,
Wayne,Wayne42,Attorney General,,Darrell McGraw,DEM,157,,,,,,,,,,,,,
Wayne,Wayne45,Attorney General,,Darrell McGraw,DEM,207,,,,,,,,,,,,,
Wayne,Wayne48,Attorney General,,Darrell McGraw,DEM,301,,,,,,,,,,,,,
Wayne,Wayne49,Attorney General,,Darrell McGraw,DEM,335,,,,,,,,,,,,,
Wayne,Wayne50,Attorney General,,Darrell McGraw,DEM,271,,,,,,,,,,,,,
Wayne,Wayne51,Attorney General,,Darrell McGraw,DEM,283,,,,,,,,,,,,,
Wayne,Wayne52,Attorney General,,Darrell McGraw,DEM,145,,,,,,,,,,,,,
Wayne,Wayne53,Attorney General,,Darrell McGraw,DEM,267,,,,,,,,,,,,,
Wayne,Wayne54,Attorney General,,Darrell McGraw,DEM,237,,,,,,,,,,,,,
Wayne,Wayne56,Attorney General,,Darrell McGraw,DEM,296,,,,,,,,,,,,,
Wayne,Wayne57,Attorney General,,Darrell McGraw,DEM,185,,,,,,,,,,,,,
Wayne,Wayne59 Hunt,Attorney General,,Darrell McGraw,DEM,200,,,,,,,,,,,,,
Wayne,Wayne60 Hunt,Attorney General,,Darrell McGraw,DEM,206,,,,,,,,,,,,,
Wayne,Wayne61 Hunt,Attorney General,,Darrell McGraw,DEM,188,,,,,,,,,,,,,
Wayne,Wayne62,Attorney General,,Darrell McGraw,DEM,270,,,,,,,,,,,,,
Wayne,Wayne63 Hunt,Attorney General,,Darrell McGraw,DEM,167,,,,,,,,,,,,,
Wayne,,Attorney General,,Darrell McGraw,DEM,7985,,,,,,,,,,,,,
Wayne,Wayne01,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne03,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne05,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne06,Attorney General,,Write-ins,,1,,,,,,,,,,,,,
Wayne,Wayne11,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne12,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne13,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne14,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne16,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne17,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne18,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne19,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne20,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne21,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne22,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne30,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne31,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne34,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne36,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne37,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne41,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne42,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne45,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne48,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne49,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne50,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne51,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne52,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne53,Attorney General,,Write-ins,,1,,,,,,,,,,,,,
Wayne,Wayne54,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne56,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne57,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne59 Hunt,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne60 Hunt,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne61 Hunt,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne62,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne63 Hunt,Attorney General,,Write-ins,,0,,,,,,,,,,,,,
Wayne,,Attorney General,,Write-ins,,2,,,,,,,,,,,,,
Wayne,Wayne01,Commissioner of Agriculture,,Gus Douglass,DEM,318,,,,,,,,,,,,,
Wayne,Wayne03,Commissioner of Agriculture,,Gus Douglass,DEM,186,,,,,,,,,,,,,
Wayne,Wayne05,Commissioner of Agriculture,,Gus Douglass,DEM,271,,,,,,,,,,,,,
Wayne,Wayne06,Commissioner of Agriculture,,Gus Douglass,DEM,131,,,,,,,,,,,,,
Wayne,Wayne11,Commissioner of Agriculture,,Gus Douglass,DEM,152,,,,,,,,,,,,,
Wayne,Wayne12,Commissioner of Agriculture,,Gus Douglass,DEM,171,,,,,,,,,,,,,
Wayne,Wayne13,Commissioner of Agriculture,,Gus Douglass,DEM,236,,,,,,,,,,,,,
Wayne,Wayne14,Commissioner of Agriculture,,Gus Douglass,DEM,328,,,,,,,,,,,,,
Wayne,Wayne16,Commissioner of Agriculture,,Gus Douglass,DEM,144,,,,,,,,,,,,,
Wayne,Wayne17,Commissioner of Agriculture,,Gus Douglass,DEM,189,,,,,,,,,,,,,
Wayne,Wayne18,Commissioner of Agriculture,,Gus Douglass,DEM,213,,,,,,,,,,,,,
Wayne,Wayne19,Commissioner of Agriculture,,Gus Douglass,DEM,277,,,,,,,,,,,,,
Wayne,Wayne20,Commissioner of Agriculture,,Gus Douglass,DEM,233,,,,,,,,,,,,,
Wayne,Wayne21,Commissioner of Agriculture,,Gus Douglass,DEM,157,,,,,,,,,,,,,
Wayne,Wayne22,Commissioner of Agriculture,,Gus Douglass,DEM,161,,,,,,,,,,,,,
Wayne,Wayne30,Commissioner of Agriculture,,Gus Douglass,DEM,155,,,,,,,,,,,,,
Wayne,Wayne31,Commissioner of Agriculture,,Gus Douglass,DEM,163,,,,,,,,,,,,,
Wayne,Wayne34,Commissioner of Agriculture,,Gus Douglass,DEM,219,,,,,,,,,,,,,
Wayne,Wayne36,Commissioner of Agriculture,,Gus Douglass,DEM,212,,,,,,,,,,,,,
Wayne,Wayne37,Commissioner of Agriculture,,Gus Douglass,DEM,184,,,,,,,,,,,,,
Wayne,Wayne41,Commissioner of Agriculture,,Gus Douglass,DEM,176,,,,,,,,,,,,,
Wayne,Wayne42,Commissioner of Agriculture,,Gus Douglass,DEM,156,,,,,,,,,,,,,
Wayne,Wayne45,Commissioner of Agriculture,,Gus Douglass,DEM,207,,,,,,,,,,,,,
Wayne,Wayne48,Commissioner of Agriculture,,Gus Douglass,DEM,274,,,,,,,,,,,,,
Wayne,Wayne49,Commissioner of Agriculture,,Gus Douglass,DEM,326,,,,,,,,,,,,,
Wayne,Wayne50,Commissioner of Agriculture,,Gus Douglass,DEM,282,,,,,,,,,,,,,
Wayne,Wayne51,Commissioner of Agriculture,,Gus Douglass,DEM,283,,,,,,,,,,,,,
Wayne,Wayne52,Commissioner of Agriculture,,Gus Douglass,DEM,162,,,,,,,,,,,,,
Wayne,Wayne53,Commissioner of Agriculture,,Gus Douglass,DEM,241,,,,,,,,,,,,,
Wayne,Wayne54,Commissioner of Agriculture,,Gus Douglass,DEM,240,,,,,,,,,,,,,
Wayne,Wayne56,Commissioner of Agriculture,,Gus Douglass,DEM,319,,,,,,,,,,,,,
Wayne,Wayne57,Commissioner of Agriculture,,Gus Douglass,DEM,191,,,,,,,,,,,,,
Wayne,Wayne59 Hunt,Commissioner of Agriculture,,Gus Douglass,DEM,208,,,,,,,,,,,,,
Wayne,Wayne60 Hunt,Commissioner of Agriculture,,Gus Douglass,DEM,208,,,,,,,,,,,,,
Wayne,Wayne61 Hunt,Commissioner of Agriculture,,Gus Douglass,DEM,185,,,,,,,,,,,,,
Wayne,Wayne62,Commissioner of Agriculture,,Gus Douglass,DEM,291,,,,,,,,,,,,,
Wayne,Wayne63 Hunt,Commissioner of Agriculture,,Gus Douglass,DEM,154,,,,,,,,,,,,,
Wayne,,Commissioner of Agriculture,,Gus Douglass,DEM,8003,,,,,,,,,,,,,
Wayne,Wayne01,Commissioner of Agriculture,,Michael Teets,REP,164,,,,,,,,,,,,,
Wayne,Wayne03,Commissioner of Agriculture,,Michael Teets,REP,132,,,,,,,,,,,,,
Wayne,Wayne05,Commissioner of Agriculture,,Michael Teets,REP,146,,,,,,,,,,,,,
Wayne,Wayne06,Commissioner of Agriculture,,Michael Teets,REP,73,,,,,,,,,,,,,
Wayne,Wayne11,Commissioner of Agriculture,,Michael Teets,REP,98,,,,,,,,,,,,,
Wayne,Wayne12,Commissioner of Agriculture,,Michael Teets,REP,123,,,,,,,,,,,,,
Wayne,Wayne13,Commissioner of Agriculture,,Michael Teets,REP,186,,,,,,,,,,,,,
Wayne,Wayne14,Commissioner of Agriculture,,Michael Teets,REP,300,,,,,,,,,,,,,
Wayne,Wayne16,Commissioner of Agriculture,,Michael Teets,REP,113,,,,,,,,,,,,,
Wayne,Wayne17,Commissioner of Agriculture,,Michael Teets,REP,174,,,,,,,,,,,,,
Wayne,Wayne18,Commissioner of Agriculture,,Michael Teets,REP,154,,,,,,,,,,,,,
Wayne,Wayne19,Commissioner of Agriculture,,Michael Teets,REP,260,,,,,,,,,,,,,
Wayne,Wayne20,Commissioner of Agriculture,,Michael Teets,REP,143,,,,,,,,,,,,,
Wayne,Wayne21,Commissioner of Agriculture,,Michael Teets,REP,131,,,,,,,,,,,,,
Wayne,Wayne22,Commissioner of Agriculture,,Michael Teets,REP,161,,,,,,,,,,,,,
Wayne,Wayne30,Commissioner of Agriculture,,Michael Teets,REP,104,,,,,,,,,,,,,
Wayne,Wayne31,Commissioner of Agriculture,,Michael Teets,REP,98,,,,,,,,,,,,,
Wayne,Wayne34,Commissioner of Agriculture,,Michael Teets,REP,88,,,,,,,,,,,,,
Wayne,Wayne36,Commissioner of Agriculture,,Michael Teets,REP,128,,,,,,,,,,,,,
Wayne,Wayne37,Commissioner of Agriculture,,Michael Teets,REP,141,,,,,,,,,,,,,
Wayne,Wayne41,Commissioner of Agriculture,,Michael Teets,REP,57,,,,,,,,,,,,,
Wayne,Wayne42,Commissioner of Agriculture,,Michael Teets,REP,42,,,,,,,,,,,,,
Wayne,Wayne45,Commissioner of Agriculture,,Michael Teets,REP,72,,,,,,,,,,,,,
Wayne,Wayne48,Commissioner of Agriculture,,Michael Teets,REP,243,,,,,,,,,,,,,
Wayne,Wayne49,Commissioner of Agriculture,,Michael Teets,REP,298,,,,,,,,,,,,,
Wayne,Wayne50,Commissioner of Agriculture,,Michael Teets,REP,162,,,,,,,,,,,,,
Wayne,Wayne51,Commissioner of Agriculture,,Michael Teets,REP,156,,,,,,,,,,,,,
Wayne,Wayne52,Commissioner of Agriculture,,Michael Teets,REP,58,,,,,,,,,,,,,
Wayne,Wayne53,Commissioner of Agriculture,,Michael Teets,REP,194,,,,,,,,,,,,,
Wayne,Wayne54,Commissioner of Agriculture,,Michael Teets,REP,119,,,,,,,,,,,,,
Wayne,Wayne56,Commissioner of Agriculture,,Michael Teets,REP,305,,,,,,,,,,,,,
Wayne,Wayne57,Commissioner of Agriculture,,Michael Teets,REP,165,,,,,,,,,,,,,
Wayne,Wayne59 Hunt,Commissioner of Agriculture,,Michael Teets,REP,168,,,,,,,,,,,,,
Wayne,Wayne60 Hunt,Commissioner of Agriculture,,Michael Teets,REP,188,,,,,,,,,,,,,
Wayne,Wayne61 Hunt,Commissioner of Agriculture,,Michael Teets,REP,163,,,,,,,,,,,,,
Wayne,Wayne62,Commissioner of Agriculture,,Michael Teets,REP,271,,,,,,,,,,,,,
Wayne,Wayne63 Hunt,Commissioner of Agriculture,,Michael Teets,REP,146,,,,,,,,,,,,,
Wayne,,Commissioner of Agriculture,,Michael Teets,REP,5724,,,,,,,,,,,,,
Wayne,Wayne01,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne03,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne05,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne06,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne11,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne12,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne13,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne14,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne16,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne17,Commissioner of Agriculture,,Write-ins,,2,,,,,,,,,,,,,
Wayne,Wayne18,Commissioner of Agriculture,,Write-ins,,1,,,,,,,,,,,,,
Wayne,Wayne19,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne20,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne21,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne22,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne30,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne31,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne34,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne36,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne37,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne41,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne42,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne45,Commissioner of Agriculture,,Write-ins,,1,,,,,,,,,,,,,
Wayne,Wayne48,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne49,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne50,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne51,Commissioner of Agriculture,,Write-ins,,1,,,,,,,,,,,,,
Wayne,Wayne52,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne53,Commissioner of Agriculture,,Write-ins,,1,,,,,,,,,,,,,
Wayne,Wayne54,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne56,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne57,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne59 Hunt,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne60 Hunt,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne61 Hunt,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne62,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,Wayne63 Hunt,Commissioner of Agriculture,,Write-ins,,0,,,,,,,,,,,,,
Wayne,,Commissioner of Agriculture,,Write-ins,,6,,,,,,,,,,,,,
Wayne,Wayne01,Governor,,Jesse Johnson,MTN,13,,,,,,,,,,,,,
Wayne,Wayne03,Governor,,Jesse Johnson,MTN,10,,,,,,,,,,,,,
Wayne,Wayne05,Governor,,Jesse Johnson,MTN,9,,,,,,,,,,,,,
Wayne,Wayne06,Governor,,Jesse Johnson,MTN,5,,,,,,,,,,,,,
Wayne,Wayne11,Governor,,Jesse Johnson,MTN,7,,,,,,,,,,,,,
Wayne,Wayne12,Governor,,Jesse Johnson,MTN,4,,,,,,,,,,,,,
Wayne,Wayne13,Governor,,Jesse Johnson,MTN,6,,,,,,,,,,,,,
Wayne,Wayne14,Governor,,Jesse Johnson,MTN,20,,,,,,,,,,,,,
Wayne,Wayne16,Governor,,Jesse Johnson,MTN,8,,,,,,,,,,,,,
Wayne,Wayne17,Governor,,Jesse Johnson,MTN,12,,,,,,,,,,,,,
Wayne,Wayne18,Governor,,Jesse Johnson,MTN,14,,,,,,,,,,,,,
Wayne,Wayne19,Governor,,Jesse Johnson,MTN,15,,,,,,,,,,,,,
Wayne,Wayne20,Governor,,Jesse Johnson,MTN,11,,,,,,,,,,,,,
Wayne,Wayne21,Governor,,Jesse Johnson,MTN,3,,,,,,,,,,,,,
Wayne,Wayne22,Governor,,Jesse Johnson,MTN,12,,,,,,,,,,,,,
Wayne,Wayne30,Governor,,Jesse Johnson,MTN,3,,,,,,,,,,,,,
Wayne,Wayne31,Governor,,Jesse Johnson,MTN,8,,,,,,,,,,,,,
Wayne,Wayne34,Governor,,Jesse Johnson,MTN,13,,,,,,,,,,,,,
Wayne,Wayne36,Governor,,Jesse Johnson,MTN,9,,,,,,,,,,,,,
Wayne,Wayne37,Governor,,Jesse Johnson,MTN,5,,,,,,,,,,,,,
Wayne,Wayne41,Governor,,Jesse Johnson,MTN,5,,,,,,,,,,,,,
Wayne,Wayne42,Governor,,Jesse Johnson,MTN,9,,,,,,,,,,,,,
Wayne,Wayne45,Governor,,Jesse Johnson,MTN,3,,,,,,,,,,,,,
Wayne,Wayne48,Governor,,Jesse Johnson,MTN,13,,,,,,,,,,,,,
Wayne,Wayne49,Governor,,Jesse Johnson,MTN,24,,,,,,,,,,,,,
Wayne,Wayne50,Governor,,Jesse Johnson,MTN,11,,,,,,,,,,,,,
Wayne,Wayne51,Governor,,Jesse Johnson,MTN,19,,,,,,,,,,,,,
Wayne,Wayne52,Governor,,Jesse Johnson,MTN,9,,,,,,,,,,,,,
Wayne,Wayne53,Governor,,Jesse Johnson,MTN,10,,,,,,,,,,,,,
Wayne,Wayne54,Governor,,Jesse Johnson,MTN,10,,,,,,,,,,,,,
Wayne,Wayne56,Governor,,Jesse Johnson,MTN,8,,,,,,,,,,,,,
Wayne,Wayne57,Governor,,Jesse Johnson,MTN,10,,,,,,,,,,,,,
Wayne,Wayne59 Hunt,Governor,,Jesse Johnson,MTN,11,,,,,,,,,,,,,
Wayne,Wayne60 Hunt,Governor,,Jesse Johnson,MTN,7,,,,,,,,,,,,,
Wayne,Wayne61 Hunt,Governor,,Jesse Johnson,MTN,16,,,,,,,,,,,,,
Wayne,Wayne62,Governor,,Jesse Johnson,MTN,13,,,,,,,,,,,,,
Wayne,Wayne63 Hunt,Governor,,Jesse Johnson,MTN,9,,,,,,,,,,,,,
Wayne,,Governor,,Jesse Johnson,MTN,374,,,,,,,,,,,,,
Wayne,Wayne01,Governor,,Joe Manchin,DEM,436,,,,,,,,,,,,,
Wayne,Wayne03,Governor,,Joe Manchin,DEM,254,,,,,,,,,,,,,
Wayne,Wayne05,Governor,,Joe Manchin,DEM,357,,,,,,,,,,,,,
Wayne,Wayne06,Governor,,Joe Manchin,DEM,180,,,,,,,,,,,,,
Wayne,Wayne11,Governor,,Joe Manchin,DEM,228,,,,,,,,,,,,,
Wayne,Wayne12,Governor,,Joe Manchin,DEM,259,,,,,,,,,,,,,
Wayne,Wayne13,Governor,,Joe Manchin,DEM,354,,,,,,,,,,,,,
Wayne,Wayne14,Governor,,Joe Manchin,DEM,555,,,,,,,,,,,,,
Wayne,Wayne16,Governor,,Joe Manchin,DEM,220,,,,,,,,,,,,,
Wayne,Wayne17,Governor,,Joe Manchin,DEM,299,,,,,,,,,,,,,
Wayne,Wayne18,Governor,,Joe Manchin,DEM,303,,,,,,,,,,,,,
Wayne,Wayne19,Governor,,Joe Manchin,DEM,434,,,,,,,,,,,,,
Wayne,Wayne20,Governor,,Joe Manchin,DEM,348,,,,,,,,,,,,,
Wayne,Wayne21,Governor,,Joe Manchin,DEM,252,,,,,,,,,,,,,
Wayne,Wayne22,Governor,,Joe Manchin,DEM,275,,,,,,,,,,,,,
Wayne,Wayne30,Governor,,Joe Manchin,DEM,213,,,,,,,,,,,,,
Wayne,Wayne31,Governor,,Joe Manchin,DEM,215,,,,,,,,,,,,,
Wayne,Wayne34,Governor,,Joe Manchin,DEM,248,,,,,,,,,,,,,
Wayne,Wayne36,Governor,,Joe Manchin,DEM,278,,,,,,,,,,,,,
Wayne,Wayne37,Governor,,Joe Manchin,DEM,261,,,,,,,,,,,,,
Wayne,Wayne41,Governor,,Joe Manchin,DEM,202,,,,,,,,,,,,,
Wayne,Wayne42,Governor,,Joe Manchin,DEM,170,,,,,,,,,,,,,
Wayne,Wayne45,Governor,,Joe Manchin,DEM,247,,,,,,,,,,,,,
Wayne,Wayne48,Governor,,Joe Manchin,DEM,444,,,,,,,,,,,,,
Wayne,Wayne49,Governor,,Joe Manchin,DEM,529,,,,,,,,,,,,,
Wayne,Wayne50,Governor,,Joe Manchin,DEM,387,,,,,,,,,,,,,
Wayne,Wayne51,Governor,,Joe Manchin,DEM,392,,,,,,,,,,,,,
Wayne,Wayne52,Governor,,Joe Manchin,DEM,180,,,,,,,,,,,,,
Wayne,Wayne53,Governor,,Joe Manchin,DEM,366,,,,,,,,,,,,,
Wayne,Wayne54,Governor,,Joe Manchin,DEM,323,,,,,,,,,,,,,
Wayne,Wayne56,Governor,,Joe Manchin,DEM,529,,,,,,,,,,,,,
Wayne,Wayne57,Governor,,Joe Manchin,DEM,320,,,,,,,,,,,,,
Wayne,Wayne59 Hunt,Governor,,Joe Manchin,DEM,343,,,,,,,,,,,,,
Wayne,Wayne60 Hunt,Governor,,Joe Manchin,DEM,362,,,,,,,,,,,,,
Wayne,Wayne61 Hunt,Governor,,Joe Manchin,DEM,301,,,,,,,,,,,,,
Wayne,Wayne62,Governor,,Joe Manchin,DEM,474,,,,,,,,,,,,,
Wayne,Wayne63 Hunt,Governor,,Joe Manchin,DEM,255,,,,,,,,,,,,,
Wayne,,Governor,,Joe Manchin,DEM,11793,,,,,,,,,,,,,
Wayne,Wayne01,Governor,,Russ Weeks,REP,101,,,,,,,,,,,,,
Wayne,Wayne03,Governor,,Russ Weeks,REP,87,,,,,,,,,,,,,
