office,district,candidate,party
HOUSE OF DELEGATES,28,ROY G COOPER,
HOUSE OF DELEGATES,28,JEFFREY PACK,
HOUSE OF DELEGATES,28,ANDREW EVANS,
HOUSE OF DELEGATES,28,SANDY SHAW,
HOUSE OF DELEGATES,27,JOE C ELLINGTON JR,
HOUSE OF DELEGATES,27,JOHN H SHOTT,
HOUSE OF DELEGATES,27,ERIC FORTERFIELD,
HOUSE OF DELEGATES,27,CAROL B BAILEY,
HOUSE OF DELEGATES,27,LACY WATSON,
HOUSE OF DELEGATES,27,PHOEBE JEFFRIES MEADOWS,
HOUSE OF DELEGATES,27,KAREN DENISE WHITE,
HOUSE OF DELEGATES,32,KAYLA KESSINGER,
HOUSE OF DELEGATES,32,AUSTIN HAYNES,
HOUSE OF DELEGATES,32,TOM FAST,
HOUSE OF DELEGATES,32,LUKE LIVELY,
HOUSE OF DELEGATES,32,MARGARET ANNE STAGGERS,
HOUSE OF DELEGATES,32,MELVIN MEL KESSLER,
HOUSE OF DELEGATES,32,DAVID ELLIOTT PRITT,
HOUSE OF DELEGATES,22nd District,ZACK MAYNARD,
HOUSE OF DELEGATES,22nd District,JOSEPH JOE JEFFRIES,
HOUSE OF DELEGATES,22nd District,BILL BRYANT,
HOUSE OF DELEGATES,22nd District,GARY MCCALLISTER,
HOUSE OF DELEGATES,22nd District,JEFF E ELDRIDGE,
HOUSE OF DELEGATES,16th District,VERA MILLER,
HOUSE OF DELEGATES,16th District,DANIEL LINVILLE,
HOUSE OF DELEGATES,16th District,JOHN F MANDT JR,
HOUSE OF DELEGATES,16th District,SEAN HORNBUCKLE,
HOUSE OF DELEGATES,16th District,DAKOTA NELSON,
HOUSE OF DELEGATES,16th District,MATT SPURLOCK,
HOUSE OF DELEGATES,34th District,LOGAN M THOMPSON,
HOUSE OF DELEGATES,34th District,BRENT BOGGS,
HOUSE OF DELEGATES,52,TERRI FUNK SYPOLT,
HOUSE OF DELEGATES,52,GARY KNOTTS,
HOUSE OF DELEGATES,53,D R BUCK JENNINGS,
HOUSE OF DELEGATES,53,CORY CHASE,
HOUSE OF DELEGATES,53,AUSTIN ZUCHOWSKI,
HOUSE OF DELEGATES,6th District,DAVID L KELLY,
HOUSE OF DELEGATES,6th District,T CHRIS COMBS,
HOUSE OF DELEGATES,6th District,J SCOTT BEAVER,
HOUSE OF DELEGATES,7th District,JASON S HARSHBARGER,
HOUSE OF DELEGATES,7th District,LISSA LUCAS,
HOUSE OF DELEGATES,17,JOYCE W HOLLAND,
HOUSE OF DELEGATES,17,MATTHEW ROHRBACH,
HOUSE OF DELEGATES,17,JEANETTE M ROWSEY,
HOUSE OF DELEGATES,17,CHAD LOVEJOY,
HOUSE OF DELEGATES,19,MARK ROSS,
HOUSE OF DELEGATES,19,ROBERT THOMPSON,
HOUSE OF DELEGATES,19,KEN HICKS,
HOUSE OF DELEGATES,9th District,RAY HOLLEN,
HOUSE OF DELEGATES,9th District,JIM MARION,
HOUSE OF DELEGATES,27,WRITE IN,
HOUSE OF DELEGATES,26,DAVID COX,REP
HOUSE OF DELEGATES,26,ED EVANS,DEM
HOUSE OF DELEGATES,25,TONY PAYNTER,REP
HOUSE OF DELEGATES,25,ANDY VANCE,DEM
HOUSE OF DELEGATES,44,CALEB HANNA,REP
HOUSE OF DELEGATES,44,DANA L LYNCH,DEM
HOUSE OF DELEGATES,44,BARBARA DANIELS,MTN
HOUSE OF DELEGATES,45,CARL ROBBIE MARTIN,REP
HOUSE OF DELEGATES,45,MATTHEW KERNER,DEM
HOUSE OF DELEGATES,46,PATRICK S MARTIN,REP
HOUSE OF DELEGATES,46,ROBERT L BOB STULTZ,DEM
HOUSE OF DELEGATES,54th District,JOHN PAUL HOTT II,
HOUSE OF DELEGATES,56th District,GARY G HOWELL,
HOUSE OF DELEGATES,56th District,TIMOTHY RYAN,
HOUSE OF DELEGATES,57th District,RUTH ROWAN,
HOUSE OF DELEGATES,2,BECKY UHLLY,REP
HOUSE OF DELEGATES,2,PHILLIP W DISERIO,DEM
HOUSE OF DELEGATES,2,TREVOR BARNHART,IND
HOUSE OF DELEGATES,3,DALTON HAAS,REP
HOUSE OF DELEGATES,3,ERIKKA STORCH,REP
HOUSE OF DELEGATES,3,BEN SCHNEIDER,DEM
HOUSE OF DELEGATES,3,SHAWN FLUHARTY,DEM
HOUSE OF DELEGATES,4,CHARLIE REYNOLDS,REP
HOUSE OF DELEGATES,4,LISA ZUKOFF,DEM
HOUSE OF DELEGATES,4,JOE CANESTRARO,DEM
HOUSE OF DELEGATES,43rd District,WILLIAM TY NESTOR,
HOUSE OF DELEGATES,43rd District,MIKE HOUSE,
HOUSE OF DELEGATES,43rd District,BILL HARTMAN,
HOUSE OF DELEGATES,43rd District,CODY H THOMPSON,
HOUSE OF DELEGATES,8th District,BILL ANDERSON,
HOUSE OF DELEGATES,8th District,DAVID BLAND,
HOUSE OF DELEGATES,10th District,TOM AZINGER,
HOUSE OF DELEGATES,10th District,JOHN R KELLY,
HOUSE OF DELEGATES,10th District,VERNON CRISS,
HOUSE OF DELEGATES,10th District,HARRY DEITZLER,
HOUSE OF DELEGATES,10th District,ANDY DANIEL,
HOUSE OF DELEGATES,10th District,J MORGAN LEACH,
HOUSE OF DELEGATES,48,TERRY WAXMAN,
HOUSE OF DELEGATES,48,DANNY HAMRICK,
HOUSE OF DELEGATES,48,BEN QUEEN,
HOUSE OF DELEGATES,48,DEBRA S SHRIEVES,
HOUSE OF DELEGATES,48,TIM MILEY,
HOUSE OF DELEGATES,48,DEREK MCINTYRE,
HOUSE OF DELEGATES,48,ROBERT ROB GARCIA,
HOUSE OF DELEGATES,48,RICHARD J IAQUINTA,
HOUSE OF DELEGATES,48,WILL HYMAN,
HOUSE OF DELEGATES,48,CLAY RILEY,
HOUSE OF DELEGATES,49,AMY SUMMERS,
HOUSE OF DELEGATES,49,GEORGE ALLEN ABEL,
HOUSE OF DELEGATES,13,SCOTT CADLE,REP
HOUSE OF DELEGATES,13,JOSHUA KURT HIGGINBOTHAM,REP
HOUSE OF DELEGATES,13,SCOTT BREWER,DEM
HOUSE OF DELEGATES,13,TODD MULLINS,IND
HOUSE OF DELEGATES,14,JIM BUTLER,REP
HOUSE OF DELEGATES,14,BRIANNE SOLOMON,DEM
HOUSE OF DELEGATES,15,GEOFF FOSTER,REP
HOUSE OF DELEGATES,15,CASEY WADE HORTON,DEM
HOUSE OF DELEGATES,15,THERESA TESS JACKSON,NPA
HOUSE OF DELEGATES,38,DIANNA GRAVES,REP
HOUSE OF DELEGATES,38,TOM TULL,DEM
HOUSE OF DELEGATES,20,NATHAN BROWN,
HOUSE OF DELEGATES,24,AARON STONE,
HOUSE OF DELEGATES,24,JORDAN BRIDGES,
HOUSE OF DELEGATES,24,TIM TOMBLIN,
HOUSE OF DELEGATES,24,RALPH RODIGHIERO,
HOUSE OF DELEGATES,21st District,MARK DEAN,
HOUSE OF DELEGATES,21st District,PHYLLIS RIFFE WHITE,
HOUSE OF DELEGATES,42nd District,DENNY R CANTERBURY,
HOUSE OF DELEGATES,42nd District,STEVE MALCOMB,
HOUSE OF DELEGATES,42nd District,CINDY LAVENDER BOWE,
HOUSE OF DELEGATES,42nd District,JEFF CAMPBELL,
HOUSE OF DELEGATES,23,RODNEY A MILLER,
HOUSE OF DELEGATES,59,LARRY D KUMP,REP
HOUSE OF DELEGATES,59,JOHN ISNER,DEM
HOUSE OF DELEGATES,60,S MARSHALL WILSON,REP
HOUSE OF DELEGATES,61,JASON BARRETT,DEM
HOUSE OF DELEGATES,62,TOM BIBBY,REP
HOUSE OF DELEGATES,62,CYNTHIA TOODLE,DEM
HOUSE OF DELEGATES,63,JOHN HARDY,REP
HOUSE OF DELEGATES,63,SAM BROWN,DEM
HOUSE OF DELEGATES,63,BRETT DAVID ROGERS,LIB
HOUSE OF DELEGATES,64,ERIC LEE HOUSEHOLDER,REP
HOUSE OF DELEGATES,64,BARBY FRANKENBERRY,DEM
HOUSE OF DELEGATES,33rd District,ROGER HANSHAW,
HOUSE OF DELEGATES,33rd District,DAVID A WALKER,
HOUSE OF DELEGATES,5,PHILLIP WILEY,REP
HOUSE OF DELEGATES,5,DAVE PETHTEL,DEM
HOUSE OF DELEGATES,51,JOE STATLER,REP
HOUSE OF DELEGATES,51,AARON METZ,REP
HOUSE OF DELEGATES,51,ROGER SHUTTLESWORTH,REP
HOUSE OF DELEGATES,51,CINDY FRICH,REP
HOUSE OF DELEGATES,51,DEBBIE WARNER,REP
HOUSE OF DELEGATES,51,EVAN HANSEN,DEM
HOUSE OF DELEGATES,51,JOHN WILLIAMS,DEM
HOUSE OF DELEGATES,51,RODNEY A PYLES,DEM
HOUSE OF DELEGATES,51,BARBARA EVANS FLEISCHAUER,DEM
HOUSE OF DELEGATES,51,DANIELLE WALKER,DEM
HOUSE OF DELEGATES,51,BUDDY A GUTHRIE,LIB
HOUSE OF DELEGATES,51,HARRY V BERTRAM,AFU
HOUSE OF DELEGATES,11,MARTIN RICK ATKINSON III,
HOUSE OF DELEGATES,11,SARAH DUNCAN,
HOUSE OF DELEGATES,12,STEVE WESTFALL,
HOUSE OF DELEGATES,12,MISSY MORRIS,
HOUSE OF DELEGATES,58,DARYL E COWLES,REP
HOUSE OF DELEGATES,58,BIBI HAHN,DEM
HOUSE OF DELEGATES,58,KENT BROOKS MCCUMBEE,IND
HOUSE OF DELEGATES,1st District,PAT MCGEEHAN,
HOUSE OF DELEGATES,1st District,MARK ZATEZALO,
HOUSE OF DELEGATES,1st District,RANDY SWARTZMILLER,
HOUSE OF DELEGATES,1st District,DIANA MAGNONE,
HOUSE OF DELEGATES,55,JON HOF,REP
HOUSE OF DELEGATES,55,ISAAC SPONAUGLE,DEM
HOUSE OF DELEGATES,41st District,JORDAN HILL,
HOUSE OF DELEGATES,41st District,PAUL O DELL JR,
HOUSE OF DELEGATES,65th District,JILL UPSON,
HOUSE OF DELEGATES,66th District,PAUL ESPINOSA,
HOUSE OF DELEGATES,66th District,DAVID M DINGES,
HOUSE OF DELEGATES,67th District,RILEY MOORE,
HOUSE OF DELEGATES,67th District,JOHN DOYLE,
HOUSE OF DELEGATES,50th District,GUY WARD,
HOUSE OF DELEGATES,50th District,PHIL MALLOW,
HOUSE OF DELEGATES,50th District,MIKE CAPUTO,
HOUSE OF DELEGATES,50th District,MICHAEL ANGELUCCI,
HOUSE OF DELEGATES,50th District,LINDA LONGSTRETH,
HOUSE OF DELEGATES,50th District,JON DODDS,
HOUSE OF DELEGATES,47,CHRIS PHILLIPS,
HOUSE OF DELEGATES,47,ED LARRY,
HOUSE OF DELEGATES,35,ERIC NELSON,REP
HOUSE OF DELEGATES,35,MOORE CAPITO,REP
HOUSE OF DELEGATES,35,CHARLOTTE R LANE,REP
HOUSE OF DELEGATES,35,EDWARD R BURGESS,REP
HOUSE OF DELEGATES,35,RENATE PORE,DEM
HOUSE OF DELEGATES,35,DOUG SKAFF JR,DEM
HOUSE OF DELEGATES,35,ANDREW D BYRD,DEM
HOUSE OF DELEGATES,35,JAMES P ROBINETTE,DEM
HOUSE OF DELEGATES,37,RICHARD L PATRICK,REP
HOUSE OF DELEGATES,37,MIKE PUSHKIN,DEM
HOUSE OF DELEGATES,39,SHARON LEWIS MALCOLM,REP
HOUSE OF DELEGATES,39,DAVID WOODY HOLMES,DEM
HOUSE OF DELEGATES,39,JESSE JOHNSON,MTN
HOUSE OF DELEGATES,39,DANA J FERRELL,IND
HOUSE OF DELEGATES,40,DEAN JEFFRIES,REP
HOUSE OF DELEGATES,40,MELISSA RIGGS HUFFMAN,DEM
HOUSE OF DELEGATES,36,ETHAN MORRIS,REP
HOUSE OF DELEGATES,36,CHRIS PRITT,REP
HOUSE OF DELEGATES,36,MATTHEW JARRETT,REP
HOUSE OF DELEGATES,36,ANDREW ROBINSON,DEM
HOUSE OF DELEGATES,36,LARRY L ROWE,DEM
HOUSE OF DELEGATES,36,AMANDA ESTEP BURTON,DEM
HOUSE OF DELEGATES,18th District,EVAN WORRELL,
HOUSE OF DELEGATES,18th District,KAREN NANCE,
STATE HOUSE,58,DARYL E COWLES,REP
STATE HOUSE,58,BIBI HAHN,DEM
STATE HOUSE,58,KENT BROOKS MCCUMBEE,IND
STATE HOUSE,59,LARRY D KUMP,REP
STATE HOUSE,59,JOHN ISNER,DEM
STATE HOUSE,33,ROGER HANSHAW,REP
STATE HOUSE,33,DAVID WALKER,DEM
JUSTICE OF THE SUPREME COURT OF APPEALS,Division 1,TIM ARMSTEAD,NON
JUSTICE OF THE SUPREME COURT OF APPEALS,Division 1,JOANNA I TABIT,NON
JUSTICE OF THE SUPREME COURT OF APPEALS,Division 1,CHRIS WILKES,NON
JUSTICE OF THE SUPREME COURT OF APPEALS,Division 1,MARK HUNT,NON
JUSTICE OF THE SUPREME COURT OF APPEALS,Division 1,RONALD H HATFIELD JR,NON
JUSTICE OF THE SUPREME COURT OF APPEALS,Division 1,JEFF C WOODS,NON
JUSTICE OF THE SUPREME COURT OF APPEALS,Division 1,HIRAM BUCK LEWIS IV,NON
JUSTICE OF THE SUPREME COURT OF APPEALS,Division 1,HARRY C BO BRUNER JR,NON
JUSTICE OF THE SUPREME COURT OF APPEALS,Division 1,ROBERT H CARLTON,NON
JUSTICE OF THE SUPREME COURT OF APPEALS,Division 1,DC OFFUTT JR,NON
JUSTICE OF THE SUPREME COURT OF APPEALS,Division 2,EVAN JENKINS,NON
JUSTICE OF THE SUPREME COURT OF APPEALS,Division 2,DENNISE RENEE SMITH,NON
JUSTICE OF THE SUPREME COURT OF APPEALS,Division 2,JEFFREY KESSLER,NON
JUSTICE OF THE SUPREME COURT OF APPEALS,Division 2,JIM DOUGLAS,NON
JUSTICE OF THE SUPREME COURT OF APPEALS,Division 2,ROBERT J FRANK,NON
JUSTICE OF THE SUPREME COURT OF APPEALS,Division 2,WILLIAM STEWART THOMPSON,NON
JUSTICE OF THE SUPREME COURT OF APPEALS,Division 2,JIM O BRIEN,NON
JUSTICE OF THE SUPREME COURT OF APPEALS,Division 2,BRENDEN D LONG,NON
JUSTICE OF THE SUPREME COURT OF APPEALS,Division 2,MARTY REDSHOES SHEEHAN,NON
JUSTICE OF THE SUPREME COURT OF APPEALS,Division 2,WILLIAM SCHWARTZ,NON
CIRCUIT COURT JUDGE,,TERA SALANGO,NON
CIRCUIT COURT JUDGE,,DAN GREEAR,NON
CIRCUIT COURT JUDGE,,GREGORY E ELLIOTT,NON
GREATER HUNTINGTON PARK AND RECREATION DISTRICT,,ROCCO MORABITO,REP
GREATER HUNTINGTON PARK AND RECREATION DISTRICT,,JILL LAFEAR,REP
GREATER HUNTINGTON PARK AND RECREATION DISTRICT,,ALAN S MORRISON,DEM
GREATER HUNTINGTON PARK AND RECREATION DISTRICT,,DANIEL T YON,REP
GREATER HUNTINGTON PARK AND RECREATION DISTRICT,,PETE GILLESPIE,DEM
AMENDMENT NO 1 NO CONSTITUTIONAL RIGHT TO ABORTION AMENDMENT,,AGAINST THE AMENDMENT,NON
AMENDMENT NO 2 JUDICIAL BUDGET OVERSIGHT AMENDMENT,,AGAINST THE AMENDMENT,NON
