office,district,candidate,party
HOUSE OF DELEGATES,30.0,BOBBIE HATFIELD,D
HOUSE OF DELEGATES,30.0,RAY KEENER,D
HOUSE OF DELEGATES,30.0,REBECCA A MATHEWS,D
HOUSE OF DELEGATES,30.0,JOE F SMITH,D
HOUSE OF DELEGATES,30.0,SHARON SPENCER,D
HOUSE OF DELEGATES,30.0,ANN CALVERT,R
HOUSE OF DELEGATES,30.0,KEITH A CARTE,R
HOUSE OF DELEGATES,30.0,ROBERT J GOULD,R
HOUSE OF DELEGATES,30.0,PRISCILLA M HADEN,R
HOUSE OF DELEGATES,30.0,FRED L MONK,R
HOUSE OF DELEGATES,30.0,BILL NELSON,R
HOUSE OF DELEGATES,30.0,JASON WEBB,R
HOUSE OF DELEGATES,31.0,CARRIE WEBSTER,D
HOUSE OF DELEGATES,31.0,WANDA HIGHTOWER,R
HOUSE OF DELEGATES,31.0,JOHN A STURGEON,Libertarian
HOUSE OF DELEGATES,31.0,JANET JT THOMPSON,Independent
HOUSE OF DELEGATES,32.0,JON W CAIN SR,D
HOUSE OF DELEGATES,32.0,ROGER L HUGHES,D
HOUSE OF DELEGATES,32.0,BOB MORRISON,D
HOUSE OF DELEGATES,32.0,PAUL NIEDBALSKI,D
HOUSE OF DELEGATES,32.0,TIM ARMSTEAD,R
HOUSE OF DELEGATES,32.0,STEVE HARRISON,R
HOUSE OF DELEGATES,32.0,RON WALTERS,R
HOUSE OF DELEGATES,32.0,RUSTY WEBB,R
HOUSE OF DELEGATES,32.0,GREG HENSHALL,Libertarian
HOUSE OF DELEGATES,33.0,WILLIAM F BILL STEMPLE,D
HOUSE OF DELEGATES,33.0,BEN BG MURPHY,R
HOUSE OF DELEGATES,34.0,BRENT BOGGS,D
HOUSE OF DELEGATES,34.0,JOSEPH P BRANNON,R
HOUSE OF DELEGATES,35.0,JOHN W SHELTON,D
HOUSE OF DELEGATES,35.0,BILL SALOMON,R
HOUSE OF DELEGATES,36.0,C RANDY WHITE,D
HOUSE OF DELEGATES,37.0,J E JOE MARTIN,D
HOUSE OF DELEGATES,37.0,BILL PROUDFOOT,D
HOUSE OF DELEGATES,38.0,DOUG STALNAKER,R
HOUSE OF DELEGATES,39.0,WILLIAM BILL WILSON,D
HOUSE OF DELEGATES,39.0,DALE F RIGGS,R
HOUSE OF DELEGATES,40.0,MARY M POLING,D
HOUSE OF DELEGATES,40.0,LONNIE L MOORE SR,R
HOUSE OF DELEGATES,41.0,FRANK CHUNKI ANGOTTI,D
HOUSE OF DELEGATES,41.0,SAMUEL J CANN,D
HOUSE OF DELEGATES,41.0,RON FRAGALE,D
HOUSE OF DELEGATES,41.0,BARBARA BOBBIE WARNER,D
HOUSE OF DELEGATES,42.0,TOM COLEMAN,D
HOUSE OF DELEGATES,42.0,JAMES L JIM MORGAN,R
HOUSE OF DELEGATES,43.0,MIKE CAPUTO,D
HOUSE OF DELEGATES,43.0,A JAMES MANCIN,D
HOUSE OF DELEGATES,43.0,PAUL E PRUNTY,D
HOUSE OF DELEGATES,43.0,CHARLES S MULLETT,D
HOUSE OF DELEGATES,43.0,RUSSELL SNYDER,R
HOUSE OF DELEGATES,44.0,ROBERT BOB BEACH,D
HOUSE OF DELEGATES,44.0,BARBARA EVANS FLEISCHAUER,D
HOUSE OF DELEGATES,44.0,NANCY J HOUSTON,D
HOUSE OF DELEGATES,44.0,CHARLENE MARSHALL,D
HOUSE OF DELEGATES,44.0,SHEIRL FLETCHER,R
HOUSE OF DELEGATES,44.0,CINDY FRICH,R
HOUSE OF DELEGATES,44.0,BOB JONES,Libertarian
HOUSE OF DELEGATES,45.0,LARRY A WILLIAMS,D
HOUSE OF DELEGATES,46.0,STAN SHAVER,D
HOUSE OF DELEGATES,46.0,DORIS T BONNER,R
HOUSE OF DELEGATES,47.0,HAROLD MICHAEL,D
HOUSE OF DELEGATES,48.0,HENRY HANK KOPPLE,D
HOUSE OF DELEGATES,48.0,ALLEN V EVANS,R
HOUSE OF DELEGATES,48.0,ADAM PETERS,Write-In
HOUSE OF DELEGATES,49.0,DAVID E HAINES,D
HOUSE OF DELEGATES,49.0,ROBERT A SCHADLER,R
HOUSE OF DELEGATES,50.0,JERRY L MEZZATESTA,D
HOUSE OF DELEGATES,51.0,CLAIBORNE B LASHLEY,D
HOUSE OF DELEGATES,51.0,CHARLES S TRUMP IV,R
HOUSE OF DELEGATES,52.0,VICKI V DOUGLAS,D
HOUSE OF DELEGATES,52.0,JOHN REISENWEBER,R
HOUSE OF DELEGATES,53.0,DAN KAWALEK,D
HOUSE OF DELEGATES,53.0,LARRY V FAIRCLOTH,R
HOUSE OF DELEGATES,54.0,LAURA R ROSE,D
HOUSE OF DELEGATES,54.0,JOHN OVERINGTON,R
HOUSE OF DELEGATES,55.0,JOHN DOYLE,D
HOUSE OF DELEGATES,55.0,ANNE NEWCOMER DUNGAN,R
HOUSE OF DELEGATES,55.0,BOB TABB,Write-In
HOUSE OF DELEGATES,56.0,DALE MANUEL,D
HOUSE OF DELEGATES,56.0,GEORGE QUINN,R
HOUSE OF DELEGATES,56.0,TIM WEST,Write-In
