county,office,candidate,party,votes,precinct
Monongalia,PRESIDENT,GEORGE BUSH,REP,300,78
Monongalia,PRESIDENT,GEORGE BUSH,REP,286,79
Monongalia,PRESIDENT,GEORGE BUSH,REP,189,80
Monongalia,PRESIDENT,GEORGE BUSH,REP,120,81
Monongalia,PRESIDENT,GEORGE BUSH,REP,103,82
Monongalia,PRESIDENT,GEORGE BUSH,REP,274,83
Monongalia,PRESIDENT,GEORGE BUSH,REP,138,84
Monongalia,PRESIDENT,GEORGE BUSH,REP,124,85
Monongalia,PRESIDENT,GEORGE BUSH,REP,271,86
Monongalia,PRESIDENT,GEORGE BUSH,REP,284,87
Monongalia,PRESIDENT,GEORGE BUSH,REP,127,88
Monongalia,PRESIDENT,GEORGE BUSH,REP,52,89
Monongalia,PRESIDENT,GEORGE BUSH,REP,183,90
Monongalia,PRESIDENT,GEORGE BUSH,REP,207,91
